run_id,plant,route,submitted,returned,gpu_completed,actual_fraction_requests,successful_lane_steps,task_epochs
small-b1-van_der_pol-S,van_der_pol,S,215,215,0,215,2,1
small-b1-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
small-b1-van_der_pol-S_gpu,van_der_pol,S_gpu,215,215,215,215,2,1
small-b1-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
small-b1-brusselator-S,brusselator,S,294,294,0,294,2,1
small-b1-brusselator-Q,brusselator,Q,294,294,0,294,2,1
small-b1-brusselator-S_gpu,brusselator,S_gpu,294,294,294,294,2,1
small-b1-brusselator-G,brusselator,G,294,294,294,294,2,1
small-b2-van_der_pol-S,van_der_pol,S,430,430,0,430,4,2
small-b2-van_der_pol-Q,van_der_pol,Q,430,430,0,430,4,2
small-b2-van_der_pol-S_gpu,van_der_pol,S_gpu,430,430,430,430,4,2
small-b2-van_der_pol-G,van_der_pol,G,430,430,430,430,4,2
small-b2-brusselator-S,brusselator,S,588,588,0,588,4,2
small-b2-brusselator-Q,brusselator,Q,588,588,0,588,4,2
small-b2-brusselator-S_gpu,brusselator,S_gpu,588,588,588,588,4,2
small-b2-brusselator-G,brusselator,G,588,588,588,588,4,2
prefix-b8-van_der_pol-S,van_der_pol,S,17675,17675,0,1720,160,8
prefix-b8-van_der_pol-Q,van_der_pol,Q,17675,17675,0,1720,160,8
prefix-b8-van_der_pol-S_gpu,van_der_pol,S_gpu,17675,17675,17675,1720,160,8
prefix-b8-van_der_pol-G,van_der_pol,G,17675,17675,17675,1720,160,8
prefix-b8-brusselator-S,brusselator,S,26685,26685,0,2352,160,8
prefix-b8-brusselator-Q,brusselator,Q,26685,26685,0,2352,160,8
prefix-b8-brusselator-S_gpu,brusselator,S_gpu,26685,26685,26685,2352,160,8
prefix-b8-brusselator-G,brusselator,G,26685,26685,26685,2352,160,8
prefix-b32-van_der_pol-S,van_der_pol,S,70704,70704,0,6880,640,32
prefix-b32-van_der_pol-Q,van_der_pol,Q,70704,70704,0,6880,640,32
prefix-b32-van_der_pol-S_gpu,van_der_pol,S_gpu,6880,6880,6880,6880,64,32
prefix-b32-van_der_pol-G,van_der_pol,G,70704,70704,70704,6880,640,32
prefix-b32-brusselator-S,brusselator,S,106919,106919,0,9408,640,32
prefix-b32-brusselator-Q,brusselator,Q,106919,106919,0,9408,640,32
prefix-b32-brusselator-S_gpu,brusselator,S_gpu,9408,9408,9408,9408,64,32
prefix-b32-brusselator-G,brusselator,G,106919,106919,106919,9408,640,32
long-b2-van_der_pol-S,van_der_pol,S,26655,26655,0,1321,240,2
long-b2-van_der_pol-Q,van_der_pol,Q,26655,26655,0,1321,240,2
long-b2-van_der_pol-G,van_der_pol,G,26655,26655,26655,1321,240,2
long-b2-brusselator-S,brusselator,S,35122,35122,0,1540,240,2
long-b2-brusselator-Q,brusselator,Q,35122,35122,0,1540,240,2
long-b2-brusselator-G,brusselator,G,35122,35122,35122,1540,240,2
history-van_der_pol-S,van_der_pol,S,338,338,0,220,3,1
history-van_der_pol-Q,van_der_pol,Q,338,338,0,220,3,1
history-van_der_pol-S_gpu,van_der_pol,S_gpu,338,338,338,220,3,1
history-van_der_pol-G,van_der_pol,G,338,338,338,220,3,1
original-van_der_pol-S,van_der_pol,S,2223,2223,0,218,20,1
original-van_der_pol-G,van_der_pol,G,2223,2223,2223,218,20,1
history-brusselator-S,brusselator,S,424,424,0,280,3,1
history-brusselator-Q,brusselator,Q,424,424,0,280,3,1
history-brusselator-S_gpu,brusselator,S_gpu,424,424,424,280,3,1
history-brusselator-G,brusselator,G,424,424,424,280,3,1
original-brusselator-S,brusselator,S,4968,4968,0,450,20,1
original-brusselator-G,brusselator,G,4968,4968,4968,450,20,1
split-4-part0-van_der_pol-Q,van_der_pol,Q,860,860,0,860,8,4
split-4-part1-van_der_pol-Q,van_der_pol,Q,860,860,0,860,8,4
split-2-part0-van_der_pol-Q,van_der_pol,Q,430,430,0,430,4,2
split-2-part1-van_der_pol-Q,van_der_pol,Q,430,430,0,430,4,2
split-2-part2-van_der_pol-Q,van_der_pol,Q,430,430,0,430,4,2
split-2-part3-van_der_pol-Q,van_der_pol,Q,430,430,0,430,4,2
split-1-part0-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part1-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part2-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part3-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part4-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part5-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part6-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
split-1-part7-van_der_pol-Q,van_der_pol,Q,215,215,0,215,2,1
permuted-delayed-newest-van_der_pol-Q,van_der_pol,Q,1720,1720,0,1720,16,8
split-4-part0-van_der_pol-G,van_der_pol,G,860,860,860,860,8,4
split-4-part1-van_der_pol-G,van_der_pol,G,860,860,860,860,8,4
split-2-part0-van_der_pol-G,van_der_pol,G,430,430,430,430,4,2
split-2-part1-van_der_pol-G,van_der_pol,G,430,430,430,430,4,2
split-2-part2-van_der_pol-G,van_der_pol,G,430,430,430,430,4,2
split-2-part3-van_der_pol-G,van_der_pol,G,430,430,430,430,4,2
split-1-part0-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part1-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part2-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part3-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part4-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part5-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part6-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
split-1-part7-van_der_pol-G,van_der_pol,G,215,215,215,215,2,1
permuted-delayed-newest-van_der_pol-G,van_der_pol,G,1720,1720,1720,1720,16,8
split-4-part0-brusselator-Q,brusselator,Q,1176,1176,0,1176,8,4
split-4-part1-brusselator-Q,brusselator,Q,1176,1176,0,1176,8,4
split-2-part0-brusselator-Q,brusselator,Q,588,588,0,588,4,2
split-2-part1-brusselator-Q,brusselator,Q,588,588,0,588,4,2
split-2-part2-brusselator-Q,brusselator,Q,588,588,0,588,4,2
split-2-part3-brusselator-Q,brusselator,Q,588,588,0,588,4,2
split-1-part0-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part1-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part2-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part3-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part4-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part5-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part6-brusselator-Q,brusselator,Q,294,294,0,294,2,1
split-1-part7-brusselator-Q,brusselator,Q,294,294,0,294,2,1
permuted-delayed-newest-brusselator-Q,brusselator,Q,2352,2352,0,2352,16,8
split-4-part0-brusselator-G,brusselator,G,1176,1176,1176,1176,8,4
split-4-part1-brusselator-G,brusselator,G,1176,1176,1176,1176,8,4
split-2-part0-brusselator-G,brusselator,G,588,588,588,588,4,2
split-2-part1-brusselator-G,brusselator,G,588,588,588,588,4,2
split-2-part2-brusselator-G,brusselator,G,588,588,588,588,4,2
