implementation,source_file,function,device,backend,actual_mode,witness,variant,exact_preimage,exact_image,returned_image,contains,preconditions,call_chain
B,src/flowstar_gpu/flowpipe.py,advance,cpu,dense,parity,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-50239118783249798461516708038075604921479793443/45671926166590716193865151022383844364247891968"", ""50239118783249798461516708038075604921479793443/45671926166590716193865151022383844364247891968""], [""-50239118783249798461516708038075604921479793443/45671926166590716193865151022383844364247891968"", ""50239118783249798461516708038075604921479793443/45671926166590716193865151022383844364247891968""]]",False,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance
B,src/flowstar_gpu/flowpipe.py,advance,cpu,dense,strict,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-1618481116086275/604462909807314587353088"", ""1407374883553283/604462909807314587353088""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance -> symbolic_remainder.propagate
B,src/flowstar_gpu/flowpipe.py,advance,cpu,dense,strict,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-4210493453275109/2417851639229258349412352"", ""3929018476564453/2417851639229258349412352""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance -> symbolic_remainder.propagate
B,src/flowstar_gpu/flowpipe.py,advance,cpu,dense,strict,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-12559779695812453798626157762729378267567879827/11417981541647679048466287755595961091061972992"", ""12559779695812453798626157762729378267567879827/11417981541647679048466287755595961091061972992""], [""-12559779695812453798626157762729378267567879827/11417981541647679048466287755595961091061972992"", ""12559779695812453798626157762729378267567879827/11417981541647679048466287755595961091061972992""]]",True,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cpu,sparse,parity,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-15/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""15/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-2251799813685251/9671406556917033397649408"", ""-1125899906842623/4835703278458516698824704""]]",False,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cpu,sparse,parity,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-15/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""15/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-2251799813685251/19342813113834066795298816"", ""-1125899906842623/9671406556917033397649408""]]",False,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cpu,sparse,parity,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-200956475132999197902548752894281830508194473285/182687704666362864775460604089535377456991567872"", ""200956475132999197902548752894281830508194473285/182687704666362864775460604089535377456991567872""], [""-200956475132999197902548752894281830508194473285/182687704666362864775460604089535377456991567872"", ""200956475132999197902548752894281830508194473285/182687704666362864775460604089535377456991567872""]]",False,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance_sparse
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cpu,sparse,strict,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-1618481116086275/604462909807314587353088"", ""1407374883553283/604462909807314587353088""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cpu,sparse,strict,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""9437203/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-4210493453275109/2417851639229258349412352"", ""3929018476564453/2417851639229258349412352""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cpu,sparse,strict,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-6279889847906226328870308779010147102553233525/5708990770823839524233143877797980545530986496"", ""6279889847906226328870308779010147102553233525/5708990770823839524233143877797980545530986496""], [""-6279889847906226328870308779010147102553233525/5708990770823839524233143877797980545530986496"", ""6279889847906226328870308779010147102553233525/5708990770823839524233143877797980545530986496""]]",True,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance_sparse
B,src/flowstar_gpu/flowpipe.py,advance,cuda,dense,parity,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-4503599627370499/19342813113834066795298816"", ""-2251799813685247/9671406556917033397649408""]]",False,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance -> symbolic_remainder.propagate
B,src/flowstar_gpu/flowpipe.py,advance,cuda,dense,parity,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-4503599627370499/38685626227668133590597632"", ""-2251799813685247/19342813113834066795298816""]]",False,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance -> symbolic_remainder.propagate
B,src/flowstar_gpu/flowpipe.py,advance,cuda,dense,parity,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872"", ""200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872""], [""-200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872"", ""200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872""]]",False,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance
B,src/flowstar_gpu/flowpipe.py,advance,cuda,dense,strict,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-5066549580791815/2417851639229258349412352"", ""4785074604081159/2417851639229258349412352""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance -> symbolic_remainder.propagate
B,src/flowstar_gpu/flowpipe.py,advance,cuda,dense,strict,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-1542296773216241/1208925819614629174706176"", ""1401559284860913/1208925819614629174706176""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance -> symbolic_remainder.propagate
B,src/flowstar_gpu/flowpipe.py,advance,cuda,dense,strict,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936"", ""100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936""], [""-100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936"", ""100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936""]]",True,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cuda,sparse,parity,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-4503599627370499/19342813113834066795298816"", ""-2251799813685247/9671406556917033397649408""]]",False,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cuda,sparse,parity,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-4503599627370499/38685626227668133590597632"", ""-2251799813685247/19342813113834066795298816""]]",False,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cuda,sparse,parity,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872"", ""200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872""], [""-200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872"", ""200956475132999203987271633992819612095661402295/182687704666362864775460604089535377456991567872""]]",False,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance_sparse
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cuda,sparse,strict,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-5066549580791815/2417851639229258349412352"", ""4785074604081159/2417851639229258349412352""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cuda,sparse,strict,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784"", ""5242885/202402253307310618352495346718917307049556649764142118356901358027430339567995346891960383701437124495187077864316811911389808737385793476867013399940738509921517424276566361364466907742093216341239767678472745068562007483424692698618103355649159556340810056512358769552333414615230502532186327508646006263307707741093494784""], [""-1542296773216241/1208925819614629174706176"", ""1401559284860913/1208925819614629174706176""]]",True,Supply exact endpoint coefficients; observe real Phi formation and propagate; append original J columns.,advance_sparse -> symbolic_remainder.propagate
B,src/flowstar_gpu/sparse_exec.py,advance_sparse,cuda,sparse,strict,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936"", ""100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936""], [""-100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936"", ""100478237566499624304286381013256054409080488233/91343852333181432387730302044767688728495783936""]]",True,"Compose-output input seam; observe after strict normalization and SR cutoff, before next Picard stage.",advance_sparse
C,src/torch_tm_flowpipe/symbolic_remainder.py,accepted_boundary_sr_queue_propagate,cpu,accepted_boundary_sr,our_cpu_reference,history,original,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]}","[[""0"", ""0""], [""-4503599627370497/38685626227668133590597632"", ""-4503599627370497/38685626227668133590597632""]]","[[""-3145733/101201126653655309176247673359458653524778324882071059178450679013715169783997673445980191850718562247593538932158405955694904368692896738433506699970369254960758712138283180682233453871046608170619883839236372534281003741712346349309051677824579778170405028256179384776166707307615251266093163754323003131653853870546747392"", ""3145733/101201126653655309176247673359458653524778324882071059178450679013715169783997673445980191850718562247593538932158405955694904368692896738433506699970369254960758712138283180682233453871046608170619883839236372534281003741712346349309051677824579778170405028256179384776166707307615251266093163754323003131653853870546747392""], [""-3799912185593859/1208925819614629174706176"", ""3518437208883203/1208925819614629174706176""]]",True,Identity-owned queue convention instead of dead first Phi; same exact J/Phi map.,prepare_accepted_boundary_sr -> accepted_boundary_sr_queue_propagate -> _tensorized_interval_matrix_update_and_image
C,src/torch_tm_flowpipe/symbolic_remainder.py,accepted_boundary_sr_queue_propagate,cpu,accepted_boundary_sr,our_cpu_reference,history,nonunit_scale,"{""matrices"": [[[0.0, 0.0], [0.0, 0.0]], [[1.0000000000000002, 0.0], [-1.0, 0.0]], [[0.0, 0.0], [0.9999999999999999, 1.0000000000000002]]], ""columns"": [[1048576.0, 0.0], [0.0, 0.0]], ""scales"": [[1.0, 1.0], [1.1, 1.1], [1.1, 1.1]]}","[[""0"", ""0""], [""-590295810358705782784/6135428905104631294035961535529"", ""-590295810358705782784/6135428905104631294035961535529""]]","[[""-3145733/101201126653655309176247673359458653524778324882071059178450679013715169783997673445980191850718562247593538932158405955694904368692896738433506699970369254960758712138283180682233453871046608170619883839236372534281003741712346349309051677824579778170405028256179384776166707307615251266093163754323003131653853870546747392"", ""3145733/101201126653655309176247673359458653524778324882071059178450679013715169783997673445980191850718562247593538932158405955694904368692896738433506699970369254960758712138283180682233453871046608170619883839236372534281003741712346349309051677824579778170405028256179384776166707307615251266093163754323003131653853870546747392""], [""-2251799813685251/1208925819614629174706176"", ""4222124650659843/2417851639229258349412352""]]",True,Identity-owned queue convention instead of dead first Phi; same exact J/Phi map.,prepare_accepted_boundary_sr -> accepted_boundary_sr_queue_propagate -> _tensorized_interval_matrix_update_and_image
C,src/torch_tm_flowpipe/accepted_boundary_sr.py,_scale_and_cutoff_right_map,cpu,accepted_boundary_sr,our_cpu_reference,normalization,centered_affine,"P_i=binary64(1.1)*u_i; I_i=[-2^-52,2^-52]; u_i in [-1,1]","[[""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""], [""-4953959590107547/4503599627370496"", ""4953959590107547/4503599627370496""]]","[[""-50239118783249809109781749958853881127131047525/45671926166590716193865151022383844364247891968"", ""50239118783249809109781749958853881127131047525/45671926166590716193865151022383844364247891968""], [""-50239118783249809109781749958853881127131047525/45671926166590716193865151022383844364247891968"", ""50239118783249809109781749958853881127131047525/45671926166590716193865151022383844364247891968""]]",True,Two CPU Taylor models; same normal-evaluation scale selection and production normalization function.,_flowstar_normalized_insertion_transition -> commit_accepted_boundary_sr -> _scale_and_cutoff_right_map
