file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,375,_interval_add,719,719,0.0038550420000000004,0.011415335
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,1970,1970,0.0038190280000000004,0.0038190280000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,7727,7727,0.0033276240000000004,0.018726691
~,0,<method 'append' of 'list' objects>,44459,44459,0.0033105150000000004,0.0033105150000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,371,_up,2796,2796,0.003273048,0.016664671000000002
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,611,611,0.003126353,0.003126353
~,0,<built-in method torch.cat>,652,652,0.002988807,0.002988807
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,107,_coef,1589,1589,0.002793381,0.010119317000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2482,mul_trunc,108,108,0.00270162,0.413428351
~,0,<built-in method torch.tensor>,315,315,0.0026904090000000004,0.0026904090000000004
~,0,<built-in method builtins.any>,3018,3178,0.002462543,0.007959252
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,59,enclose_constant_substitution,3,3,0.002459403,0.017037487
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,28,add,76,76,0.0024371780000000003,0.004056447
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,252,cutoff,26,26,0.0023800790000000002,0.09946215700000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/_tensor.py,1099,__iter__,1560,1560,0.00237762,0.008480887000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,262,add,1121,1121,0.002273193,0.054795026000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,128,_call,387,387,0.0022721340000000003,0.054321192000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1195,_identity_dense_cover,147,147,0.002226306,0.0505721
~,0,<method 'to' of 'torch._C.TensorBase' objects>,1472,1472,0.0021905500000000003,0.0021905500000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,577,_interval_is_valid,189,189,0.002158562,0.0073171700000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,203,ensure_interval,5628,5628,0.002128788,0.0028477520000000003
~,0,<built-in method torch.ones_like>,778,778,0.002053486,0.002053486
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,57,evaluate_interval_normal,26,26,0.0020179910000000002,0.074485172
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1051,build_dense_subdivision_cover,42,42,0.0020153320000000003,0.030006049000000003
~,0,<method 'view' of 'torch._C.TensorBase' objects>,714,714,0.002002316,0.002002316
~,0,<built-in method torch.ones>,319,319,0.0017785320000000002,0.0017785320000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,454,_interval_scale,118,118,0.0016139960000000001,0.004614227
~,0,<built-in method torch.zeros>,496,496,0.001595388,0.001595388
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,72,point,2261,2261,0.001581572,0.081614488
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1157,<setcomp>,189,189,0.001540883,0.005762969000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2010,mul_trunc,42,42,0.001462074,0.24571769000000002
