physical_time,state,enclosure_kind,torch_over_xiangru_ratio_median,torch_over_xiangru_ratio_p95,torch_over_xiangru_ratio_max,maximum_ratio_leaf_id,torch_width_median,xiangru_width_median
20.0,x1,endpoint,0.9636037285374854,0.972437035506052,0.9748317206013403,47,0.14029605505318427,0.14585115104126373
20.0,x2,endpoint,0.9162752267460499,0.9359158897288928,0.9408944422414243,47,0.17930030392999924,0.19547510582721428
20.0,x3,endpoint,1.0000000000908444,1.0000000001088476,1.0000000001151608,47,1.2349677499411644,1.2349677498289746
20.0,x4,endpoint,1.0000000000719913,1.0000000000861553,1.000000000090207,47,1.4401643284226617,1.4401643283189822
20.0,u1,endpoint,1.0000000000658267,1.000000000078611,1.0000000000821772,47,1.0789065853319713,1.0789065852609507
20.0,x1,tube,1.0254176713520384,1.0338369897720288,1.034496358482169,47,0.17598606663523425,0.17202465503593412
20.0,x2,tube,0.9691764572729316,0.9937662572185969,0.9971934075595765,47,0.20482354425470967,0.20966910313822879
20.0,x3,tube,1.012227437806715,1.017099874354058,1.0177297975546542,12,1.2512677205694993,1.2349677498289746
20.0,x4,tube,1.036472050409162,1.03751885422012,1.0376849935008674,42,1.4927744411461568,1.440164328318982
20.0,u1,tube,1.0000000000660458,1.00000000007888,1.000000000082456,47,1.0789065853322075,1.0789065852609507
