queue_max_size,step,time,available,endpoint_x_width,endpoint_y_width,segment_x_width,segment_y_width
1,1,0.01,True,0.301112793636261,0.12263376681992,0.32524536254432035,0.1494059114443438
1,2,0.02,True,0.3022230343733723,0.14404234872375543,0.3260955232325162,0.1723166248640715
1,10,0.1,True,0.3034844420836569,0.3006658469650194,0.3247649029664812,0.339232096803342
1,50,0.5,True,0.18359039609542482,0.3974861891140753,0.18820114165206836,0.42992732462952177
1,99,0.99,True,0.0822749417413371,0.11602509805367223,0.08642974936169057,0.12430948781494566
1,100,1.0,True,0.08132251128983303,0.11309648771137082,0.08555725485822707,0.12118656517640097
1,101,1.01,True,0.0804001204836371,0.11026207320551068,0.08471297596746985,0.11816579187659182
1,199,1.99,True,0.06590683317019574,0.051936867275652276,0.07576556948141078,0.05943706738517407
1,200,2.0,True,0.06622879782599811,0.052452837165076094,0.07616304906141758,0.06005599652461102
1,201,2.0100000000000002,True,0.06655888084706851,0.05298552775281973,0.07656968788861152,0.06069390934403518
1,299,2.99,True,0.15205487328112377,0.1350377139079293,0.1773053818286615,0.1524841708043594
1,300,3.0,True,0.153323092144991,0.13316119504220358,0.17873864080029217,0.14999331614305422
1,301,3.0100000000000002,True,0.15456582517972683,0.13106139074944423,0.18013952039853726,0.14722945434032741
1,397,3.97,True,0.11555475828616513,0.2399469251513005,0.11583135783836451,0.26086340181771117
1,399,3.99,True,0.11916690399358498,0.22916609203847094,0.11949211022231387,0.24885346344893783
1,400,4.0,True,0.12106437568344419,0.22386683955992143,0.12157762130626337,0.24296434147406143
1,401,4.01,True,0.12291893395274234,0.21863204596094798,0.12361456711887686,0.23715613638631958
1,474,4.74,True,0.20295745540778087,0.10746598626065507,0.20960851254454305,0.1120814391943119
1,499,4.99,True,0.2333029944211109,0.14555479566562923,0.24114919720992511,0.15068636387221002
1,500,5.0,True,0.23473940424562545,0.1476229119185225,0.2426371351421972,0.15279723627162733
1,501,5.01,True,0.23619680795667142,0.14973656743899577,0.24414650265497473,0.15495527477047677
1,599,5.99,True,0.6172097033425198,0.8431983679558293,0.6356604257728962,0.8629734394951565
1,600,6.0,True,0.6257044499128569,0.8574132091058475,0.6443539287720705,0.8773922792311948
1,601,6.01,True,0.6343409432901954,0.8716367155890155,0.6531911839872335,0.8918132321841854
1,632,6.32,False,,,,
2,1,0.01,True,0.301112793636261,0.12263376681992,0.32524536254432035,0.1494059114443438
2,2,0.02,True,0.3022230343733723,0.14404234872375543,0.3260955232325162,0.1723166248640715
2,10,0.1,True,0.303399170503295,0.3006129933797037,0.3246796313861193,0.3391792432180263
2,50,0.5,True,0.18317753254627744,0.39673710859009015,0.18778827810292098,0.4291782441055367
2,99,0.99,True,0.08145777635144458,0.11535506343448837,0.08561258397179805,0.1236394531957618
2,100,1.0,True,0.08049515431807164,0.11242189825732629,0.08472989788646568,0.12051197572235645
2,101,1.01,True,0.07956640888860611,0.10959662585427371,0.08387926437243887,0.11750034452535485
2,199,1.99,True,0.06392638659614414,0.05036342127618998,0.07378512290735917,0.05786362138571177
2,200,2.0,True,0.06422512200259156,0.0508514135128012,0.07415937323801103,0.05845457287233613
2,201,2.0100000000000002,True,0.06453921861054623,0.051360469819072274,0.07455002565208924,0.059068851410287726
2,299,2.99,True,0.14526801845893422,0.12490530643702646,0.17051852700647196,0.14235176333345656
2,300,3.0,True,0.14641704276574008,0.12268369938319568,0.17183259142104124,0.13951582048404632
2,301,3.0100000000000002,True,0.14755543663138976,0.1202284620593419,0.17312913185020018,0.1363965256502251
2,397,3.97,True,0.0713005315497719,0.19048874757315565,0.07157713110197128,0.21140522423956631
2,399,3.99,True,0.07400158234871745,0.1811735919333441,0.07432678857744635,0.20086096334381098
2,400,4.0,True,0.07545186579582808,0.1766230203118076,0.07596511141864726,0.1957205222259476
2,401,4.01,True,0.07686947519095266,0.17214930510891063,0.07756510835708719,0.19067339553428223
2,474,4.74,True,0.13452285910690498,0.0712850643183831,0.14117391624366715,0.07590051725203995
2,499,4.99,True,0.15431404912783475,0.09333338762528187,0.16216025191664896,0.09846495583186265
2,500,5.0,True,0.15523659263612322,0.0945610463005635,0.16313432353269497,0.09973537065366833
2,501,5.01,True,0.15617222437772948,0.09581488498198676,0.1641219190760328,0.10103359231346776
2,599,5.99,True,0.38285935031599955,0.47154457980760256,0.40131007274637587,0.4913196513469298
2,600,6.0,True,0.3876031418971056,0.47818640742785035,0.4062526207563193,0.4981654775531976
2,601,6.01,True,0.3924149795069237,0.4848355647338558,0.4112652202039618,0.5050120813290258
2,632,6.32,True,0.5909975877877711,0.9067810368337037,0.6162493321297027,0.9243067178638946
10,1,0.01,True,0.301112793636261,0.12263376681992,0.32524536254432035,0.1494059114443438
10,2,0.02,True,0.3022230343733723,0.14404234872375543,0.3260955232325162,0.1723166248640715
10,10,0.1,True,0.3033247020932788,0.3005690922824702,0.3246051629761031,0.33913534212079277
10,50,0.5,True,0.18281416307833553,0.3960407121943546,0.18742490863497907,0.42848184770980113
10,99,0.99,True,0.08072211823166131,0.11475212193611772,0.08487692585201478,0.12303651169739116
10,100,1.0,True,0.07975381741777476,0.11182725683823447,0.0839885609861688,0.11991733430326462
10,101,1.01,True,0.0788194700093805,0.10900995805275715,0.08313232549321325,0.11691367672383829
10,199,1.99,True,0.06219371324886458,0.04899039004928374,0.07205244956007961,0.05649059015880553
10,200,2.0,True,0.062478717421451835,0.04945811279925161,0.0724129686568713,0.057061272158786536
10,201,2.0100000000000002,True,0.06277890529373842,0.049946669175794156,0.07278971233528142,0.05765505076700961
10,299,2.99,True,0.1393402161573219,0.11593610012965794,0.16459072470485964,0.13338255702608803
10,300,3.0,True,0.14038461200808805,0.11338450717168458,0.1658001606633892,0.13021662827253522
10,301,3.0100000000000002,True,0.14143039646429134,0.11061798290072478,0.16700409168310176,0.12678604649160796
10,397,3.97,True,0.026450846404969974,0.1422146821922246,0.02672744595716936,0.1631311588586353
10,399,3.99,True,0.028215076021292917,0.13440333865471638,0.02854028225002181,0.15409071006518327
10,400,4.0,True,0.029204910648040316,0.13062111241442506,0.029718156270859497,0.14971861432856504
10,401,4.01,True,0.030197469111753028,0.12695417072247298,0.030893102277887552,0.14547826114784457
10,474,4.74,True,0.06690385998779536,0.03822883514337183,0.07355491712455753,0.04284428807702867
10,499,4.99,True,0.07717157463941526,0.0466963873957974,0.08501777742822947,0.051827955602378184
10,500,5.0,True,0.07763646701185611,0.04722931900199123,0.08553419790842787,0.05240364335509606
10,501,5.01,True,0.07810686817747103,0.0477737680246878,0.08605656287577435,0.0529924753561688
10,599,5.99,True,0.18218941841893607,0.20348172449015434,0.20064014084931245,0.22325679602948134
10,600,6.0,True,0.18423094732055095,0.20577262753309622,0.20288042617976462,0.2257516976584435
10,601,6.01,True,0.18629774636051524,0.2080142205251112,0.20514798705755327,0.22819073712028115
10,632,6.32,True,0.2597301547490492,0.2951510777148374,0.28498189909098076,0.3126767587450283
100,1,0.01,True,0.301112793636261,0.12263376681992,0.32524536254432035,0.1494059114443438
100,2,0.02,True,0.3022230343733723,0.14404234872375543,0.3260955232325162,0.1723166248640715
