run_id,plant,route,batch,steps,lane_steps,requests,dispatches,semantic_device_groups,packets,mean_dispatch_size,p95_dispatch_size,max_dispatch_size,mean_ready_requests,mean_ready_keys,mean_selected_keys,wall_s,cpu_s,throughput,initial_state_s,serialization_s,service_wall_s,service_thread_cpu_s,selection_wall_s,selection_thread_cpu_s,ownership_copy_task_sum_s,ownership_copy_union_s,submit_lock_wait_task_sum_s,submit_lock_wait_union_s,deliver_lock_wait_task_sum_s,future_set_task_sum_s,consume_lock_wait_task_sum_s,future_wait_task_sum_s,future_wait_union_s,validation_and_layout_s,host_packet_build_s,envelope_check_s,host_stage_owned_payload_s,grouping_and_packing_s,device_allocation_s,metadata_h2d_enqueue_s,numeric_h2d_enqueue_s,h2d_sync_s,pure_device_metadata_h2d_s,pure_device_numeric_h2d_s,kernel_enqueue_s,kernel_and_sync_host_s,pure_device_kernel_s,metadata_d2h_enqueue_s,numeric_d2h_enqueue_s,d2h_sync_s,pure_device_metadata_d2h_s,pure_device_numeric_d2h_s,scatter_and_private_wrap_s,actual_kernel_invocations,h2d_copy_operations,d2h_copy_operations,metadata_h2d_bytes,numeric_h2d_bytes,metadata_d2h_bytes,numeric_d2h_bytes,device_allocation_operations,pinned_allocation_operations,scratch_packets,scratch_growth_packets,scratch_last_growth_packet,scratch_no_growth_final_quarter,scratch_final_device_capacity_bytes,scratch_cumulative_device_allocation_bytes,external_cpu_fallback_requests,oversize_parent_requests,peak_rss_kib,peak_gpu_allocated_bytes,cold_startup_s,non_service_wall_s,zero_service_amdahl_upper
small-b1-van_der_pol-S_gpu,van_der_pol,S_gpu,1,3,3,323,323,323,0,1,1.0,1,,,,1.693402214,1.69288782,1.7715814796968252,0.004651844,0.12114895926788449,0.28569332,0.285792934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06690519722178578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06178388511762023,0.0,0.0,0.0,0.0,0.0,0.0,0.008826985955238342,1292,2584,2152,18739,31424,11628,24848,5168,0,0,0,0,True,0,0,0,0,646936,8192,0.39419116,1.407708894,1.2029491475245309
small-b1-van_der_pol-G0,van_der_pol,G0,1,3,3,323,323,323,0,1,1.0,1,1,1,1,1.742040968,1.741605646,1.7221179381586162,0.004669926,0.15772949205711484,0.34671607199999993,0.348594613,0.013215653,0.013129698,0.00911213,0.00911213,0.000425525,0.000425525,0.000312211,0.003328489,0.009780631,0.408789268,0.408789268,0.0,0.0,0.0,0.0,0.06664655497297645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272043571807444,0.0,0.0,0.0,0.0,0.0,0.0,0.008520644623786211,1292,2584,2152,18739,31424,11628,24848,5168,0,0,0,0,True,0,0,0,0,649356,8192,0.412394077,1.395324896,1.248484115057315
small-b1-van_der_pol-Gp,van_der_pol,Gp,1,3,3,323,323,323,323,1,1.0,1,1,1,1,1.663010262,1.662417782,1.8039575993909291,0.006016078,0.2507229899056256,0.200091496,0.201848624,0.015161288,0.015062061,0.008932721,0.008932721,0.000417186,0.000417186,0.00030522,0.002735373,0.007756195,0.262866739,0.262866739,0.004917901940643787,0.03707110695540905,0.017710897140204906,0.011092247441411018,0.07079215347766876,0.0011479584500193596,0.005665523000061512,0.003677277360111475,0.00197167182341218,0.0072289920169860125,0.004530175991356373,0.035338278859853745,0.03945517120882869,0.04188569656759504,0.00572756165638566,0.0037041069008409977,0.0018694326281547546,0.006476128013804561,0.0045752639994025264,0.017464749049395323,1292,646,646,221904,31424,64600,24848,4,4,323,2,2,True,1536,1664,0,0,645712,4096,0.626294073,1.462918766,1.1367755343976496
small-b2-van_der_pol-S_gpu,van_der_pol,S_gpu,2,3,6,646,646,646,0,1,1.0,1,,,,3.346304145,3.345342621,1.7930229112512426,0.008723133,0.23528013424947858,0.553938728999999,0.553998854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130205565597862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224849377758801,0.0,0.0,0.0,0.0,0.0,0.0,0.01707456912845373,2584,5168,4304,37478,62848,23256,49696,10336,0,0,0,0,True,0,0,0,0,653316,8192,0.395226448,2.792365416000001,1.1983761601637022
small-b2-van_der_pol-G0,van_der_pol,G0,2,3,6,646,586,586,0,1.1023890784982935,2.0,2,1.4453924914675769,1.3430034129692834,1,3.464835136,3.463717986,1.7316841247825536,0.008745727,0.31868916004896164,0.639341877,0.523299673,0.025635461,0.025251615,0.01827417,0.01827417,0.000845214,0.000845214,0.024866643,0.006941335,0.043885881,2.109538549,1.503387488,0.0,0.0,0.0,0.0,0.23069574544206262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11849497444927692,0.0,0.0,0.0,0.0,0.0,0.0,0.018940144684165716,2344,4688,3844,34522,62848,21336,49696,9376,0,0,0,0,True,0,0,0,0,659524,8192,0.397725493,2.825493259,1.2262761997267253
small-b2-van_der_pol-Gp,van_der_pol,Gp,2,3,6,646,434,434,434,1.4884792626728112,2.0,2,1.4884792626728112,1.4654377880184333,1.4654377880184333,3.279255025,3.276993943,1.829683862419331,0.009905098,0.40681928023695946,0.29807993500000013,0.294867423,0.025155064,0.024994493,0.021191947,0.021191947,0.000776416,0.000776416,0.051089943,0.005409478,0.036496817,1.706535572,1.334938801,0.008972989860922098,0.06036084610968828,0.024603566620498896,0.015324436593800783,0.10926183918491006,0.0013145403936505318,0.0080098663456738,0.005124255549162626,0.002805332187563181,0.01015964801050722,0.006323200009763209,0.04978859843686223,0.05539483716711402,0.05883494401723147,0.008663569111377,0.005098216701298952,0.002515424508601427,0.009713472025468945,0.006237055989913645,0.03285179752856493,1736,868,868,403104,62848,88496,49696,4,4,434,2,6,True,3072,3328,0,0,659148,5120,0.627150875,2.98117509,1.0999873962451499
prefix-b8-van_der_pol-G0,van_der_pol,G0,8,20,160,17675,10798,10798,0,1.6368771994813855,4.0,8,5.157529172068902,3.650583441378033,1,91.630510428,91.563741066,1.7461432797072798,0.032920688,7.824993430171162,17.455947891999962,9.57823227,0.652174689,0.647697276,0.618463816,0.61709425,0.058182332,0.056723758,0.567202898,0.1992964,1.33587742,291.596807935,73.158589934,0.0,0.0,0.0,0.0,9.585632184054703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.428900185972452,0.0,0.0,0.0,0.0,0.0,0.0,0.4551165043376386,43192,86384,45628,902063,2297152,416236,440240,172768,0,0,0,0,True,0,0,0,0,984892,10240,0.395206336,74.17456253600002,1.2353360410252217
prefix-b8-van_der_pol-Gp,van_der_pol,Gp,8,20,160,17675,3728,3728,3728,4.741148068669528,8.0,8,4.741148068669528,3.831276824034335,3.831276824034335,83.557168478,83.497865966,1.914856653407623,0.032018988,7.628772537223995,3.864648767999998,3.49119909,0.438700919,0.437325284,0.575605384,0.574913309,0.064008626,0.062069637,0.480708449,0.112310399,1.762588436,279.938190493,74.298852693,0.19119172589853406,1.4416577890515327,0.26064375322312117,0.13745195418596268,2.0309452223591506,0.0060659898445010185,0.07407394470646977,0.04205691907554865,0.025536649860441685,0.09177443199232185,0.0522526719067263,0.4698767294175923,0.5205956543795764,0.5509478410631387,0.07189483800902963,0.042142570950090885,0.02520273393020034,0.08146444801986208,0.051686815991066226,0.38790918374434114,14912,7456,7456,11842128,2297152,857176,440240,10,10,3728,6,1237,True,14336,25600,0,0,1137004,17920,0.622802852,79.69251971,1.0484944983803173
prefix-b32-van_der_pol-G0,van_der_pol,G0,32,20,640,70704,25508,25508,0,2.771836286655167,8.0,28,19.349184569546807,8.259369609534264,1,364.01639792,363.750021997,1.7581625543711166,0.123113336,28.659267467912287,256.17171121100046,25.021457711,2.364157598,2.347636581,7.569768007,7.496097826,21.59590313,13.189901001,15.086006471,0.839992842,88.154435907,5942.149432175,355.124451074,0.0,0.0,0.0,0.0,156.528065986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85552392806858,0.0,0.0,0.0,0.0,0.0,0.0,9.734136851970106,102032,204064,107296,2086368,9198704,1099072,1761904,408128,0,0,0,0,True,0,0,0,0,1962912,15360,0.40704903,107.84468670899952,3.375376284436118
prefix-b32-van_der_pol-Gp,van_der_pol,Gp,32,20,640,70704,5257,5257,5257,13.449495910214951,23.0,32,13.449495910214951,8.989157314057447,8.989157314057447,349.646673915,349.390513025,1.8304192424710026,0.125407319,26.808470304124057,16.437779404,8.967231539,1.369524652,1.364345418,5.548334395,5.525163972,22.471252405,12.935549997,10.369944571,0.832391002,119.953585423,6008.825458014,341.467977769,0.6606623488478363,6.14354490255937,0.7420576228760183,0.3091692919842899,7.855434166267514,0.0099297477863729,0.12365630874410272,0.13026109151542187,0.04172997968271375,0.18331708627566745,0.14502809743302494,1.4968866659328341,1.7325198166072369,1.6248770530149486,0.48950872011482716,0.11183576239272952,0.030708446633070707,0.5066420129761123,0.1364248007219287,3.140196734108031,21028,10514,10514,45559192,9198704,1574976,1781552,18,18,5257,10,294,True,45056,88704,0,0,3036200,58880,0.630693095,333.208894511,1.0493317545683265
