plant,route,scope,requested_steps,accepted_steps,achieved,exact_final_time,nominal_target,invocation_s,solver_step_wall_s,service_wall_s,service_thread_cpu_s,observer_s,evidence_prepare_s,gzip_write_s,checkpoint_export_s,requests,dispatches,packets,actual_kernel_invocations,h2d_copy_operations,d2h_copy_operations,final_state_sha256,previous_answers_loaded,cpu_periodic_correction,full_gpu_engine,whole_solver_formal_proof
van_der_pol,Gp,ORIGINAL_UNPARTITIONED_B1,1000,1000,True,720575940379279375/72057594037927936,T10,534.7824056786485,508.41604939200016,64.37484258400005,64.95124987399998,12.095481140073389,24.995095459278673,0.4757386543788016,0.17224308382719755,109062,109062,109062,436248,218124,218124,df0c85934bd8287ae78b1de412b6512d4d80f9172c8225ab2b5c852634e187f6,False,False,False,False
brusselator,Gp,ORIGINAL_UNPARTITIONED_B1,1000,1000,True,720575940379279375/36028797018963968,T20,1367.953375371173,1224.524922873998,112.79373139799988,113.68908683900014,23.728900413494557,138.73551622917876,0.8233908410184085,1.1256854757666588,161982,161982,161982,647928,323964,323964,27675d1308b0b5e2f85c3acb8085faf74ea091442c14a66c6fce9918646efd8d,False,False,False,False
