run_id,plant,route,batch,steps,lane_steps,requests,dispatches,semantic_device_groups,packets,mean_dispatch_size,p95_dispatch_size,max_dispatch_size,mean_ready_requests,mean_ready_keys,mean_selected_keys,wall_s,cpu_s,throughput,initial_state_s,serialization_s,service_wall_s,service_thread_cpu_s,selection_wall_s,selection_thread_cpu_s,ownership_copy_task_sum_s,ownership_copy_union_s,submit_lock_wait_task_sum_s,submit_lock_wait_union_s,deliver_lock_wait_task_sum_s,future_set_task_sum_s,consume_lock_wait_task_sum_s,future_wait_task_sum_s,future_wait_union_s,validation_and_layout_s,host_packet_build_s,envelope_check_s,host_stage_owned_payload_s,grouping_and_packing_s,device_allocation_s,metadata_h2d_enqueue_s,numeric_h2d_enqueue_s,h2d_sync_s,pure_device_metadata_h2d_s,pure_device_numeric_h2d_s,kernel_enqueue_s,kernel_and_sync_host_s,pure_device_kernel_s,metadata_d2h_enqueue_s,numeric_d2h_enqueue_s,d2h_sync_s,pure_device_metadata_d2h_s,pure_device_numeric_d2h_s,scatter_and_private_wrap_s,actual_kernel_invocations,h2d_copy_operations,d2h_copy_operations,metadata_h2d_bytes,numeric_h2d_bytes,metadata_d2h_bytes,numeric_d2h_bytes,device_allocation_operations,pinned_allocation_operations,scratch_packets,scratch_growth_packets,scratch_last_growth_packet,scratch_no_growth_final_quarter,scratch_final_device_capacity_bytes,scratch_cumulative_device_allocation_bytes,external_cpu_fallback_requests,oversize_parent_requests,peak_rss_kib,peak_gpu_allocated_bytes,cold_startup_s,non_service_wall_s,zero_service_amdahl_upper,block,order_position
block0-van_der_pol-S,van_der_pol,S,32,20,640,70704,70704,70704,0,1,1.0,1,,,,385.100582439,384.814330701,1.6619034849197512,0.12038537,2.6370323202572763,132.46546817399982,132.418307937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.142650010529906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.436841694638133,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,547692,0,0,252.63511426500017,1.5243351406608145,0,0
block0-van_der_pol-Q,van_der_pol,Q,32,20,640,70704,20614,20614,0,3.429902008343844,10.0,27,24.376006597458037,9.010478315707772,1,351.426385537,351.145766452,1.8211495389625987,0.124469523,2.9132276731543243,312.4377316190009,68.457043949,1.263279198,1.246557925,3.212527741,3.187158398,0.079616916,0.079616916,0.126652141,1.078532479,1.337085676,8025.592813615,334.557624407,0.0,0.0,0.0,0.0,85.00039280345663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.30593802081421,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,607976,0,0,38.9886539179991,9.013555232661266,0,1
block0-van_der_pol-G0,van_der_pol,G0,32,20,640,70704,27314,27314,0,2.5885626418686387,7.0,22,19.409204071172294,8.958556051841546,1,313.236395425,313.017512052,2.0431853046056356,0.129328648,4.2562117096967995,240.30890336800152,25.528228956,1.484368936,1.478069972,4.43965007,4.423698952,0.081297454,0.081297454,0.387305724,1.008979549,1.981156879,5505.050493101,304.166658563,0.0,0.0,0.0,0.0,168.10224008839577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.650905836839229,0.0,0.0,0.0,0.0,0.0,0.0,8.089663997292519,109256,218512,109256,2203932,9198704,1156864,1131264,437024,0,0,0,0,True,0,0,0,0,912988,15360,0.422237018,72.92749205699849,4.295175750458846,0,2
block0-van_der_pol-Gp,van_der_pol,Gp,32,20,640,70704,5041,5041,5041,14.025788534021027,28.0,32,14.025788534021027,8.810355088276136,8.810355088276136,283.337686812,283.135841852,2.2587888226272286,0.121988706,2.7411405351012945,14.766242505999982,8.564450485,0.472410332,0.470114197,4.762920343,4.738848958,0.311023503,0.245336006,0.079192362,0.652378641,1.398096596,4491.129604995,271.434594799,0.6584156104363501,7.797012733761221,0.8365983106195927,0.4212597105652094,9.713286365382373,0.009973496664315462,0.15447742864489555,0.1414115228690207,0.054627341683954,0.24444947127066527,0.22917734585235247,1.0701940851286054,1.1970646646805108,1.2101898225918473,0.16493300581350923,0.10648031253367662,0.08730208408087492,0.17823110595531733,0.12217388833686717,1.43934668879956,20164,10082,10082,45517720,9198704,1533504,1131264,17,17,5041,10,578,True,49152,94336,0,0,859960,58880,0.620831217,268.57144430600005,1.054980686960807,0,3
block0-brusselator-S,brusselator,S,32,20,640,106919,106919,106919,0,1,1.0,1,,,,565.653806098,565.251236165,1.1314340911358058,0.120227514,4.0094077731482685,195.23416942800063,195.152240212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.057355338707566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165945779066533,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,617512,0,0,370.41963666999936,1.5270621481709716,0,0
block0-brusselator-Q,brusselator,Q,32,20,640,106919,25301,25301,0,4.225880399984191,14.0,30,23.054780443460732,6.897474408126161,1,491.467965214,491.095765645,1.302221193036101,0.122035083,3.910173281095922,402.51455349900004,88.874096075,1.408051756,1.405159972,5.361971153,5.266949505,0.133151614,0.133151614,0.071680166,0.684789895,0.226686369,9075.702388874,446.46526923,0.0,0.0,0.0,0.0,105.60129793174565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699571180623025,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,657688,0,0,88.95341171499996,5.5250041087645565,0,1
block0-brusselator-G0,brusselator,G0,32,20,640,106919,31569,31569,0,3.3868351864170547,9.0,26,20.501979790300613,7.162089391491653,1,430.06621549,429.743996341,1.4881429346195212,0.121855485,5.261210622731596,199.52879000900026,29.673863154,1.636702392,1.631214589,6.651698674,6.578921188,0.233491374,0.158174677,0.088380699,0.736201607,0.238885023,5167.838074268,362.725449409,0.0,0.0,0.0,0.0,139.73412924725562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.935743641108274,0.0,0.0,0.0,0.0,0.0,0.0,6.879424269776791,126276,252552,126276,2484815,13489872,1437884,1710704,505104,0,0,0,0,True,0,0,0,0,880704,16384,0.402909713,230.53742548099973,1.8654941365494033,0,2
block0-brusselator-Gp,brusselator,Gp,32,20,640,106919,7032,7032,7032,15.204635949943118,32.0,32,15.204635949943118,7.973549488054608,7.973549488054608,414.769146956,414.457046322,1.5430270180339456,0.121687726,3.9152564401738346,23.590243360999967,12.428201761,0.658262259,0.655634106,8.629148234,8.470734727,0.51329833,0.432867849,0.150509161,0.528568659,2.337802617,4884.28788862,346.024790022,0.9642862756736577,13.942576207686216,1.0725261368788779,0.34039253555238247,16.319781155791134,0.076960239559412,0.24299687333405018,0.08353006793186069,0.09247236838564277,0.2927871032319955,0.15337881450539895,1.352408568840474,1.5405313959345222,1.5769599980712172,0.19978655222803354,0.11766105331480503,0.0432669254951179,0.23553689602203584,0.1378720639953397,2.410883478820324,28128,14064,14064,66981040,13489872,2205496,1710704,16,16,7032,9,179,True,49152,94080,0,0,830628,58880,0.631038584,391.178903595,1.06030551020058,0,3
block1-brusselator-Gp,brusselator,Gp,32,20,640,106919,7223,7223,7223,14.802575107296137,31.0,32,14.802575107296137,8.163643915270663,8.163643915270663,416.448262341,416.135386295,1.5368055479505143,0.121568986,3.969684504903853,22.487638035999925,12.653867619,0.663087589,0.660643967,7.473314216,7.399401612,0.143761171,0.143761171,0.042872215,0.537396386,0.277332157,5448.232243223,364.625972842,0.961333492770791,12.782455903012305,1.0426108143292367,0.35025689378380775,15.136657103896141,0.011360259260982275,0.1685801986604929,0.09152751136571169,0.07076476980000734,0.22787919953838098,0.11193344006594258,1.4650836042128503,1.6318655824288726,1.6500172788501082,0.2100778128951788,0.11560229025781155,0.05116418655961752,0.2283161304816596,0.13867222461476936,2.456680003553629,28892,14446,14446,67017712,13489872,2242168,1710704,16,16,7223,9,200,True,49152,93824,0,0,832324,58880,0.61891414,393.96062430500007,1.0570809280132276,1,0
block1-brusselator-G0,brusselator,G0,32,20,640,106919,31997,31997,0,3.3415320186267463,10.0,25,20.128012001125107,7.127418195455824,1,431.443925609,431.132428722,1.4833909159727185,0.123249085,5.315261187031865,211.20932502600064,29.704798462,1.642867607,1.639296763,5.937092018,5.778533683,0.15723742,0.156075103,0.087373989,0.708236076,0.234858888,5350.219147807,362.394577592,0.0,0.0,0.0,0.0,149.24283273005858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.648279971443117,0.0,0.0,0.0,0.0,0.0,0.0,5.988804672844708,127988,255976,127988,2524163,13489872,1451580,1710704,511952,0,0,0,0,True,0,0,0,0,882564,16384,0.395394473,220.23460058299938,1.9590197201842614,1,1
block1-brusselator-Q,brusselator,Q,32,20,640,106919,26352,26352,0,4.057339101396479,13.0,30,23.22962204007286,7.275235276259866,1,484.743442481,484.396342129,1.3202860398159701,0.1211673,3.8940324396826327,410.90441639100163,88.617186237,1.473110955,1.470652865,4.995930475,4.879742696,0.146302795,0.131253513,0.068378788,0.684312571,0.091448946,9588.239741677,457.156636374,0.0,0.0,0.0,0.0,109.29281403683126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.473068705294281,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,695500,0,0,73.83902608999836,6.564867769114028,1,2
block1-brusselator-S,brusselator,S,32,20,640,106919,106919,106919,0,1,1.0,1,,,,560.325997024,559.939578774,1.1421922298789706,0.11985638,3.9215358337387443,194.26136559300085,194.19435057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.920171737205237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140438739210367,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,695500,0,0,366.06463143099916,1.530675047282239,1,3
block1-van_der_pol-Gp,van_der_pol,Gp,32,20,640,70704,4927,4927,4927,14.350314593058656,27.0,32,14.350314593058656,9.033083011974833,9.033083011974833,281.972137395,281.76519398,2.2697278032951798,0.121626628,2.7298860801383853,12.767064940999973,8.239576486,0.460022533,0.457999542,5.336869542,5.284690384,0.609311685,0.567892769,0.183274398,0.753009748,5.583490055,4506.762115782,271.314201771,0.6479717413894832,6.311818630434573,0.7568797809071839,0.36637904960662127,8.083049202337861,0.008769811131060123,0.11127482913434505,0.10978147247806191,0.0933886868879199,0.14531686428003052,0.12979097641072854,0.8765716822817922,0.9886396923102438,1.046461438499396,0.15174612775444984,0.0654496056959033,0.02901586052030325,0.179221086956561,0.08782924807816755,1.7687298632226884,19708,9854,9854,45495832,9198704,1511616,1131264,16,16,4927,10,1025,True,49152,95488,0,0,860092,62976,0.616232247,269.20507245400006,1.0474250534160403,1,0
block1-van_der_pol-G0,van_der_pol,G0,32,20,640,70704,25735,25735,0,2.747386827278026,8.0,25,19.321663104721196,8.293763357295513,1,295.630526895,295.415904,2.164864389080194,0.123464852,4.035479167010635,216.14518436500097,23.568870493,1.338068591,1.32661336,4.392825994,4.340724169,2.484531473,1.015232616,0.909472283,1.022190823,1.591751342,4923.304627523,285.61173825,0.0,0.0,0.0,0.0,155.79055858962238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.454126478172839,0.0,0.0,0.0,0.0,0.0,0.0,4.708419699221849,102940,205880,102940,2083576,9198704,1106336,1131264,411760,0,0,0,0,True,0,0,0,0,908832,16384,0.395180764,79.48534252999903,3.719308711331581,1,1
block1-van_der_pol-Q,van_der_pol,Q,32,20,640,70704,20765,20765,0,3.4049602696845653,10.0,25,24.356561521791477,8.939224656874549,1,338.94437496,338.697637913,1.8882154338024597,0.121047671,2.9049666728824377,305.39062771700117,66.436836496,1.227518682,1.218864261,2.781272193,2.763550834,0.268293128,0.214248706,0.061047431,1.133534342,1.000207114,7784.677046561,327.543242291,0.0,0.0,0.0,0.0,85.49116852367297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3391027278266847,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,695500,0,0,33.55374724299884,10.101535679616902,1,2
block1-van_der_pol-S,van_der_pol,S,32,20,640,70704,70704,70704,0,1,1.0,1,,,,387.461875158,387.176250941,1.6517754159400058,0.12307402,2.622988502960652,133.67354319200004,133.622760463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.117192761972547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4561809352599084,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,695500,0,0,253.78833196599996,1.526712722198388,1,3
