plant,step,exact_time,view,coordinate,reference,reference_data_origin,observer,gpu_lo_hex,gpu_hi_hex,reference_lo_hex,reference_hi_hex,gpu_width,reference_width,width_ratio,lower_abs_diff,upper_abs_diff,center_abs_diff,near_zero_reference,width_ratio_over_1p10
van_der_pol,114,328582628812951395/288230376151711744,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.cccd587f2d180p+0,0x1.e082a6037b80ap+0,0x1.cedac3357b1d7p+0,0x1.e0754abc4f229p+0,0.07698521118291746,0.06876418153480701,1.1195539518484507,0.008017224796295741,0.00020380485181470398,0.0039067099722405185,False,True
van_der_pol,114,328582628812951395/288230376151711744,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.ccccadb787807p+0,0x1.e1d7aaf79500cp+0,0x1.cedac074ab7c5p+0,0x1.e1c9a7a992ac4p+0,0.08219893277919366,0.07395787278727517,1.1114291106725342,0.008027239968199762,0.00021382002371872488,0.0039067099722404075,False,True
van_der_pol,115,662929865148937025/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.cb8672552224cp+0,0x1.df190a272a8f8p+0,0x1.cd97d4b594a1dp+0,0x1.df0b6b6f61796p+0,0.07645558240657646,0.06816999469887564,1.1215430299547535,0.008077763125118986,0.00020782458258183922,0.0039349692712685735,False,True
van_der_pol,115,662929865148937025/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.cb85cc7a2e8e8p+0,0x1.e071f1051011ap+0,0x1.cd97d21789622p+0,0x1.e063af105ea4fp+0,0.0817282523216929,0.07342320513749745,1.1131120218552546,0.008087492863366297,0.00021755432082914972,0.0039349692712685735,False,True
van_der_pol,116,167173618167992815/144115188075855872,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.ca3b0edaa28b9p+0,0x1.ddac3c8d002fdp+0,0x1.cc506234cc3c2p+0,0x1.dd9e5a0c79a6bp+0,0.0759457169020985,0.06759594932138158,1.123524673660819,0.008137902748503345,0.00021186483221358188,0.003963018958144882,False,True
van_der_pol,116,167173618167992815/144115188075855872,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.ca3a6dc032dd3p+0,0x1.df08f6318c310p+0,0x1.cc505fb866450p+0,0x1.defa7512fbf0ap+0,0.08127644316966998,0.07290776692904766,1.1147844268603995,0.008147357078456041,0.000221319162166278,0.0039630189581447706,False,True
van_der_pol,117,674459080195005495/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c8eb40c224332p+0,0x1.dc3c4793ead2bp+0,0x1.cb047ee097e01p+0,0x1.dc2e20f5a7ca8p+0,0.0754551183841825,0.06704152120793494,1.1254983035088373,0.008197672304664172,0.00021592487158339502,0.0039908737165404995,False,True
van_der_pol,117,674459080195005495/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c8eaa43d7ea93p+0,0x1.dd9cc5a125200p+0,0x1.cb047c84c2827p+0,0x1.dd8e04da11eb7p+0,0.08084305460803454,0.07241108019607978,1.116445913928118,0.008206860922517656,0.00022511348943710097,0.003990873716540166,False,True
van_der_pol,118,340111843859019865/288230376151711744,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c79719dd6032ap+0,0x1.dac934fb0d7e8p+0,0x1.c9b43d03afbeep+0,0x1.dabac9ed4d18dp+0,0.07498330568823475,0.06650620177729372,1.127463359572509,0.008257099965292447,0.0002200039456485836,0.004018548009821932,False,True
van_der_pol,118,340111843859019865/288230376151711744,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.c79681c537a2ap+0,0x1.dc2d69d1d5639p+0,0x1.c9b43ac7607a5p+0,0x1.dc1e68e83bb27p+0,0.08042764957440673,0.071932681104244,1.1180960912307985,0.008266032244903299,0.00022893622525943513,0.004018548009821821,False,True
