lane,source_sha,scenario,execution_status,completed_requested_horizon,requested_horizon,completed_horizon,accepted_steps,rejected_attempts,refinement_iterations,status_code,endpoint_x,endpoint_y,endpoint_x_width,endpoint_y_width,segment_tube_x,segment_tube_y,segment_tube_x_width,segment_tube_y_width,runtime_s,peak_gpu_memory_bytes,not_run_reason
huan_parity,743f6205e6408072193ad76e940e7f15030e8d3c,step1,EXECUTED,True,0.01,0.01,1,0,4,2,"[1.1234177948563921, 1.4243144353752384]","[2.312324665043838, 2.43363768449355]",0.3008966405188463,0.12131301944971186,"[1.0993097041801023, 1.4245550696434677]","[2.3116588765678494, 2.4610650783451136]",0.3252453654633654,0.14940620177726419,1.1412569789681584,33799680,
huan_strict,743f6205e6408072193ad76e940e7f15030e8d3c,step1,EXECUTED,True,0.01,0.01,1,0,3,2,"[1.1234175886747249, 1.4243148813018183]","[2.3123234312791396, 2.433638867651504]",0.30089729262709347,0.12131543637236454,"[1.099309497998437, 1.4245555155700456]","[2.311657642803153, 2.461066261503066]",0.3252460175716086,0.14940861869991331,0.04734740499407053,33815552,
stock_flowstar,b85a3211748cb77b736fe4ad42ee02d8d2b81148,step1,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,False,0.01,,,,,,,,,,,,,,,,mandatory Huan adaptive+SR100 contract-portability stop occurred before this lane
torch_c2,29c9ee8f1fe96b860052b86a2b37d79a37bbb2ca,step1,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,False,0.01,,,,,,,,,,,,,,,,mandatory Huan adaptive+SR100 contract-portability stop occurred before this lane
