attempt_global_index,t_start,h_try,t_end,order,accepted,rejection_reason,residual_width_x,residual_width_y,residual_width_sum,target_width_x,target_width_y,target_width_sum,residual_over_target_ratio_x,residual_over_target_ratio_y,residual_over_target_ratio_sum,final_width_x,final_width_y,final_width_sum,polynomial_range_width_x,polynomial_range_width_y,remainder_width_x,remainder_width_y,cutoff_uncertainty_width_x,cutoff_uncertainty_width_y,truncation_uncertainty_width_x,truncation_uncertainty_width_y,notes
220,2.0017283433292654,0.0078363468787901354,2.0095646902080557,6,False,Picard residual not subset of target remainder,3.5290507515807986e-06,0.00025543597613786388,0.00025896502688944466,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.017645253757903993,1.2771798806893193,0.64741256722361162,2.1326064412635799,4.0616987969059659,6.1943052381695463,2.1394839292569676,4.1021603227970402,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0068468914672123052,rejected_after_t_2
221,2.0017283433292654,0.0078363468787901354,2.0095646902080557,6,False,Picard residual not subset of target remainder,3.5290507515807986e-06,0.00025543597613786388,0.00025896502688944466,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.017645253757903993,1.2771798806893193,0.64741256722361162,2.1326064412635799,4.0616987969059659,6.1943052381695463,2.1394839292569676,4.1021603227970402,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0068468914672123052,rejected_after_t_2
224,2.0115237769277527,0.0088158902386389019,2.0203396671663918,6,False,Picard residual not subset of target remainder,4.825832173129935e-06,0.00036883530013857873,0.00037366113231170869,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.024129160865649674,1.8441765006928936,0.93415283077927169,2.1773599344120633,4.2446307407848485,6.4219906751969118,2.1851726045853406,4.2908697195117442,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0098182670544980141,rejected_after_t_2
225,2.0115237769277527,0.0088158902386389019,2.0203396671663918,6,False,Picard residual not subset of target remainder,4.825832173129935e-06,0.00036883530013857873,0.00037366113231170869,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.024129160865649674,1.8441765006928936,0.93415283077927169,2.1773599344120633,4.2446307407848485,6.4219906751969118,2.1851726045853406,4.2908697195117442,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0098182670544980141,rejected_after_t_2
227,2.015931722047072,0.0066119176789791768,2.0225436397260514,6,False,Picard residual not subset of target remainder,2.6513527334838126e-06,0.00020398533535979194,0.00020663668809327575,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.013256763667419062,1.0199266767989597,0.51659172023318933,2.1867674737388723,4.2848302031073304,6.4715976768462031,2.1925467899328246,4.3185719246101391,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0056684612238579587,rejected_after_t_2
228,2.015931722047072,0.0066119176789791768,2.0225436397260514,6,False,Picard residual not subset of target remainder,2.6513527334838126e-06,0.00020398533535979194,0.00020663668809327575,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.013256763667419062,1.0199266767989597,0.51659172023318933,2.1867674737388723,4.2848302031073304,6.4715976768462031,2.1925467899328246,4.3185719246101391,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0056684612238579587,rejected_after_t_2
231,2.0241966191457963,0.0074384073888515735,2.0316350265346479,6,False,Picard residual not subset of target remainder,3.537390453820402e-06,0.00028848889857184106,0.00029202628902566145,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.01768695226910201,1.4424444928592053,0.73006572256415359,2.2264820392865983,4.4514777314484393,6.677959770735038,2.2330431603619312,4.4899389101114933,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0079978661607595283,rejected_after_t_2
232,2.0241966191457963,0.0074384073888515735,2.0316350265346479,6,False,Picard residual not subset of target remainder,3.537390453820402e-06,0.00028848889857184106,0.00029202628902566145,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.01768695226910201,1.4424444928592053,0.73006572256415359,2.2264820392865983,4.4514777314484393,6.677959770735038,2.2330431603619312,4.4899389101114933,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0079978661607595283,rejected_after_t_2
235,2.0334946283818605,0.0083682083124580198,2.0418628366943183,6,False,Picard residual not subset of target remainder,4.8714494460803255e-06,0.00041682841500875723,0.00042169986445483756,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.024357247230401627,2.0841420750437862,1.054249661137094,2.2730307926740072,4.65035636398816,6.9233871566621676,2.2804802577773295,4.6942829114755034,0.00020000000000000004,0.00020000000000000004,0,0,0,0.011464777116399627,rejected_after_t_2
236,2.0334946283818605,0.0083682083124580198,2.0418628366943183,6,False,Picard residual not subset of target remainder,4.8714494460803255e-06,0.00041682841500875723,0.00042169986445483756,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.024357247230401627,2.0841420750437862,1.054249661137094,2.2730307926740072,4.65035636398816,6.9233871566621676,2.2804802577773295,4.6942829114755034,0.00020000000000000004,0.00020000000000000004,0,0,0,0.011464777116399627,rejected_after_t_2
