tool,tool_variant,protocol,system,h,horizon,state_index,state_name,run_status,first_failure_time,failure_horizon_or_censor,censored_at_requested_horizon,final_valid_time,width_at_own_final_valid_step
diffreach,affine_flag,multi_step_common_box_carry,harmonic,0.01,4.0,1,x2,success,,4.0,True,4.0,11.141717956096558
diffreach,affine_flag,multi_step_common_box_carry,van_der_pol,0.005,1.0,0,x1,validation_failed,0.63,0.63,False,0.625,1.653118452793051
diffreach,affine_flag,multi_step_common_box_carry,van_der_pol,0.005,1.0,1,x2,validation_failed,0.63,0.63,False,0.625,8.253468663083279
diffreach,affine_flag,multi_step_common_box_carry,van_der_pol,0.01,1.0,0,x1,validation_failed,0.55,0.55,False,0.54,1.1900299826141882
diffreach,affine_flag,multi_step_common_box_carry,van_der_pol,0.01,1.0,1,x2,validation_failed,0.55,0.55,False,0.54,5.216566993359596
diffreach,affine_flag,native_low_order,riccati,0.01,1.0,0,x,success,,1.0,True,1.0,0.11389871908235942
diffreach,default_restricted_quasi_quadratic,native_low_order,riccati,0.01,1.0,0,x,success,,1.0,True,1.0,0.11389458226420779
diffreach,affine_flag,native_low_order,harmonic,0.01,4.0,0,x1,success,,4.0,True,4.0,11.141717956096551
diffreach,affine_flag,native_low_order,harmonic,0.01,4.0,1,x2,success,,4.0,True,4.0,11.141717956096551
diffreach,default_restricted_quasi_quadratic,native_low_order,harmonic,0.01,4.0,0,x1,success,,4.0,True,4.0,0.30318617861182035
diffreach,default_restricted_quasi_quadratic,native_low_order,harmonic,0.01,4.0,1,x2,success,,4.0,True,4.0,0.3031861786118206
diffreach,affine_flag,native_low_order,van_der_pol,0.005,1.0,0,x1,validation_failed,0.62,0.62,False,0.615,1.6297255220703204
diffreach,affine_flag,native_low_order,van_der_pol,0.005,1.0,1,x2,validation_failed,0.62,0.62,False,0.615,7.9366121731784345
diffreach,default_restricted_quasi_quadratic,native_low_order,van_der_pol,0.005,1.0,0,x1,success,,1.0,True,1.0,0.11826359632019146
diffreach,default_restricted_quasi_quadratic,native_low_order,van_der_pol,0.005,1.0,1,x2,success,,1.0,True,1.0,0.14064663658680115
diffreach,affine_flag,native_low_order,van_der_pol,0.01,1.0,0,x1,validation_failed,0.54,0.54,False,0.53,1.1674729871567904
diffreach,affine_flag,native_low_order,van_der_pol,0.01,1.0,1,x2,validation_failed,0.54,0.54,False,0.53,4.970272925768296
diffreach,default_restricted_quasi_quadratic,native_low_order,van_der_pol,0.01,1.0,0,x1,success,,1.0,True,1.0,0.12893579776439457
diffreach,default_restricted_quasi_quadratic,native_low_order,van_der_pol,0.01,1.0,1,x2,success,,1.0,True,1.0,0.15133241787615204
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,riccati,0.01,1.0,0,x,success,,1.0,True,1.0000000000000007,0.13185402992023038
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,harmonic,0.01,4.0,0,x1,validation_failed,2.23,2.23,False,2.2199999999999966,1.983399959086664
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,harmonic,0.01,4.0,1,x2,validation_failed,2.23,2.23,False,2.2199999999999966,1.983399959086664
flowstar,minimum_supported_fixed_order_2,multi_step_common_box_carry,van_der_pol,0.005,1.0,0,x1,validation_failed,0.08,0.08,False,0.075,0.3440507078511654
