tool,tool_variant,protocol,system,h,horizon,run_status,build_time_s,jit_compile_time_s,first_execution_time_s,steady_runtime_per_step_s,orchestration_time_s,completed_steps
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,riccati,0.005,0.005,success,0.0,0.0,0.012180043384432793,0.00825850572437048,0.013390916865319014,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,riccati,0.01,0.01,success,0.0,0.0,0.008725150022655725,0.008317411877214909,0.009730781894177198,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,riccati,0.02,0.02,success,0.0,0.0,0.008750639855861664,0.008944213856011629,0.009771367069333792,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,riccati,0.05,0.05,success,0.0,0.0,0.008913406170904636,0.0085173100233078,0.009934174828231335,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,harmonic,0.005,0.005,success,0.0,0.0,0.014633847866207361,0.013034614734351635,0.016596493311226368,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,harmonic,0.01,0.01,success,0.0,0.0,0.013796697836369276,0.013205731753259897,0.015734240878373384,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,harmonic,0.02,0.02,success,0.0,0.0,0.013706631027162075,0.01310720108449459,0.015645971056073904,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,harmonic,0.05,0.05,success,0.0,0.0,0.013857356272637844,0.013021904043853283,0.01578729832544923,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,van_der_pol,0.0025,0.0025,success,0.0,0.0,0.02543714502826333,0.024394504260271788,0.02722252393141389,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,van_der_pol,0.005,0.005,success,0.0,0.0,0.025255972985178232,0.024440056178718805,0.027039645239710808,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,van_der_pol,0.01,0.01,success,0.0,0.0,0.025359300896525383,0.024401277769356966,0.027141824830323458,1
torch_tm_flowpipe,complete_total_degree_order_1,one_step_common_input,van_der_pol,0.02,0.02,success,0.0,0.0,0.02549182577058673,0.024460197892040014,0.02727559208869934,1
torch_tm_flowpipe,complete_total_degree_order_1,multi_step_common_box_carry,riccati,0.01,1.0,success,0.0,0.0,0.008713133167475462,0.008186036255210638,0.9324804111383855,100
torch_tm_flowpipe,complete_total_degree_order_1,multi_step_common_box_carry,harmonic,0.01,4.0,success,0.0,0.0,0.013733456376940012,0.012997414916753769,6.117973543703556,400
torch_tm_flowpipe,complete_total_degree_order_1,multi_step_common_box_carry,van_der_pol,0.005,1.0,validation_failed,0.0,0.0,0.02542254701256752,0.024308289866894484,3.5146948876790702,125
torch_tm_flowpipe,complete_total_degree_order_1,multi_step_common_box_carry,van_der_pol,0.01,1.0,validation_failed,0.0,0.0,0.025081206113100052,0.024372288957238197,1.7297825580462813,59
