tool,tool_variant,system,h,state_index,state_name,status,lower,upper,width,exact_width,exact_inflation_ratio,native_validation_status,local_order,local_retained_basis,interval_remainder_width,polynomial_width,steady_runtime_per_step_s,first_failure_time
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.005,0,x,validated,-6.252759064141061e-09,0.10005005626682162,0.10005006251958068,0.10005002501250625,1.000000374883209,validated,1,"complete_total_degree_1(local_time,state_generators)",5.006251958062874e-05,0.10000000000000005,0.00825850572437048,
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.01,0,x,validated,-2.5015065006565786e-08,0.10010022512756506,0.10010025014263006,0.1001001001001001,1.0000014989248742,validated,1,"complete_total_degree_1(local_time,state_generators)",0.00010025014263001466,0.10000000000000005,0.008317411877214909,
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.02,0,x,validated,-1.0011350502627566e-07,0.10020090101350508,0.10020100112701011,0.10020040080160321,1.000005991247561,validated,1,"complete_total_degree_1(local_time,state_generators)",0.00020100112701005815,0.10000000000000005,0.008944213856011629,
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.05,0,x,validated,-6.267588251644583e-07,0.10050564082132525,0.10050626758015041,0.10050251256281408,1.0000373624224965,validated,1,"complete_total_degree_1(local_time,state_generators)",0.0005062675801503622,0.10000000000000005,0.0085173100233078,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.005,0,x1,validated,-0.10050312500100633,0.10050312500100633,0.20100625000201267,0.20099749583854687,1.0000435535946817,validated,1,"complete_total_degree_1(local_time,state_generators)",0.001006250002012564,0.2000000000000001,0.013034614734351635,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.005,1,x2,validated,-0.10050312500100633,0.10050312500100633,0.20100625000201267,0.20099749583854687,1.0000435535946817,validated,1,"complete_total_degree_1(local_time,state_generators)",0.001006250002012564,0.2000000000000001,0.013034614734351635,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,0,x1,validated,-0.10101250000101267,0.10101250000101267,0.20202500000202533,0.2019899667501664,1.0001734405546108,validated,1,"complete_total_degree_1(local_time,state_generators)",0.0020250000020252527,0.2000000000000001,0.013205731753259897,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,1,x2,validated,-0.10101250000101267,0.10101250000101267,0.20202500000202533,0.2019899667501664,1.0001734405546108,validated,1,"complete_total_degree_1(local_time,state_generators)",0.0020250000020252527,0.2000000000000001,0.013205731753259897,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.02,0,x1,validated,-0.10205000000102556,0.10205000000102556,0.2041000000020511,0.2039597346719822,1.0006877108871244,validated,1,"complete_total_degree_1(local_time,state_generators)",0.0041000000020510055,0.2000000000000001,0.01310720108449459,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.02,1,x2,validated,-0.10205000000102556,0.10205000000102556,0.2041000000020511,0.2039597346719822,1.0006877108871244,validated,1,"complete_total_degree_1(local_time,state_generators)",0.0041000000020510055,0.2000000000000001,0.01310720108449459,
