run_id,timestamp,tool,tool_variant,protocol,system,h,horizon,requested_steps,completed_steps,run_status,native_validation_status,first_failure_time,successful_horizon,local_order,local_retained_basis,measured_polynomial_support,carried_representation,reset_policy,validator,dtype,device,build_time_s,jit_compile_time_s,first_execution_time_s,steady_runtime_per_step_s,orchestration_time_s,validation_attempts,tool_git_sha,adapter_git_sha,extraction_workaround,message
diffreach_affine_flag_one_step_common_input_riccati_f7b9341551,20260724T132637Z,diffreach,affine_flag,one_step_common_input,riccati,0.05,0.05,1,1,success,validated,,0.05,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 1, ""nonzero_linear_coefficients"": 2}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.44373714085668325,0.0007371329702436924,0.00021135713905096054,0.44992748461663723,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_harmonic_dac8ca79da,20260724T132637Z,diffreach,affine_flag,one_step_common_input,harmonic,0.005,0.005,1,1,success,validated,,0.005,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 0, ""nonzero_linear_coefficients"": 2}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.5276015438139439,0.0005666152574121952,0.00011379923671483994,0.6453999308869243,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_harmonic_65b6d0ff14,20260724T132638Z,diffreach,affine_flag,one_step_common_input,harmonic,0.01,0.01,1,1,success,validated,,0.01,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 0, ""nonzero_linear_coefficients"": 2}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.483194119296968,0.000559207983314991,0.00011320598423480988,0.4893131637945771,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_harmonic_c7a8c9176e,20260724T132638Z,diffreach,affine_flag,one_step_common_input,harmonic,0.02,0.02,1,1,success,validated,,0.02,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 0, ""nonzero_linear_coefficients"": 2}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.4928298480808735,0.0005580908618867397,0.00010407296940684319,0.49899077508598566,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_harmonic_1d2517ea0a,20260724T132639Z,diffreach,affine_flag,one_step_common_input,harmonic,0.05,0.05,1,1,success,validated,,0.05,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 0, ""nonzero_linear_coefficients"": 2}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.5218522851355374,0.000554865226149559,0.00011504907160997391,0.5279859928414226,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_van_der_pol_d8f311427a,20260724T132639Z,diffreach,affine_flag,one_step_common_input,van_der_pol,0.0025,0.0025,1,1,success,validated,,0.0025,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 2, ""nonzero_linear_coefficients"": 4}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.7846610490232706,0.0006486750207841396,0.00017453497275710106,0.7924910001456738,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_van_der_pol_a3f92e60fc,20260724T132640Z,diffreach,affine_flag,one_step_common_input,van_der_pol,0.005,0.005,1,1,success,validated,,0.005,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 2, ""nonzero_linear_coefficients"": 4}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.7961448607966304,0.0006424169987440109,0.0001656152307987213,0.8038158239796758,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_van_der_pol_f2c676b88f,20260724T132641Z,diffreach,affine_flag,one_step_common_input,van_der_pol,0.01,0.01,1,1,success,validated,,0.01,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 2, ""nonzero_linear_coefficients"": 4}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.7870484162122011,0.0006350330077111721,0.00018925592303276062,0.7947037410922348,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_one_step_common_input_van_der_pol_6376a052ed,20260724T132642Z,diffreach,affine_flag,one_step_common_input,van_der_pol,0.02,0.02,1,1,success,validated,,0.02,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 2, ""nonzero_linear_coefficients"": 4}",none_one_segment,not_applicable,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.8447809559293091,0.0006647557020187378,0.00017283298075199127,0.8524352181702852,1,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
diffreach_affine_flag_multi_step_common_box_carry_riccati_dae2b09dd0,20260724T132643Z,diffreach,affine_flag,multi_step_common_box_carry,riccati,0.01,1.0,100,100,success,validated,,1.0,affine_flag_with_transient_quasi_quadratic,"stock_affine_flag_final_{1,t,z};transient_{t^2,t*z}","{""nonzero_Lt_coefficients"": 0, ""nonzero_constant_coefficients"": 1, ""nonzero_linear_coefficients"": 2}",componentwise_axis_aligned_box,endpoint_box_exact_no_inflation,DiffReach_upstream_remainder_picard_initial_contraction,jax_x64,cpu,0.0,0.44558298168703914,0.000554374884814024,0.00010957987979054451,0.48225715989246964,100,dd628eb443b517d6415de93e7035b4baef73963e,c12de37d5ada53fdab17b98ab9526f48c6cc31c4,,
