backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.9074756049958523,0.019740089017432183,2,0.01,0.27971139500732534,0,0.0,1.5810698659915943
hybrid_dense_core,0.610320716019487,0.022817247023340315,2,0.01,0.000758292997488752,1,0.01,1.267805673996918
hybrid_dense_core,0.6106359660043381,0.028104775003157556,2,0.01,0.0008953049837145954,2,0.02,2.2140275980054867
hybrid_dense_core,0.6112721849931404,0.027823151991469786,2,0.01,0.0009313850023318082,3,0.03,2.3498343879764434
hybrid_dense_core,0.6071047240111511,0.02785241699893959,2,0.01,0.0009497130231466144,4,0.04,2.4530053079943173
hybrid_dense_core,0.6079157119966112,0.028145921998657286,2,0.01,0.0009639250056352466,5,0.05,2.7131474709894974
hybrid_dense_core,0.6081717310007662,0.029518902010750026,2,0.01,0.0009349239990115166,6,0.06,2.7323950749996584
hybrid_dense_core,0.609289884014288,0.028177075990242884,2,0.01,0.0010250249761156738,7,0.07,2.7106572409975342
hybrid_dense_core,0.6097481760079972,0.02797565099899657,2,0.01,0.0009320360259152949,8,0.08,2.705688650981756
hybrid_dense_core,0.6108651490067132,0.02910087798954919,2,0.01,0.0009230629948433489,9,0.09,2.708271898009116
