label,boundary_index,mode,status,input_sha256,result_sha256,raw_picard_image,subset_margin,endpoint,reason
step_1_to_2,1,legacy_normalized_insertion,validated,09cfee5579ae38a7efdc9e5b52b1fd065d6d713871940a1b932182b05bb9ee62,b940c318c158546bb076b826ad9e1ddae511c2fc14d08fc5875a1b075153eb70,"[[-1.0000030000000013e-06, -1.725005236159532e-05], [1.0000030000000013e-06, 1.9521267215647628e-05]]","[[9.8999997e-05, 8.047873278435237e-05]]","[{""hi"": 1.448466743220258, ""lo"": 1.1464501005045302, ""width"": 0.30201664271572787}, {""hi"": 2.416347131657433, ""lo"": 2.2730951438938103, ""width"": 0.14325198776362272}]",
step_1_to_2,1,ordinary_only_same_source_set,validated,b5b1426cb76e0b15f73915ecf7cb65986c31d032a1d1a3075b29f26f4331ea60,11993856293524145e5bda57b7469161667aba284359b79ad0e0cd558a4d52b7,"[[-2.000006000000004e-06, -3.5061171707793656e-05], [2.000006000000004e-06, 3.733213464384899e-05]]","[[9.799999400000001e-05, 6.266786535615102e-05]]","[{""hi"": 1.4484665873590055, ""lo"": 1.146450278060561, ""width"": 0.30201630929844453}, {""hi"": 2.416349274734516, ""lo"": 2.273095165740765, ""width"": 0.1432541089937507}]",
step_1_to_2,1,bounded_source_ledger,validated,0e79ff10815282528eb44f7a219d6651fe4cb1cc08ad4c149cfb158920bf61bf,9ff4107b0a45c9f5db8122afc411ec3ba32fd502e2e7d7303ca69f432f53d98f,"[[-1.0000030000000013e-06, -1.725042688419574e-05], [1.0000030000000013e-06, 1.952139405774987e-05]]","[[9.8999997e-05, 8.047860594225014e-05]]","[{""hi"": 1.448466764916033, ""lo"": 1.1464501005035335, ""width"": 0.3020166644124996}, {""hi"": 2.4163493058727097, ""lo"": 2.2730951346067685, ""width"": 0.14325417126594123}]",
step_1_to_2,1,payload_tamper_plus_1_percent,validated,a1932b3c56c1de6e4b82a7ea28f18b6a741040ea93fd7be93a94f6ebbd957ed8,7760d941ecbd9a9110a25ead964e35f20247f987f4e9cd838b3390fcc1981937,"[[-1.0000030000000013e-06, -1.7250436252820082e-05], [1.0000030000000013e-06, 1.95214034685139e-05]]","[[9.8999997e-05, 8.047859653148611e-05]]","[{""hi"": 1.448466776691633, ""lo"": 1.1464500887279334, ""width"": 0.3020166879636997}, {""hi"": 2.4163494843009077, ""lo"": 2.273094956178612, ""width"": 0.14325452812229592}]",
step_1_to_2,1,metadata_tamper,validated,0e79ff10815282528eb44f7a219d6651fe4cb1cc08ad4c149cfb158920bf61bf,9ff4107b0a45c9f5db8122afc411ec3ba32fd502e2e7d7303ca69f432f53d98f,"[[-1.0000030000000013e-06, -1.725042688419574e-05], [1.0000030000000013e-06, 1.952139405774987e-05]]","[[9.8999997e-05, 8.047860594225014e-05]]","[{""hi"": 1.448466764916033, ""lo"": 1.1464501005035335, ""width"": 0.3020166644124996}, {""hi"": 2.4163493058727097, ""lo"": 2.2730951346067685, ""width"": 0.14325417126594123}]",
step_1_to_2,1,flowstar_operator,UNAVAILABLE,,,"""""","""""","""""",the Torch accepted prestate does not serialize Flow* Phi_L/J and ordinary remainder as a lossless Flow* Symbolic_Remainder object; a lossy adapter is forbidden
before_T_1,99,legacy_normalized_insertion,validated,c0116d2fc4295ee52d90b8bae73cc085cfbb166c3e9e427b09f88a7a70dba572,adf0c9c276f5baed8cdc9a84d59cefa23d1945cab9d945bdf346f7d93fdc69e1,"[[-1.0000030000000013e-06, -8.153196171782348e-06], [1.0000030000000013e-06, 8.275055909650957e-06]]","[[9.8999997e-05, 9.172494409034905e-05]]","[{""hi"": 1.9492586303852384, ""lo"": 1.8613027068611498, ""width"": 0.08795592352408856}, {""hi"": -0.3701992451075204, ""lo"": -0.4844914196377939, ""width"": 0.11429217453027353}]",
before_T_1,99,ordinary_only_same_source_set,validated,5f4f9f48b514c27e883d3ed73fdaf8b70b384ef21548c432acba3dde53ba7eb0,da007b28856c328859180c907ff3ad1b79acfa22e3b585d60598c368170fce78,"[[-2.000006000000004e-06, -1.638577428698894e-05], [2.000006000000004e-06, 1.650760236242618e-05]]","[[9.799999400000001e-05, 8.349239763757382e-05]]","[{""hi"": 1.9492585490224552, ""lo"": 1.8613027894702026, ""width"": 0.08795575955225267}, {""hi"": -0.3701990534051342, ""lo"": -0.4844914883662775, ""width"": 0.11429243496114329}]",
before_T_1,99,bounded_source_ledger,validated,5c6d22a9cc7cfd1ab2eb662ec992f2831a37eade4a8fada129bc6171f7f9dfbb,657f504c1ebb2e4ff28564013a4a203e9bd5c3da15cb65e32bfc86a5841fb3cd,"[[-1.0000030000000013e-06, -8.153230728317892e-06], [1.0000030000000013e-06, 8.275058855674945e-06]]","[[9.8999997e-05, 9.172494114432506e-05]]","[{""hi"": 1.9492586303841881, ""lo"": 1.8613027081084697, ""width"": 0.08795592227571848}, {""hi"": -0.37019924512888364, ""lo"": -0.48449129664248913, ""width"": 0.11429205151360551}]",
before_T_1,99,payload_tamper_plus_1_percent,validated,37f723f62d2a870b92b2e1881c0f9f37db5264a9f0c24f10edf17cb18603ebe0,730e303bee98234f17fdb6a09b046de03ea00e300387bfbb1ac98e92c1ff7a3d,"[[-1.0000030000000013e-06, -8.153232229981167e-06], [1.0000030000000013e-06, 8.275060357925497e-06]]","[[9.8999997e-05, 9.172493964207451e-05]]","[{""hi"": 1.9492586411978354, ""lo"": 1.8613026972948223, ""width"": 0.0879559439030131}, {""hi"": -0.3701991647191838, ""lo"": -0.4844913770521886, ""width"": 0.11429221233300481}]",
before_T_1,99,metadata_tamper,validated,5c6d22a9cc7cfd1ab2eb662ec992f2831a37eade4a8fada129bc6171f7f9dfbb,657f504c1ebb2e4ff28564013a4a203e9bd5c3da15cb65e32bfc86a5841fb3cd,"[[-1.0000030000000013e-06, -8.153230728317892e-06], [1.0000030000000013e-06, 8.275058855674945e-06]]","[[9.8999997e-05, 9.172494114432506e-05]]","[{""hi"": 1.9492586303841881, ""lo"": 1.8613027081084697, ""width"": 0.08795592227571848}, {""hi"": -0.37019924512888364, ""lo"": -0.48449129664248913, ""width"": 0.11429205151360551}]",
before_T_1,99,flowstar_operator,UNAVAILABLE,,,"""""","""""","""""",the Torch accepted prestate does not serialize Flow* Phi_L/J and ordinary remainder as a lossless Flow* Symbolic_Remainder object; a lossy adapter is forbidden
before_T_3,299,legacy_normalized_insertion,validated,77e269b422cedcb3139538ea967e806fa9caf811e65c2cb5a51ae84832870583,fd6237f65c3ed2629f390f4fc8c83991b4cf5a537409afc7131390eae9126b9e,"[[-1.0000030000000013e-06, -6.156629543860204e-06], [1.0000030000000013e-06, 5.77967242996732e-06]]","[[9.8999997e-05, 9.38433704561398e-05]]","[{""hi"": -0.35725330250818965, ""lo"": -0.5445128922488317, ""width"": 0.18725958974064208}, {""hi"": -2.4713056521905576, ""lo"": -2.627169907743842, ""width"": 0.15586425555328456}]",
before_T_3,299,ordinary_only_same_source_set,validated,4ccc5561b9952eae5099a93a5974e7984a02c72cbaaba228585da8fafaf3d6ed,25141e1a1b941eaf8ba7db51edbb475eb35ddae9a3895cc967574019a40e862d,"[[-2.000006000000004e-06, -1.1890151431489938e-05], [2.000006000000004e-06, 1.1513198110006088e-05]]","[[9.799999400000001e-05, 8.810984856851006e-05]]","[{""hi"": -0.35725335996290153, ""lo"": -0.5445128382009873, ""width"": 0.18725947823808578}, {""hi"": -2.471305740787897, ""lo"": -2.627170163545717, ""width"": 0.15586442275782011}]",
before_T_3,299,bounded_source_ledger,validated,7742c7576150f4e6f983b1677b65c93f2a9f399de5f29778deed5c4c15e8a62f,928a53226a6205995c19f6c6c751092e81d562c2d0fac08128c685f855b3b082,"[[-1.0000030000000013e-06, -6.156655454871855e-06], [1.0000030000000013e-06, 5.779701962139098e-06]]","[[9.8999997e-05, 9.384334454512815e-05]]","[{""hi"": -0.357253302508147, ""lo"": -0.5445128956557417, ""width"": 0.1872595931475947}, {""hi"": -2.4713056518473273, ""lo"": -2.627170252486458, ""width"": 0.15586460063913068}]",
before_T_3,299,payload_tamper_plus_1_percent,validated,62405f8b5dc7d16035ed2458378416a67a91e7dd684188e02903ae4dc10b0397,1367da1650b4521876cbed07dac7e4a9a49edacaf3e6ff13b9775fece5b5c815,"[[-1.0000030000000013e-06, -6.156656137087236e-06], [1.0000030000000013e-06, 5.779702642935387e-06]]","[[9.8999997e-05, 9.384334386291277e-05]]","[{""hi"": -0.3572532919335695, ""lo"": -0.5445129062303192, ""width"": 0.18725961429674978}, {""hi"": -2.471305593622279, ""lo"": -2.6271703107115076, ""width"": 0.1558647170892287}]",
before_T_3,299,metadata_tamper,validated,7742c7576150f4e6f983b1677b65c93f2a9f399de5f29778deed5c4c15e8a62f,928a53226a6205995c19f6c6c751092e81d562c2d0fac08128c685f855b3b082,"[[-1.0000030000000013e-06, -6.156655454871855e-06], [1.0000030000000013e-06, 5.779701962139098e-06]]","[[9.8999997e-05, 9.384334454512815e-05]]","[{""hi"": -0.357253302508147, ""lo"": -0.5445128956557417, ""width"": 0.1872595931475947}, {""hi"": -2.4713056518473273, ""lo"": -2.627170252486458, ""width"": 0.15586460063913068}]",
before_T_3,299,flowstar_operator,UNAVAILABLE,,,"""""","""""","""""",the Torch accepted prestate does not serialize Flow* Phi_L/J and ordinary remainder as a lossless Flow* Symbolic_Remainder object; a lossy adapter is forbidden
before_T_6_32,631,legacy_normalized_insertion,validated,81a35d243951b1d16c49ca43a08a288eda71b492c0a2d6beebcaecc95188ff37,de0d1ac5fac9dfbdefb4add49c6dac1b1a1a3adfce404aa2680f1177a2d61171,"[[-1.0000030000000013e-06, -8.843069181021467e-05], [1.0000030000000013e-06, 9.720323095713795e-05]]","[[9.8999997e-05, 2.796769042862058e-06]]","[{""hi"": 0.8810305537307842, ""lo"": -0.035481549136891714, ""width"": 0.916512102867676}, {""hi"": 3.325723578679553, ""lo"": 1.7358648504128245, ""width"": 1.589858728266729}]",
before_T_6_32,631,ordinary_only_same_source_set,failed,14f3c19f9b3c1f4dce1e75c772637a423aad8577ed58b7c21a59a7c251b917a1,eb8e41053f29709c1a91420588ace12bed3d23b8054848f1307ae46b782399c2,"[[-2.000006000000004e-06, -0.00017444055254910176], [2.000006000000004e-06, 0.00018322524825246947]]","[[9.799999400000001e-05, -8.322524825246946e-05]]",[],
before_T_6_32,631,bounded_source_ledger,validated,091d0d63694d62c0d3b1fa748f15bed91f6ab36fa69eebce80e33348563d3e53,145b8d62c4493f7c2b85435fb48dae7891dba75237c9b1467095ede590b637ca,"[[-1.0000030000000013e-06, -8.84323376153679e-05], [1.0000030000000013e-06, 9.721704478376883e-05]]","[[9.8999997e-05, 2.7829552162311744e-06]]","[{""hi"": 0.881030648781021, ""lo"": -0.03548154917997163, ""width"": 0.9165121979609927}, {""hi"": 3.3257331989742074, ""lo"": 1.7358647929071385, ""width"": 1.5898684060670691}]",
before_T_6_32,631,payload_tamper_plus_1_percent,validated,6fe6d74169c89b3d498ed64989f41c5def4ddc999909074306484c5d3235ae0b,60d31b3f77b77bf25e25f30e402e4c844605ad52366f1d7baf30dcd9d5914941,"[[-1.0000030000000013e-06, -8.843250469441078e-05], [1.0000030000000013e-06, 9.721721196974033e-05]]","[[9.8999997e-05, 2.782788030259673e-06]]","[{""hi"": 0.8810306674344629, ""lo"": -0.03548156783341348, ""width"": 0.9165122352678765}, {""hi"": 3.3257340722138853, ""lo"": 1.7358639196675618, ""width"": 1.5898701525463237}]",
before_T_6_32,631,metadata_tamper,validated,091d0d63694d62c0d3b1fa748f15bed91f6ab36fa69eebce80e33348563d3e53,145b8d62c4493f7c2b85435fb48dae7891dba75237c9b1467095ede590b637ca,"[[-1.0000030000000013e-06, -8.84323376153679e-05], [1.0000030000000013e-06, 9.721704478376883e-05]]","[[9.8999997e-05, 2.7829552162311744e-06]]","[{""hi"": 0.881030648781021, ""lo"": -0.03548154917997163, ""width"": 0.9165121979609927}, {""hi"": 3.3257331989742074, ""lo"": 1.7358647929071385, ""width"": 1.5898684060670691}]",
before_T_6_32,631,flowstar_operator,UNAVAILABLE,,,"""""","""""","""""",the Torch accepted prestate does not serialize Flow* Phi_L/J and ordinary remainder as a lossless Flow* Symbolic_Remainder object; a lossy adapter is forbidden
