accepted_boundary_index_after,accepted_boundary_index_before,accepted_mask,active_columns_after,actual_rejections,actual_status,attempt_index,committed_to_frozen_prefix,conservation_mask,endpoint_publication_mask,endpoint_total_width,event_count_after,evicted_width,expected_status,finite_mask,h_actual_hex,h_attempted_hex,lane,materialized_total_width,no_double_count_mask,nonlinear_residual_width,ordinary_width,schedule_match,source_decomposition_mask,structured_incremental_width,t_before_hex,tube_publication_mask,tube_total_width
1,0,,,3,accepted,0,False,,,,,,accepted,,0x1.999999999999ap-7,0x1.999999999999ap-4,L0,,,,,True,,,0x0.0p+0,,
2,1,,,0,accepted,1,False,,,,,,accepted,,0x1.c28f5c28f5c2ap-7,0x1.c28f5c28f5c2ap-7,L0,,,,,True,,,0x1.999999999999ap-7,,
3,2,,,0,accepted,2,False,,,,,,accepted,,0x1.ef9db22d0e562p-7,0x1.ef9db22d0e562p-7,L0,,,,,True,,,0x1.ae147ae147ae2p-6,,
4,3,,,0,accepted,3,False,,,,,,accepted,,0x1.1096bb98c7e29p-6,0x1.1096bb98c7e29p-6,L0,,,,,True,,,0x1.52f1a9fbe76cap-5,,
5,4,,,0,accepted,4,False,,,,,,accepted,,0x1.2bd9018e75794p-6,0x1.2bd9018e75794p-6,L0,,,,,True,,,0x1.db3d07c84b5dep-5,,
6,5,,,0,accepted,5,False,,,,,,accepted,,0x1.49d51b4fe79f0p-6,0x1.49d51b4fe79f0p-6,L0,,,,,True,,,0x1.3894c447c30d4p-4,,
7,6,,,1,accepted,6,False,,,,,,accepted,,0x1.6ad0d13e4b955p-7,0x1.6ad0d13e4b955p-6,L0,,,,,True,,,0x1.8b0a0b1bbcf50p-4,,
8,7,,,0,accepted,7,False,,,,,,accepted,,0x1.8f18e62aecbdep-7,0x1.8f18e62aecbdep-7,L0,,,,,True,,,0x1.b86425438667bp-4,,
9,8,,,0,accepted,8,False,,,,,,accepted,,0x1.b701c9fc046a8p-7,0x1.b701c9fc046a8p-7,L0,,,,,True,,,0x1.ea474208e3ff7p-4,,
10,9,,,0,accepted,9,False,,,,,,accepted,,0x1.e2e85e2ed1a86p-7,0x1.e2e85e2ed1a86p-7,L0,,,,,True,,,0x1.1093bda432466p-3,,
11,10,,,0,accepted,10,False,,,,,,accepted,,0x1.0999670026830p-6,0x1.0999670026830p-6,L0,,,,,True,,,0x1.2ec243871f60ep-3,,
12,11,,,0,accepted,11,False,,,,,,accepted,,0x1.2428be19c3f68p-6,0x1.2428be19c3f68p-6,L0,,,,,True,,,0x1.4ff5706724314p-3,,
13,12,,,0,accepted,12,False,,,,,,accepted,,0x1.4160044f8ac26p-6,0x1.4160044f8ac26p-6,L0,,,,,True,,,0x1.747a882a5cb01p-3,,
14,13,,,1,accepted,13,False,,,,,,accepted,,0x1.618337f118a2ap-7,0x1.618337f118a2ap-6,L0,,,,,True,,,0x1.9ca688b44e086p-3,,
15,14,,,0,accepted,14,False,,,,,,accepted,,0x1.84dd23ef9b195p-7,0x1.84dd23ef9b195p-7,L0,,,,,True,,,0x1.b2bebc335f929p-3,,
16,15,,,0,accepted,15,False,,,,,,accepted,,0x1.abc00dedf768bp-7,0x1.abc00dedf768bp-7,L0,,,,,True,,,0x1.cb0c8e7259442p-3,,
