accepted_boundaries,experiment_scope,lane,primary_outcome,reason,stage,status,stop_boundary,stop_time,validated_horizon
307,frozen_schedule,L0_historical_baseline,HISTORICAL_BASELINE_REPLAY_COMPLETE,,,completed,,,6.397083942944808
164,frozen_schedule_common_prefix,L1_materialize_every_boundary,S1_PREFIX_REJECTS_BEFORE_TERMINAL,,,stopped_on_first_divergence,,,4.738198114669049
164,frozen_schedule_common_prefix,L2_structured_k16,S1_PREFIX_REJECTS_BEFORE_TERMINAL,,,stopped_on_first_divergence,,,4.738198114669049
,fresh_horizon,baseline_vs_s1,S1_PREFIX_REJECTS_BEFORE_TERMINAL,L2 rejected a frozen step that the historical baseline accepted,fresh_adaptive_horizon_ladder,not_run_after_stop,164,4.738198114669049,
