age,boundary,cumulative_materialized_width_max_components,event_index,materialized_width_max_component,record_type,slot,source_boundary_index,source_category,source_category_id,source_occurrence_index,status
[36],53,0.00816193318902408,104,0.00043708927038283205,capacity_eviction,[4],[36],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[37],54,0.008711076392929087,106,0.0005491432039050066,capacity_eviction,[5],[37],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[38],55,0.009398437430799877,108,0.0006873610378707913,capacity_eviction,[6],[38],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[39],56,0.010252911678109138,110,0.0008544742473092599,capacity_eviction,[7],[39],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[40],57,0.011308994766437418,112,0.00105608308832828,capacity_eviction,[8],[40],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[41],58,0.01259861424308376,114,0.001289619476646343,capacity_eviction,[9],[41],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[42],59,0.012821378892288534,116,0.0002227646492047743,capacity_eviction,[10],[42],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[43],60,0.013095391891275116,118,0.00027401299898658174,capacity_eviction,[11],[43],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[44],61,0.013429259187513263,120,0.000333867296238147,capacity_eviction,[12],[44],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[45],62,0.013831884083179986,122,0.0004026248956667238,capacity_eviction,[13],[45],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[46],63,0.014312209150436737,124,0.0004803250672567504,capacity_eviction,[14],[46],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[47],64,0.014884183167215764,126,0.0005719740167790264,capacity_eviction,[15],[47],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[48],65,0.015561693979999696,128,0.0006775108127839311,capacity_eviction,[0],[48],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[49],66,0.016373783284237397,130,0.0008120893042377026,capacity_eviction,[1],[49],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[50],67,0.017340162772172988,132,0.0009663794879355914,capacity_eviction,[2],[50],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[51],68,0.018480756697388405,134,0.0011405939252154154,capacity_eviction,[3],[51],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[52],69,0.019816241338278702,136,0.0013354846408902968,capacity_eviction,[4],[52],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[53],70,0.021365914981137626,138,0.001549673642858923,capacity_eviction,[5],[53],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[54],71,0.02157262417775053,140,0.00020670919661290487,capacity_eviction,[6],[54],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[55],72,0.021826260274014804,142,0.0002536360962642707,capacity_eviction,[7],[55],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[56],73,0.022138253978787353,144,0.00031199370477254864,capacity_eviction,[8],[56],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[57],74,0.022522511398073108,146,0.00038425741928575503,capacity_eviction,[9],[57],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[58],75,0.02299684354983414,148,0.0004743321517610324,capacity_eviction,[10],[58],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[59],76,0.02358402597785481,150,0.0005871824280206681,capacity_eviction,[11],[59],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[60],77,0.024313838196524256,152,0.0007298122186694453,capacity_eviction,[12],[60],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[61],78,0.025227727766027715,154,0.0009138895695034577,capacity_eviction,[13],[61],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[62],79,0.026376827517052694,156,0.0011490997510249803,capacity_eviction,[14],[62],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[63],80,0.026540973254034095,158,0.0001641457369814009,capacity_eviction,[15],[63],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[64],81,0.026753742343370378,160,0.00021276908933628435,capacity_eviction,[0],[64],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[65],82,0.027031368529893983,162,0.0002776261865236039,capacity_eviction,[1],[65],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[66],83,0.02739330690311217,164,0.00036193837321818966,capacity_eviction,[2],[66],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
