window,plant,mode,step,history_before,replay_calls,solve_seconds
brusselator_0101_0120,brusselator,production,105,104,9,1.8243436818011105
brusselator_0101_0120,brusselator,production,106,105,9,1.8290955019183457
brusselator_0101_0120,brusselator,production,107,106,9,1.823612893000245
brusselator_0101_0120,brusselator,production,108,107,9,1.821789972949773
brusselator_0101_0120,brusselator,production,109,108,9,1.835278358310461
brusselator_0101_0120,brusselator,production,110,109,9,1.8202192750759423
brusselator_0101_0120,brusselator,production,111,110,9,1.820343322120607
brusselator_0101_0120,brusselator,production,112,111,9,1.8429777254350483
brusselator_0101_0120,brusselator,production,113,112,9,1.8151147523894906
brusselator_0101_0120,brusselator,production,114,113,9,1.8145260559394956
brusselator_0101_0120,brusselator,production,115,114,9,1.8186396239325404
brusselator_0101_0120,brusselator,production,116,115,9,1.8180673150345683
brusselator_0101_0120,brusselator,production,117,116,9,1.8159119463525712
brusselator_0101_0120,brusselator,production,118,117,9,1.8333533317781985
brusselator_0101_0120,brusselator,production,119,118,9,1.8269104738719761
brusselator_0101_0120,brusselator,production,120,119,9,1.8513612230308354
brusselator_0101_0120,brusselator,scoped,101,100,9,1.9034436391666532
brusselator_0101_0120,brusselator,scoped,102,101,9,1.8365157186053693
brusselator_0101_0120,brusselator,scoped,103,102,9,1.8546199146658182
brusselator_0101_0120,brusselator,scoped,104,103,9,1.8259155191481113
brusselator_0101_0120,brusselator,scoped,105,104,9,1.8316204748116434
brusselator_0101_0120,brusselator,scoped,106,105,9,1.8333111582323909
brusselator_0101_0120,brusselator,scoped,107,106,9,1.823160600848496
brusselator_0101_0120,brusselator,scoped,108,107,9,1.8350613447837532
brusselator_0101_0120,brusselator,scoped,109,108,9,1.8257844080217183
brusselator_0101_0120,brusselator,scoped,110,109,9,1.8364647757261992
brusselator_0101_0120,brusselator,scoped,111,110,9,1.8450476531870663
brusselator_0101_0120,brusselator,scoped,112,111,9,1.828635968733579
brusselator_0101_0120,brusselator,scoped,113,112,9,1.8215140709653497
brusselator_0101_0120,brusselator,scoped,114,113,9,1.8426303258165717
brusselator_0101_0120,brusselator,scoped,115,114,9,1.8149310173466802
brusselator_0101_0120,brusselator,scoped,116,115,9,1.8226367607712746
brusselator_0101_0120,brusselator,scoped,117,116,9,1.826954101677984
brusselator_0101_0120,brusselator,scoped,118,117,9,1.8119855378754437
brusselator_0101_0120,brusselator,scoped,119,118,9,1.831812101881951
brusselator_0101_0120,brusselator,scoped,120,119,9,1.8174826339818537
brusselator_0101_0120,brusselator,cprofile,101,100,9,2.2760929130017757
brusselator_0101_0120,brusselator,cprofile,102,101,9,2.2654920807108283
brusselator_0101_0120,brusselator,cprofile,103,102,9,2.2577411271631718
brusselator_0101_0120,brusselator,cprofile,104,103,9,2.268970665987581
brusselator_0101_0120,brusselator,cprofile,105,104,9,2.27273305086419
brusselator_0101_0120,brusselator,cprofile,106,105,9,2.2815149761736393
brusselator_0101_0120,brusselator,cprofile,107,106,9,2.2530166530050337
brusselator_0101_0120,brusselator,cprofile,108,107,9,2.2508976319804788
brusselator_0101_0120,brusselator,cprofile,109,108,9,2.2487268690019846
brusselator_0101_0120,brusselator,cprofile,110,109,9,2.25311252521351
brusselator_0101_0120,brusselator,cprofile,111,110,9,2.254305976908654
brusselator_0101_0120,brusselator,cprofile,112,111,9,2.2703442932106555
brusselator_0101_0120,brusselator,cprofile,113,112,9,2.2519581401720643
brusselator_0101_0120,brusselator,cprofile,114,113,9,2.2460484649054706
brusselator_0101_0120,brusselator,cprofile,115,114,9,2.257093166001141
brusselator_0101_0120,brusselator,cprofile,116,115,9,2.2372668120078743
brusselator_0101_0120,brusselator,cprofile,117,116,9,2.2444932661019266
brusselator_0101_0120,brusselator,cprofile,118,117,9,2.243324511218816
brusselator_0101_0120,brusselator,cprofile,119,118,9,2.2392586921341717
brusselator_0101_0120,brusselator,cprofile,120,119,9,2.3108343440108
van_der_pol_0001_0020,van_der_pol,production,1,0,4,0.41089415503665805
van_der_pol_0001_0020,van_der_pol,production,2,1,4,0.5110723869875073
van_der_pol_0001_0020,van_der_pol,production,3,2,4,0.5849811867810786
van_der_pol_0001_0020,van_der_pol,production,4,3,4,0.6071436502970755
van_der_pol_0001_0020,van_der_pol,production,5,4,4,0.6193963829427958
van_der_pol_0001_0020,van_der_pol,production,6,5,4,0.6278388467617333
van_der_pol_0001_0020,van_der_pol,production,7,6,4,0.6464064987376332
van_der_pol_0001_0020,van_der_pol,production,8,7,4,0.6456896751187742
van_der_pol_0001_0020,van_der_pol,production,9,8,4,0.6455161767080426
van_der_pol_0001_0020,van_der_pol,production,10,9,4,0.6411708472296596
van_der_pol_0001_0020,van_der_pol,production,11,10,4,0.6462213001213968
van_der_pol_0001_0020,van_der_pol,production,12,11,4,0.6571902721188962
van_der_pol_0001_0020,van_der_pol,production,13,12,4,0.6567954900674522
van_der_pol_0001_0020,van_der_pol,production,14,13,4,0.6555832698941231
van_der_pol_0001_0020,van_der_pol,production,15,14,4,0.6572529468685389
van_der_pol_0001_0020,van_der_pol,production,16,15,4,0.6547659900970757
van_der_pol_0001_0020,van_der_pol,production,17,16,4,0.6596367657184601
van_der_pol_0001_0020,van_der_pol,production,18,17,4,0.6583015560172498
van_der_pol_0001_0020,van_der_pol,production,19,18,4,0.6684388509020209
van_der_pol_0001_0020,van_der_pol,production,20,19,4,0.6665218169800937
van_der_pol_0001_0020,van_der_pol,scoped,1,0,4,0.4032398662529886
van_der_pol_0001_0020,van_der_pol,scoped,2,1,4,0.5110268681310117
van_der_pol_0001_0020,van_der_pol,scoped,3,2,4,0.5883660861290991
van_der_pol_0001_0020,van_der_pol,scoped,4,3,4,0.6009469111450016
van_der_pol_0001_0020,van_der_pol,scoped,5,4,4,0.6152931828983128
van_der_pol_0001_0020,van_der_pol,scoped,6,5,4,0.6247059893794358
van_der_pol_0001_0020,van_der_pol,scoped,7,6,4,0.6396365649998188
van_der_pol_0001_0020,van_der_pol,scoped,8,7,4,0.6387607278302312
van_der_pol_0001_0020,van_der_pol,scoped,9,8,4,0.6407268079929054
van_der_pol_0001_0020,van_der_pol,scoped,10,9,4,0.6375764468684793
van_der_pol_0001_0020,van_der_pol,scoped,11,10,4,0.6529944809153676
van_der_pol_0001_0020,van_der_pol,scoped,12,11,4,0.652464303188026
van_der_pol_0001_0020,van_der_pol,scoped,13,12,4,0.6581429559737444
van_der_pol_0001_0020,van_der_pol,scoped,14,13,4,0.6509761409834027
van_der_pol_0001_0020,van_der_pol,scoped,15,14,4,0.6572120697237551
van_der_pol_0001_0020,van_der_pol,scoped,16,15,4,0.6588510628789663
van_der_pol_0001_0020,van_der_pol,scoped,17,16,4,0.6557316556572914
van_der_pol_0001_0020,van_der_pol,scoped,18,17,4,0.6590145486406982
van_der_pol_0001_0020,van_der_pol,scoped,19,18,4,0.6694487077184021
van_der_pol_0001_0020,van_der_pol,scoped,20,19,4,0.6691054087132215
van_der_pol_0001_0020,van_der_pol,cprofile,1,0,4,0.5290124150924385
van_der_pol_0001_0020,van_der_pol,cprofile,2,1,4,0.6625167401507497
van_der_pol_0001_0020,van_der_pol,cprofile,3,2,4,0.7641866551712155
van_der_pol_0001_0020,van_der_pol,cprofile,4,3,4,0.7839724668301642
van_der_pol_0001_0020,van_der_pol,cprofile,5,4,4,0.7989740706980228
van_der_pol_0001_0020,van_der_pol,cprofile,6,5,4,0.8133634850382805
van_der_pol_0001_0020,van_der_pol,cprofile,7,6,4,0.8385488567873836
van_der_pol_0001_0020,van_der_pol,cprofile,8,7,4,0.8361027329228818
van_der_pol_0001_0020,van_der_pol,cprofile,9,8,4,0.8370633372105658
van_der_pol_0001_0020,van_der_pol,cprofile,10,9,4,0.8336956980638206
van_der_pol_0001_0020,van_der_pol,cprofile,11,10,4,0.8423565002158284
van_der_pol_0001_0020,van_der_pol,cprofile,12,11,4,0.8440851550549269
van_der_pol_0001_0020,van_der_pol,cprofile,13,12,4,0.8518671090714633
van_der_pol_0001_0020,van_der_pol,cprofile,14,13,4,0.8481842079199851
van_der_pol_0001_0020,van_der_pol,cprofile,15,14,4,0.8511040317825973
van_der_pol_0001_0020,van_der_pol,cprofile,16,15,4,0.8509638411924243
van_der_pol_0001_0020,van_der_pol,cprofile,17,16,4,0.8543051411397755
van_der_pol_0001_0020,van_der_pol,cprofile,18,17,4,0.8629912519827485
van_der_pol_0001_0020,van_der_pol,cprofile,19,18,4,0.8720432766713202
van_der_pol_0001_0020,van_der_pol,cprofile,20,19,4,0.8688305020332336
