file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,264870,264870,3.078622859,10.29460478
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,1343422,1343422,2.622313778,2.622313778
~,0,<built-in method torch.stack>,355269,355269,2.2981133000000002,2.2981133000000002
~,0,<built-in method torch.min>,277309,277309,2.078575468,2.078575468
~,0,<built-in method torch.any>,819862,819862,2.0223357180000003,2.0223357180000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,30960,30960,1.9939401710000002,8.92379415
~,0,<built-in method torch.max>,309309,309309,1.9621991280000002,1.9621991280000002
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,643152,643152,1.8748144230000001,1.8748144230000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,10320,10320,1.590310286,3.5190109350000003
~,0,<built-in method torch.full_like>,586942,586942,1.5337712060000002,1.5337712060000002
~,0,<built-in method torch.nextafter>,586682,586682,1.37675437,1.37675437
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,710612,710612,1.147684533,1.147684533
~,0,<built-in method torch.isnan>,529740,529740,1.03068198,1.03068198
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,75942,75942,1.0260061900000002,6.643036086
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,529780,529780,0.927882274,3.2856730130000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,10320,10320,0.8988547560000001,11.951080423
~,0,<built-in method torch.all>,284001,284001,0.8742293600000001,0.8742293600000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,40340,40340,0.8511214680000001,2.468417653
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,66326,66326,0.8336022860000001,4.590289891
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,10320,10320,0.786656326,13.239188623
~,0,<built-in method torch.abs>,279653,279653,0.729384231,0.729384231
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,94040,94040,0.7107226440000001,0.7107226440000001
~,0,<built-in method torch.where>,202299,202299,0.7066053870000001,0.7066053870000001
~,0,<built-in method torch.isfinite>,68980,68980,0.585659315,0.585659315
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,31440,31440,0.49365692200000005,1.016934574
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1012,_subdivision_influence_scores,2160,2160,0.48862951000000004,0.936265772
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,73784,73784,0.483582993,0.6625611840000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,56043,56043,0.419918656,3.219546631
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,3040,3040,0.363875539,13.986336431000002
~,0,<built-in method torch.zeros_like>,167151,167151,0.327356713,0.327356713
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,3680,3680,0.286188429,1.3358936570000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1038,_split_leaf_pair,6480,6480,0.266962452,0.29672389400000004
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,84800,84800,0.238013878,0.238013878
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,145300,145300,0.23675336000000002,0.23675336000000002
~,0,<built-in method torch.allclose>,10080,10080,0.232761777,0.232761777
~,0,<built-in method torch.is_floating_point>,569372,569372,0.228569037,0.228569037
~,0,<built-in method torch.maximum>,74679,74679,0.22302616800000002,0.22302616800000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/repo/src/torch_tm_flowpipe/interval.py,36,_down,182251,182251,0.22100195600000003,1.2599445820000001
