window,plant,step,history_before,replay_calls,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0001_0020,brusselator,7,6,8,refinement_dynamic,0.08338641747832298,1.1819371618330479,9
brusselator_0001_0020,brusselator,7,6,8,boundary_endpoint,0.08382917661219835,0.7297877459786832,2
brusselator_0001_0020,brusselator,7,6,8,cross_step_history,0.6459585693664849,0.6459585693664849,2
brusselator_0001_0020,brusselator,7,6,8,python_tensor_dispatch_and_other,0.03810585290193558,0.03810585290193558,1
brusselator_0001_0020,brusselator,8,7,8,polynomial_multiply_truncate_range,0.27440689550712705,0.27440689550712705,166
brusselator_0001_0020,brusselator,8,7,8,candidate_polynomial,0.02659874176606536,0.20751183480024338,1
brusselator_0001_0020,brusselator,8,7,8,initial_remainder,0.010386132169514894,0.0740658869035542,1
brusselator_0001_0020,brusselator,8,7,8,refinement_fixed_polynomial,0.5111149605363607,0.5111149605363607,312
brusselator_0001_0020,brusselator,8,7,8,refinement_dynamic,0.08464808110147715,1.189762748312205,9
brusselator_0001_0020,brusselator,8,7,8,boundary_endpoint,0.08648581709712744,0.7486154329963028,2
brusselator_0001_0020,brusselator,8,7,8,cross_step_history,0.6621296158991754,0.6621296158991754,2
brusselator_0001_0020,brusselator,8,7,8,python_tensor_dispatch_and_other,0.03826495120301843,0.03826495120301843,1
brusselator_0001_0020,brusselator,9,8,7,polynomial_multiply_truncate_range,0.2764697293750942,0.2764697293750942,166
brusselator_0001_0020,brusselator,9,8,7,candidate_polynomial,0.026807159651070833,0.20732254534959793,1
brusselator_0001_0020,brusselator,9,8,7,initial_remainder,0.010416009929031134,0.07548206998035312,1
brusselator_0001_0020,brusselator,9,8,7,refinement_fixed_polynomial,0.44389937119558454,0.44389937119558454,273
brusselator_0001_0020,brusselator,9,8,7,refinement_dynamic,0.07378273457288742,1.0338201327249408,8
brusselator_0001_0020,brusselator,9,8,7,boundary_endpoint,0.08903510728850961,0.7793602040037513,2
brusselator_0001_0020,brusselator,9,8,7,cross_step_history,0.6903250967152417,0.6903250967152417,2
brusselator_0001_0020,brusselator,9,8,7,python_tensor_dispatch_and_other,0.038376063108444214,0.038376063108444214,1
brusselator_0001_0020,brusselator,10,9,7,polynomial_multiply_truncate_range,0.2717581712640822,0.2717581712640822,166
brusselator_0001_0020,brusselator,10,9,7,candidate_polynomial,0.026523232460021973,0.20522787887603045,1
brusselator_0001_0020,brusselator,10,9,7,initial_remainder,0.0103230532258749,0.07378599373623729,1
