trace_source,status,t_before,h_try,residual_x_lo,residual_x_hi,target_x_lo,target_x_hi,subset_x,residual_y_lo,residual_y_hi,target_y_lo,target_y_hi,subset_y,which_dim_failed,residual_width_x,target_width_x,residual_width_y,target_width_y,residual_width_sum,target_width_sum,residual_over_target_sum,residual_source_field,target_source_field,rejection_reason
flowstar,rejected,9.9999999999999998e-13,0.025000000000000001,-5.7034993171691869e-06,9.6267419600486818e-06,-0.0001,0.0001,true,-8.3561112430831106e-05,0.0001083283903691475,-0.0001,0.0001,false,y,1.5330241277217868e-05,0.00020000000000000001,0.00019188950279997862,0.00020000000000000001,0.00020721974407719647,0.00040000000000000002,0.51804936019299119,picard_ctrunc_normal_residual,target_remainder,Picard_ctrunc_normal remainder not contained in target; shrinking h
torch_noqueue,accepted,0,0.025000000000000001,-3.5138691795527178e-06,4.7947416664619525e-06,-0.0001,0.0001,true,-5.1533346624557205e-05,5.8769252659495084e-05,-0.0001,0.0001,true,,8.3086108460146707e-06,0.00020000000000000001,0.00011030259928405229,0.00020000000000000001,0.00011861121013006696,0.00040000000000000002,0.29652802532516737,picard_ctrunc_normal_residual,target_remainder,
torch_v2,accepted,0,0.025000000000000001,-3.5138691795527178e-06,4.7947416664619525e-06,-0.0001,0.0001,true,-5.1533346624557205e-05,5.8769252659495084e-05,-0.0001,0.0001,true,,8.3086108460146707e-06,0.00020000000000000001,0.00011030259928405229,0.00020000000000000001,0.00011861121013006696,0.00040000000000000002,0.29652802532516737,picard_ctrunc_normal_residual,target_remainder,
