device,device_name,batch,state_dim,kernel,repeats,median_kernel_s,p10_kernel_s,p90_kernel_s,median_per_state_s,states_per_s,host_to_device_once_s,device_to_host_once_s,peak_device_bytes,contains,timing_synchronized,scope
cpu,CPU,1,2,complete_validated_ledger_interval_to_affine_source,500,7.503200322389603e-05,7.407899829559028e-05,7.872702553868294e-05,7.503200322389603e-05,13327.646298020232,4.7466979594901204e-05,1.0284013114869595e-05,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,8,2,complete_validated_ledger_interval_to_affine_source,500,7.454201113432646e-05,7.417798042297363e-05,7.921899668872356e-05,9.317751391790807e-06,107322.03060075495,3.655004547908902e-06,2.382992533966899e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,64,2,complete_validated_ledger_interval_to_affine_source,500,7.641549746040255e-05,7.600701064802706e-05,8.098699618130922e-05,1.1939921478187898e-06,837526.4459040381,2.701010089367628e-06,2.2189924493432045e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,256,2,complete_validated_ledger_interval_to_affine_source,500,9.326500003226101e-05,8.822602103464305e-05,9.908099309541285e-05,3.643164063760196e-07,2744866.776512602,2.501008566468954e-06,2.2510066628456116e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,512,2,complete_validated_ledger_interval_to_affine_source,500,0.00011162999726366252,0.000105518993223086,0.00011999101843684912,2.1802733840559085e-07,4586580.78070799,2.4990004021674395e-06,2.400018274784088e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,1,2,complete_validated_ledger_interval_to_affine_source,500,0.00033317998168058693,0.00032958100200630724,0.0003466389898676425,0.00033317998168058693,3001.3808001186585,0.13345658700563945,8.312700083479285e-05,9216,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,8,2,complete_validated_ledger_interval_to_affine_source,500,0.00033230750705115497,0.00032952701440081,0.0003433680103626102,4.153843838139437e-05,24074.087495015545,5.67419920116663e-05,4.579400410875678e-05,9216,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,64,2,complete_validated_ledger_interval_to_affine_source,500,0.00033711950527504086,0.00033208500826731324,0.0003548279928509146,5.2674922699225135e-06,189843.65780848317,5.368900019675493e-05,4.534600884653628e-05,16384,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,256,2,complete_validated_ledger_interval_to_affine_source,500,0.00033692650322336704,0.0003313130000606179,0.00035608100006356835,1.3161191532162775e-06,759809.6248020108,5.187498754821718e-05,8.276698645204306e-05,61952,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,512,2,complete_validated_ledger_interval_to_affine_source,500,0.000337147488608025,0.00033337101922370493,0.00035477898200042546,6.584911886875489e-07,1518623.2058672172,5.944599979557097e-05,5.662001785822213e-05,123904,True,True,carry_lift_kernel_only_not_multistep_solver
