step,time,path,state,lower,upper
1,0.02,raw_tmvPre_domain_eval,0,-5.0100414741536156e-05,0.10020035141645481
1,0.02,raw_tmv_domain_eval,0,-1.0,1.0
1,0.02,raw_Flowpipe_intEval_tube,0,-5.0100414741536156e-05,0.10020035141645481
1,0.02,raw_compose_tube,0,-5.0100414741536156e-05,0.10020035141645481
1,0.02,raw_compose_polynomial_tube,0,-5.000000000000143e-05,0.10015005000000002
1,0.02,raw_compose_remainder_tube,0,-1.0041474153472037e-07,5.030141645477997e-05
1,0.02,raw_compose_endpoint_direct,0,-5.005041474154166e-05,0.10020035141645481
1,0.02,raw_compose_endpoint_substitute,0,-5.005041474153472e-05,0.10020035141645481
1,0.02,raw_compose_polynomial_endpoint,0,-4.995000000000693e-05,0.10015005000000002
1,0.02,raw_compose_remainder_endpoint,0,-1.0041474153472037e-07,5.030141645477997e-05
1,0.02,raw_compose_normal_tube,0,-5.0100414741536156e-05,0.10020035141645481
1,0.02,raw_compose_normal_endpoint_direct,0,-5.005041474154166e-05,0.10020035141645481
1,0.02,raw_compose_normal_endpoint_substitute,0,-5.005041474153472e-05,0.10020035141645481
2,0.04,raw_tmvPre_domain_eval,0,-0.00015065318926946322,0.10040150731313252
2,0.04,raw_tmv_domain_eval,0,-0.9989989890330594,0.9999999999999999
2,0.04,raw_Flowpipe_intEval_tube,0,-0.00010035168505037823,0.10040150731313252
2,0.04,raw_compose_tube,0,-0.00010035168505037823,0.10040150731313252
2,0.04,raw_compose_polynomial_tube,0,-0.0001001501500999466,0.10030050060060042
2,0.04,raw_compose_remainder_tube,0,-2.0153495043162757e-07,0.00010100671253209218
2,0.04,raw_compose_endpoint_direct,0,-0.00010030153475002824,0.10040150731313252
2,0.04,raw_compose_endpoint_substitute,0,-0.00010030153475002824,0.10040150731313251
2,0.04,raw_compose_polynomial_endpoint,0,-0.0001000999997995966,0.10030050060060042
2,0.04,raw_compose_remainder_endpoint,0,-2.0153495043162757e-07,0.00010100671253209218
2,0.04,raw_compose_normal_tube,0,-0.00010035168505037823,0.10040150731313252
2,0.04,raw_compose_normal_endpoint_direct,0,-0.00010030153475002824,0.10040150731313252
2,0.04,raw_compose_normal_endpoint_substitute,0,-0.00010030153475002824,0.10040150731313251
3,0.06,raw_tmvPre_domain_eval,0,-0.00025181176006226807,0.10060347254622734
3,0.06,raw_tmv_domain_eval,0,-0.9979959729961658,0.9999999999999999
3,0.06,raw_Flowpipe_intEval_tube,0,-0.00015080456809707116,0.10060347254622731
3,0.06,raw_compose_tube,0,-0.00015080456809707116,0.10060347254622731
3,0.06,raw_compose_polynomial_tube,0,-0.0001505012024040006,0.10045135330721412
3,0.06,raw_compose_remainder_tube,0,-3.03365693070541e-07,0.00015211923901319017
3,0.06,raw_compose_endpoint_direct,0,-0.00015075426689336192,0.10060347254622731
3,0.06,raw_compose_endpoint_substitute,0,-0.00015075426689336192,0.10060347254622731
3,0.06,raw_compose_polynomial_endpoint,0,-0.00015045090120029136,0.10045135330721412
3,0.06,raw_compose_remainder_endpoint,0,-3.03365693070541e-07,0.00015211923901319017
3,0.06,raw_compose_normal_tube,0,-0.00015080456809707116,0.10060347254622731
3,0.06,raw_compose_normal_endpoint_direct,0,-0.00015075426689336192,0.10060347254622731
3,0.06,raw_compose_normal_endpoint_substitute,0,-0.00015075426689336192,0.10060347254622731
4,0.08,raw_tmvPre_domain_eval,0,-0.0003535805907250651,0.10080625201110846
4,0.08,raw_tmv_domain_eval,0,-0.9969909458486668,1.0
4,0.08,raw_Flowpipe_intEval_tube,0,-0.00020146017202307066,0.10080625201110846
4,0.08,raw_compose_tube,0,-0.00020146017202307066,0.10080625201110846
4,0.08,raw_compose_polynomial_tube,0,-0.00020105406354076205,0.10060260963250231
4,0.08,raw_compose_remainder_tube,0,-4.06108482308583e-07,0.00020364237860614277
4,0.08,raw_compose_endpoint_direct,0,-0.0002014097193099661,0.10080625201110846
4,0.08,raw_compose_endpoint_substitute,0,-0.00020140971930995917,0.10080625201110846
4,0.08,raw_compose_polynomial_endpoint,0,-0.0002010036108276575,0.10060260963250231
4,0.08,raw_compose_remainder_endpoint,0,-4.06108482308583e-07,0.00020364237860614277
4,0.08,raw_compose_normal_tube,0,-0.00020146017202307066,0.10080625201110846
4,0.08,raw_compose_normal_endpoint_direct,0,-0.0002014097193099661,0.10080625201110846
4,0.08,raw_compose_normal_endpoint_substitute,0,-0.00020140971930995917,0.10080625201110846
5,0.099999999999,raw_tmvPre_domain_eval,0,-0.0004559638036789735,0.10100985064270845
5,0.099999999999,raw_tmv_domain_eval,0,-0.9959839054066542,1.0000000000000002
5,0.099999999999,raw_Flowpipe_intEval_tube,0,-0.00025231942859671935,0.10100985064270847
5,0.099999999999,raw_compose_tube,0,-0.00025231942859671935,0.10100985064270847
5,0.099999999999,raw_compose_polynomial_tube,0,-0.0002518096449906429,0.10075427109640915
5,0.099999999999,raw_compose_remainder_tube,0,-5.097836060764417e-07,0.0002555795462993049
5,0.099999999999,raw_compose_endpoint_direct,0,-0.0002522688237651442,0.10100985064270847
5,0.099999999999,raw_compose_endpoint_substitute,0,-0.0002522688237651442,0.10100985064270847
5,0.099999999999,raw_compose_polynomial_endpoint,0,-0.00025175904015906775,0.10075427109640915
5,0.099999999999,raw_compose_remainder_endpoint,0,-5.097836060764417e-07,0.0002555795462993049
5,0.099999999999,raw_compose_normal_tube,0,-0.0002523194285967194,0.10100985064270848
5,0.099999999999,raw_compose_normal_endpoint_direct,0,-0.00025226882376514425,0.10100985064270848
5,0.099999999999,raw_compose_normal_endpoint_substitute,0,-0.00025226882376514425,0.10100985064270848
1,0.02,transformed_tube,0,-5.0100414741536156e-05,0.10020035141645481
1,0.02,transformed_polynomial_tube,0,-5.000000000000143e-05,0.10015005000000002
1,0.02,transformed_remainder_tube,0,-1.0041474153472037e-07,5.030141645477997e-05
1,0.02,transformed_endpoint_direct,0,-5.005041474154166e-05,0.10020035141645481
1,0.02,transformed_endpoint_substitute,0,-5.005041474153472e-05,0.10020035141645481
1,0.02,transformed_polynomial_endpoint,0,-4.995000000000693e-05,0.10015005000000002
1,0.02,transformed_remainder_endpoint,0,-1.0041474153472037e-07,5.030141645477997e-05
2,0.04,transformed_tube,0,-0.00010035168505037823,0.10040150731313252
2,0.04,transformed_polynomial_tube,0,-0.0001001501500999466,0.10030050060060042
2,0.04,transformed_remainder_tube,0,-2.0153495043162757e-07,0.00010100671253209218
2,0.04,transformed_endpoint_direct,0,-0.00010030153475002824,0.10040150731313252
2,0.04,transformed_endpoint_substitute,0,-0.00010030153475002824,0.10040150731313251
2,0.04,transformed_polynomial_endpoint,0,-0.0001000999997995966,0.10030050060060042
2,0.04,transformed_remainder_endpoint,0,-2.0153495043162757e-07,0.00010100671253209218
3,0.06,transformed_tube,0,-0.00015080456809707116,0.10060347254622731
3,0.06,transformed_polynomial_tube,0,-0.0001505012024040006,0.10045135330721412
3,0.06,transformed_remainder_tube,0,-3.03365693070541e-07,0.00015211923901319017
3,0.06,transformed_endpoint_direct,0,-0.00015075426689336192,0.10060347254622731
3,0.06,transformed_endpoint_substitute,0,-0.00015075426689336192,0.10060347254622731
3,0.06,transformed_polynomial_endpoint,0,-0.00015045090120029136,0.10045135330721412
3,0.06,transformed_remainder_endpoint,0,-3.03365693070541e-07,0.00015211923901319017
4,0.08,transformed_tube,0,-0.00020146017202307066,0.10080625201110846
4,0.08,transformed_polynomial_tube,0,-0.00020105406354076205,0.10060260963250231
4,0.08,transformed_remainder_tube,0,-4.06108482308583e-07,0.00020364237860614277
4,0.08,transformed_endpoint_direct,0,-0.0002014097193099661,0.10080625201110846
4,0.08,transformed_endpoint_substitute,0,-0.00020140971930995917,0.10080625201110846
4,0.08,transformed_polynomial_endpoint,0,-0.0002010036108276575,0.10060260963250231
4,0.08,transformed_remainder_endpoint,0,-4.06108482308583e-07,0.00020364237860614277
5,0.099999999999,transformed_tube,0,-0.00025231942859671935,0.10100985064270847
5,0.099999999999,transformed_polynomial_tube,0,-0.0002518096449906429,0.10075427109640915
5,0.099999999999,transformed_remainder_tube,0,-5.097836060764417e-07,0.0002555795462993049
5,0.099999999999,transformed_endpoint_direct,0,-0.0002522688237651442,0.10100985064270847
5,0.099999999999,transformed_endpoint_substitute,0,-0.0002522688237651442,0.10100985064270847
5,0.099999999999,transformed_polynomial_endpoint,0,-0.00025175904015906775,0.10075427109640915
5,0.099999999999,transformed_remainder_endpoint,0,-5.097836060764417e-07,0.0002555795462993049
1,0.02,safe_candidate_tube,0,-0.00015000000000000145,0.10025005000000002
1,0.02,safe_candidate_endpoint_direct,0,-0.00014995000000000695,0.10025005000000002
1,0.02,safe_candidate_endpoint_substitute,0,-0.00014995,0.10025005000000002
2,0.04,safe_candidate_tube,0,-0.0003003503502999536,0.10050070080080042
2,0.04,safe_candidate_endpoint_direct,0,-0.0003003001999996036,0.10050070080080042
2,0.04,safe_candidate_endpoint_substitute,0,-0.0003003001999996036,0.10050070080080042
3,0.06,safe_candidate_tube,0,-0.00045110260540922264,0.10075195471021935
3,0.06,safe_candidate_endpoint_direct,0,-0.0004510523042055134,0.10075195471021935
3,0.06,safe_candidate_endpoint_substitute,0,-0.0004510523042055134,0.10075195471021935
