analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.17363274993840605,0.0,True,3,cpu,float64,0.16077375004533678,0.03,completed,0.0782672920031473,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,9.29197994992137e-06,0,0.03,3,0,total_configuration_v2,0.17363274993840605,0.04768272896762937,0.17363274993840605,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539
required,True,True,0.0,0.0,True,3,cpu,float64,0.14222700096433982,0.03,completed,0.0486227500368841,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,7.750000804662704e-06,1,0.03,3,0,total_configuration_v2,0.1456162080867216,0.04849672902491875,0.1456162080867216,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539
required,True,True,0.128523416002281,0.0,True,3,cpu,float64,0.12030970904743299,0.03,completed,0.044400750019121915,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.8208986148238182e-05,0,0.03,3,0,total_configuration_v2,0.128523416002281,0.04206133299157955,0.128523416002281,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
required,True,True,0.0,0.0,True,3,cpu,float64,0.13279083301313221,0.03,completed,0.041946457989979535,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.158299321308732e-05,1,0.03,3,0,total_configuration_v2,0.14182100002653897,0.049937271018279716,0.14182100002653897,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
not_applicable,False,,0.6460190829238854,0.0,True,3,cpu,float64,0.6357757908990607,0.015,completed,0.20552170794690028,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.249981768429279e-06,0,0.015,3,0,total_configuration_v2,0.6460190829238854,0.22024868748849258,0.6460190829238854,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.4800797510542907,0.015,completed,0.1841151670087129,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.0420487746596336e-06,1,0.015,3,0,total_configuration_v2,0.48732299997936934,0.15160391648532823,0.48732299997936934,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
not_applicable,False,,0.4459250830113888,0.0,True,3,cpu,float64,0.4391466250526719,0.015,completed,0.1487780000315979,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.832974471151829e-06,0,0.015,3,0,total_configuration_v2,0.4459250830113888,0.14857354148989543,0.4459250830113888,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.46619637502590194,0.015,completed,0.14825883298180997,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.082991603761911e-06,1,0.015,3,0,total_configuration_v2,0.473750124045182,0.16274564553168602,0.473750124045182,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466
required,True,True,0.0004766250494867563,1.5019124579848722,True,3,cpu,float64,0.0003126660012640059,0.03,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.679197885096073e-05,0,0.03,3,,total_configuration_v2,0.0004766250494867563,0.00015887501649558544,0.0004766250494867563,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
required,True,True,0.0,0.0,True,3,cpu,float64,0.00027620798209682107,0.03,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,1.2500036973506212e-05,1,0.03,3,,total_configuration_v2,0.0004116670461371541,0.0001372223487123847,0.0004116670461371541,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
