all_required_repetitions_present,analytic_containment_applicability,analytic_containment_passed,basis_id,bound_semantics,carry_or_preconditioning,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,config_id,effective_order,engine_internal_time_s,evaluation_time,excluded_from_authoritative,exclusion_reason,failure_category,failure_message,failure_step,h,last_valid_step,memory_kib,memory_measurement_reason,native_validation_passed,plot_report_time_s,posthoc_validation_time_s,primary_comparable,primary_numerical_eligible,remainder_policy,requested_horizon,requested_order,requested_steps,runtime_boundary_version,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,steady_total_configuration_time_s,step_policy,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0005543750012293458,6.120879083988257,True,c5db5d2738f35bdacbfc3003111fed4b40bfb2a3b58b21908fcdefb3d6d93010,restricted_quasiquadratic_round5,0.00034387496998533607,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.166015863418579e-06,True,False,frr_round5_stop_ratio_0.95,0.015,not_applicable,3,total_configuration_v2,0.0004617919912561774,0.0004617919912561774,1,median_full_configuration,0.0004617919912561774,0.0004617919912561774,fixed,0.015,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.040191815067148556,False
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0007217079983092844,2.628088249999564,True,facfc8ece7a7e330adfbb32509b03e21a83b6e07d4ac966cbd35b2dc021c66f8,restricted_quasiquadratic_round5,0.0005225830245763063,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.0292005501687527e-05,True,False,frr_round5_stop_ratio_0.95,0.03,not_applicable,3,total_configuration_v2,0.0006636250182054937,0.0006636250182054937,1,median_full_configuration,0.0006636250182054937,0.0006636250182054937,fixed,0.03,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.20605071170127817,False
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0004766250494867563,1.5019124579848722,True,5fe3002d42cc6aebb5683f7c303f2826466b52e43c1ca849749019a4ed7582ef,restricted_quasiquadratic_round5,0.00027620798209682107,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.2500036973506212e-05,True,False,frr_round5_stop_ratio_0.95,0.03,not_applicable,3,total_configuration_v2,0.0004116670461371541,0.0004116670461371541,1,median_full_configuration,0.0004116670461371541,0.0004116670461371541,fixed,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127,False
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0007121249800547957,6.138718750036787,True,d271a96a02ab66aea5d33391b0458eafd6ec037678e52cc01d2bdc63481e1290,restricted_quasiquadratic_round5,0.0004437090246938169,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.792039256542921e-06,True,False,frr_round5_stop_ratio_0.95,0.015,not_applicable,3,total_configuration_v2,0.0006106249638833106,0.0006106249638833106,1,median_full_configuration,0.0006106249638833106,0.0006106249638833106,fixed,0.015,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.30164680831298885,False
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.015148542006500065,1.4320328749599867,True,8b918589006b1d5beed2074b2ee4f5f94d939c8f28b7cd41e4094b84a9dc75f2,4,0.01502724998863414,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.9666971638798714e-05,True,False,validated_interval_candidate,0.015,4,3,total_configuration_v2,0.015239000029396266,0.015239000029396266,1,median_full_configuration,0.015239000029396266,0.015239000029396266,fixed,0.015,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04019113375564379,False
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.008429292007349432,1.5557169999810867,True,a52b187d1684b0935c76d8da970c30b5f34ee09cbd613f77d2dec7e5cb71eafa,4,0.007444499991834164,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,3.970798570662737e-05,True,False,validated_interval_candidate,0.03,4,3,total_configuration_v2,0.007658209011424333,0.007658209011424333,1,median_full_configuration,0.007658209011424333,0.007658209011424333,fixed,0.03,harmonic,flowstar,True,root_cause_order4_selected,0.20590910756516656,False
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.008567458018660545,2.072862333036028,True,e0521867563eb82c4eae885bbe6c5ea5824778cdccfeed5960c53bb73b98bca0,4,0.008623040979728103,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.541701542213559e-05,True,False,validated_interval_candidate,0.03,4,3,total_configuration_v2,0.00875962502323091,0.00875962502323091,1,median_full_configuration,0.00875962502323091,0.00875962502323091,fixed,0.03,riccati,flowstar,True,root_cause_order4_selected,0.10045165608075761,False
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.020550374989397824,1.4357453749980778,True,b74a6fa727158953f962ea00a9bdca3c58f041924dd88251a4f8cda818c96180,4,0.02231687499443069,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.983299782499671e-05,True,False,validated_interval_candidate,0.015,4,3,total_configuration_v2,0.022531624999828637,0.022531624999828637,1,median_full_configuration,0.022531624999828637,0.022531624999828637,fixed,0.015,van_der_pol,flowstar,True,root_cause_order4_selected,0.3012732007480894,False
True,not_applicable,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.6460190829238854,0.0,True,64c7af00e2666b055b4645f33690c1bdd49fe4647c4bd59e18ab0224852f5db2,2,0.4800797510542907,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,3.0420487746596336e-06,True,False,validated_interval,0.015,2,3,total_configuration_v2,0.48732299997936934,0.48732299997936934,1,median_full_configuration,0.48732299997936934,0.48732299997936934,fixed,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996,False
True,required,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.128523416002281,0.0,True,181ee9493da91bc296edd7640b6e10793a70cfba5622c87eecf325355b8bc14e,2,0.13279083301313221,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.158299321308732e-05,True,False,validated_interval,0.03,2,3,total_configuration_v2,0.14182100002653897,0.14182100002653897,1,median_full_configuration,0.14182100002653897,0.14182100002653897,fixed,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803,False
