backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.3002007710747421,0.0,0,0.01,0.0,0,0.0,0.39051316399127245
hybrid_dense_core,0.2807786900084466,0.0,0,0.01,0.0,1,0.01,0.4796878829365596
hybrid_dense_core,0.27686087507754564,0.0,0,0.01,0.0,2,0.02,0.5474246670491993
hybrid_dense_core,0.2876414899947122,0.0,0,0.01,0.0,3,0.03,0.6187297420110554
hybrid_dense_core,0.2872296019922942,0.0,0,0.01,0.0,4,0.04,0.5845871850615367
hybrid_dense_core,0.28403930203057826,0.0,0,0.01,0.0,5,0.05,0.5940237770555541
hybrid_dense_core,0.2815633370773867,0.0,0,0.01,0.0,6,0.06,0.5999780659331009
hybrid_dense_core,0.2801302580628544,0.0,0,0.01,0.0,7,0.07,0.6081180049804971
hybrid_dense_core,0.28158011799678206,0.0,0,0.01,0.0,8,0.08,0.6076393079711124
hybrid_dense_core,0.2807491960702464,0.0,0,0.01,0.0,9,0.09,0.6056050109909847
hybrid_dense_core,0.280875331023708,0.0,0,0.01,0.0,10,0.1,0.6150508869905025
hybrid_dense_core,0.2871463280171156,0.0,0,0.01,0.0,11,0.11,0.6132550128968433
hybrid_dense_core,0.28021664801053703,0.0,0,0.01,0.0,12,0.12,0.616124969907105
hybrid_dense_core,0.2875564869027585,0.0,0,0.01,0.0,13,0.13,0.6239624400623143
hybrid_dense_core,0.29425715596880764,0.0,0,0.01,0.0,14,0.14,0.6373479220783338
hybrid_dense_core,0.281950787990354,0.0,0,0.01,0.0,15,0.15,0.6286903308937326
hybrid_dense_core,0.2838470039423555,0.0,0,0.01,0.0,16,0.16,0.6310328909894451
hybrid_dense_core,0.28691828600130975,0.0,0,0.01,0.0,17,0.17,0.647970290039666
hybrid_dense_core,0.2820905679836869,0.0,0,0.01,0.0,18,0.18,0.6456313129747286
hybrid_dense_core,0.2849479600554332,0.0,0,0.01,0.0,19,0.19,0.6385242249816656
hybrid_dense_core,0.2867856409866363,0.0,0,0.01,0.0,20,0.2,0.6610325840301812
