file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,367,_down,2769,2769,0.003974618,0.020761152
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,375,_interval_add,719,719,0.003943919000000001,0.011569543000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,9196,9196,0.003856472,0.021740424
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,107,_coef,1852,1852,0.003453901,0.012121117
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,371,_up,2796,2796,0.003244419,0.016574004
~,0,<method 'hex' of 'float' objects>,5758,5758,0.003165181,0.003165181
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,609,609,0.003136733,0.003136733
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,813,<listcomp>,482,482,0.0030813940000000003,0.006747543000000001
~,0,<built-in method builtins.any>,3293,3457,0.002904616,0.017036274
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,563,validate_accepted_boundary_sr_queue,5,5,0.002884405,0.030868128
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2482,mul_trunc,108,108,0.0028819970000000003,0.379990835
~,0,<built-in method torch.cat>,646,646,0.00270696,0.00270696
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,252,cutoff,30,30,0.0026441100000000003,0.140634318
~,0,<built-in method torch.zeros>,966,966,0.002598361,0.002598361
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,28,add,80,80,0.002576086,0.0043019930000000005
~,0,<built-in method torch.tensor>,315,315,0.002550647,0.002550647
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,203,ensure_interval,6674,6674,0.0025167930000000002,0.0033224960000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,59,enclose_constant_substitution,3,3,0.0025056730000000004,0.017907483000000002
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/_tensor.py,1099,__iter__,1560,1560,0.002349894,0.008334431
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,262,add,1121,1121,0.002328417,0.056920198000000005
~,0,<method 'cpu' of 'torch._C.TensorBase' objects>,4815,4815,0.002320023,0.002320023
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,128,_call,387,387,0.002284,0.054663612
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1195,_identity_dense_cover,147,147,0.0021942470000000003,0.050189135
~,0,<method 'to' of 'torch._C.TensorBase' objects>,1472,1472,0.0021869700000000003,0.0021869700000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,577,_interval_is_valid,189,189,0.0020871410000000003,0.0073499820000000006
~,0,<built-in method torch.ones_like>,778,778,0.0020654130000000003,0.0020654130000000003
~,0,<method 'view' of 'torch._C.TensorBase' objects>,726,726,0.002042491,0.002042491
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1051,build_dense_subdivision_cover,42,42,0.0020293520000000003,0.029506535
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,72,point,2788,2788,0.001867736,0.103680877
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,532,_validated_interval_bounds,15,15,0.0018543670000000002,0.024805701000000003
~,0,<built-in method torch.ones>,319,319,0.001800953,0.001800953
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,159,_linear_polynomial_image,1,1,0.0017866330000000001,0.053262272000000006
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,57,evaluate_interval_normal,30,30,0.00174685,0.061672468
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,454,_interval_scale,118,118,0.0017320080000000002,0.0048539970000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,480,_float_or_none,706,706,0.0016734190000000002,0.010792755000000001
~,0,<method 'append' of 'list' objects>,13972,13972,0.001530619,0.001530619
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2010,mul_trunc,42,42,0.001451133,0.212546862
~,0,<built-in method torch.nonzero>,189,189,0.001430147,0.001430147
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1157,<setcomp>,189,189,0.0014153450000000001,0.005515839000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,804,<listcomp>,241,241,0.00138764,0.0032409
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/copy.py,128,deepcopy,2,1158,0.001303043,0.004840288
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,95,device,3912,3912,0.001299379,0.001299379
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/prepared_remainder_replay.py,129,key,1854,1854,0.001276908,0.001997351
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/accepted_boundary_sr.py,103,_interval_polynomial_range,6,6,0.001269341,0.047832828
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2673,component,86,86,0.0011435710000000001,0.0066277540000000005
~,0,<built-in method torch.count_nonzero>,315,315,0.001130303,0.001130303
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,107,width,300,300,0.0011229760000000001,0.0029083990000000003
~,0,<method 'scatter_add_' of 'torch._C.TensorBase' objects>,94,94,0.001113898,0.001113898
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,141,__sub__,150,150,0.001109662,0.008732272000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/json/encoder.py,205,iterencode,2,2,0.001101261,0.001101261
