lane,segment_index,physical_time,controller_period,state,enclosure_kind,torch_width_median,torch_width_p95,torch_width_max,xiangru_width_median,xiangru_width_p95,xiangru_width_max,torch_over_xiangru_ratio_median,torch_over_xiangru_ratio_p95,torch_over_xiangru_ratio_max,torch_hull_width,xiangru_hull_width,maximum_lower_abs_difference,maximum_upper_abs_difference,torch_contains_xiangru_leaf_count,xiangru_contains_torch_leaf_count,minimum_torch_property_margin,minimum_xiangru_property_margin
common_control_plant_replay,1,0.1,1,x1,endpoint,0.014415496218954826,0.014422800629682524,0.014423471828062695,0.014294522689815126,0.01430182725139147,0.014302503272781375,1.0084628941197282,1.0084671165249166,1.0084678628482384,0.10979162854788693,0.1096706671223322,6.228485300152631e-05,5.870223115111983e-05,48,0,1.363346716818262,1.3634053933908152
common_control_plant_replay,1,0.1,1,x2,endpoint,0.01914646143805504,0.01915454185434192,0.019154878029488343,0.01902221286296296,0.01903036509622793,0.01903066896777894,1.0065317490251096,1.0065397943832035,1.0065420395677818,0.110791116725377,0.11066683416413237,7.903870529457624e-05,4.5355645190814364e-05,48,0,1.2298470714478529,1.229926089029072
common_control_plant_replay,1,0.1,1,x3,endpoint,0.11153139183678942,0.11155396771894799,0.1115561842222079,0.11153139183233282,0.11155396771449139,0.11155618421775124,1.0000000000399583,1.0000000000399676,1.0000000000399696,0.11221932886613442,0.11221932886167776,2.228606188481308e-12,2.2281065881202267e-12,48,0,1.649033107989735,1.6490331079919636
common_control_plant_replay,1,0.1,1,x4,endpoint,0.1306278366931021,0.1310793543362742,0.13112368440147182,0.13062783668865285,0.13107935433182472,0.1311236843970225,1.0000000000340605,1.0000000000341993,1.000000000034225,0.1443865772800021,0.14438657727555237,2.224553874441426e-12,2.2253310305586638e-12,48,0,1.3749512629039518,1.374951262906177
common_control_plant_replay,1,0.1,1,u1,endpoint,0.30627836691133403,0.31079354334305975,0.3112368439950348,0.3062783669065272,0.3107935433382464,0.31123684399022267,1.0000000000156943,1.0000000000159872,1.0000000000160394,0.44386577278033457,0.4438657727755224,2.403410803708539e-12,2.4158453015843406e-12,48,0,N/A,N/A
common_control_plant_replay,1,0.1,1,x1,tube,0.0829538893725501,0.08720667989438884,0.0873542260927691,0.08195290394467869,0.0861987501729217,0.08634630119431164,1.0122147142348559,1.0127921350316755,1.012816533575641,0.17441671728666808,0.17340879027580447,2.1738558042549982e-07,0.0010081585744455834,0,0,1.2988455167737931,1.2998536589317733
common_control_plant_replay,1,0.1,1,x2,tube,0.09119993887289102,0.09560346104299186,0.09579926563262164,0.08637915340977992,0.09076230564304491,0.09076260951459592,1.055808604878375,1.0599574237354983,1.0612339098171912,0.17871765422294372,0.1740969275662979,6.557119777494957e-05,0.004971106044345475,48,0,1.226006661919274,1.2260722119929541
common_control_plant_replay,1,0.1,1,x3,tube,0.1666646307606786,0.1669413708120763,0.16702276925008155,0.16087788185018026,0.16116886765693403,0.1612524368526413,1.0358434896966475,1.0375220056093215,1.0383690935381416,0.16721932886613436,0.1612524368526413,0.00596689201126499,0.00019434782510696635,48,0,1.594033107989735,1.600000000001
common_control_plant_replay,1,0.1,1,x4,tube,0.13329261517088709,0.13882741619884106,0.14045538495894555,0.1306278366886529,0.1310793543318248,0.13112368439702243,1.021348647869741,1.0605574483636109,1.0737087861324042,0.1443865772800021,0.14438657727555243,0.009642089235374296,0.0038869564598034145,48,0,1.3749512629039518,1.374951262906177
common_control_plant_replay,1,0.1,1,u1,tube,0.30627836691133403,0.31079354334305975,0.3112368439950348,0.3062783669065272,0.3107935433382464,0.31123684399022267,1.0000000000156943,1.0000000000159872,1.0000000000160394,0.44386577278033457,0.4438657727755224,2.403410803708539e-12,2.4158453015843406e-12,48,0,N/A,N/A
common_control_plant_replay,2,0.2,1,x1,endpoint,0.016604196239628416,0.016626538246077415,0.01663015669759349,0.016084213875394743,0.01609923844228208,0.01610169123471894,1.0323287396858536,1.0327530894643175,1.0328204941438113,0.1189109357804779,0.11838612347154209,0.0003435137521731191,0.0001850243590338363,48,0,1.433193255241492,1.4333780832810403
common_control_plant_replay,2,0.2,1,x2,endpoint,0.021900497499665994,0.021925244530169148,0.02192537291253871,0.021339285912524597,0.02135619106707663,0.021356273813551097,1.0263018504102914,1.0266419226524124,1.0266600642326562,0.12094391542323912,0.12037665389566232,0.0003680876406900735,0.00020346115148683896,48,0,1.1676221037724415,1.1679876184333946
common_control_plant_replay,2,0.2,1,x3,endpoint,0.12612556734518965,0.1262158708738242,0.1262247368868638,0.12612556733352065,0.12621587086215505,0.12622473687519453,1.0000000000925189,1.000000000092596,1.0000000000926108,0.1288773154625696,0.1288773154509006,5.834888128219973e-12,5.834416283434507e-12,48,0,1.6961324319599242,1.6961324319657591
common_control_plant_replay,2,0.2,1,x4,endpoint,0.16125567338871724,0.16215870867506257,0.16224736880545781,0.16125567337710553,0.1621587086634493,0.16224736879384477,1.0000000000720082,1.0000000000724778,1.0000000000725668,0.18877315456251748,0.1887731545509045,5.806577441092031e-12,5.807243574906806e-12,48,0,1.3499025258066473,1.3499025258124546
common_control_plant_replay,2,0.2,1,u1,endpoint,0.3062783669156399,0.31079354334737275,0.3112368439993478,0.30627836690452703,0.3107935433362462,0.3112368439882225,1.0000000000362836,1.000000000036926,1.0000000000370466,0.443865772784644,0.44386577277352224,5.558220550483384e-12,5.5706550483591855e-12,48,0,N/A,N/A
common_control_plant_replay,2,0.2,1,x1,tube,0.09126638666360445,0.09563595154628585,0.09607939360261064,0.09000621908118533,0.09436134368392791,0.09480308672360094,1.0140009405358028,1.0145440055774149,1.0145992841273224,0.1901083054846882,0.1888493742670272,0.00014799291875389198,0.0011283139602558112,48,0,1.3621299097428279,1.3632443775245187
common_control_plant_replay,2,0.2,1,x2,tube,0.08691832770551094,0.0913385479490908,0.09153587406772346,0.08153013122088282,0.08592286055295817,0.0863121620500531,1.0660850637680412,1.0708671392341764,1.0723626115860807,0.18226253546667515,0.17710560396558406,0.00019017340344273936,0.005444652883131451,48,0,1.1634432028046942,1.163630566015184
common_control_plant_replay,2,0.2,1,x3,tube,0.18144098766320899,0.18236911873808923,0.1826089725367008,0.17415785818906723,0.17505160927426813,0.17529797534598585,1.041907280114129,1.04359386131473,1.0444733527268442,0.18348861981681172,0.17597663942369618,0.007511980387281181,0.00019434782871319278,48,0,1.6415211276056823,1.6490331079929634
common_control_plant_replay,2,0.2,1,x4,tube,0.16388171328899265,0.16976529677878932,0.17126868068725493,0.1612556733771055,0.16215870866344934,0.16224736879384472,1.0172980925205284,1.0489912035849223,1.0596565772915787,0.18877315456251748,0.1887731545509046,0.009642089238956153,0.003886956463384883,48,0,1.3499025258066473,1.3499025258124546
common_control_plant_replay,2,0.2,1,u1,tube,0.3062783669156399,0.31079354334737275,0.3112368439993478,0.30627836690452703,0.3107935433362462,0.3112368439882225,1.0000000000362836,1.000000000036926,1.0000000000370466,0.443865772784644,0.44386577277352224,5.558220550483384e-12,5.5706550483591855e-12,48,0,N/A,N/A
common_control_plant_replay,3,0.30000000000000004,1,x1,endpoint,0.018794646509321417,0.01883230353056072,0.018840982719881327,0.017866489911710415,0.017889434116749557,0.017894761562597006,1.0519495764359217,1.0527053773843746,1.0528769916254195,0.12701256296821278,0.1260767592576753,0.0006401877573970483,0.00030620680303755643,48,0,1.5088522633754788,1.5091580071765134
common_control_plant_replay,3,0.30000000000000004,1,x2,endpoint,0.02461679804303102,0.02465869708268571,0.024660978491020336,0.02362718727961255,0.023653806051249414,0.0236542707424362,1.0418802635943725,1.0424832699043982,1.0425696109367992,0.1300603632710221,0.12906058370758733,0.0006392068774925264,0.00037176570712826873,48,0,1.1141674077223498,1.114798767135973
common_control_plant_replay,3,0.30000000000000004,1,x3,endpoint,0.14378252652319076,0.14398570946261854,0.14400565799195747,0.1437825265035439,0.14398570944297118,0.14400565797231016,1.0000000001366431,1.0000000001368659,1.0000000001369067,0.1499739597872958,0.14997395976764863,9.823863944546929e-12,9.823503122063926e-12,48,0,1.7412979719115729,1.7412979719213966
