tool,git_sha,stage_id,iteration,basis_id,classification,source_file,source_function,source_line_start,source_line_end,input_artifact_hashes,output_artifact_hash
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,normalized_initial_tm,0,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_picard_validate_step,3240,3537,[],b2dd3f8c0010d1b60d3280bcdc1e84402c217dfd856d03fa061b3df03cfc0d3c
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_pre_cutoff,1,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""b2dd3f8c0010d1b60d3280bcdc1e84402c217dfd856d03fa061b3df03cfc0d3c""]",7fb5012fd13fee9e6d2bdad24f799dc27e1afe835c396091fb71938cc326d0dd
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_retained,1,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""7fb5012fd13fee9e6d2bdad24f799dc27e1afe835c396091fb71938cc326d0dd""]",f8733ac53db4d7f508b96cf351e8b12f7d8f8375dea85518290f2281d334041d
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_pre_cutoff,2,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""f8733ac53db4d7f508b96cf351e8b12f7d8f8375dea85518290f2281d334041d""]",8fb20313409cce480fcdb752474a02cb5158adaf9ce81964ff69374c8377c1fd
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_retained,2,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""8fb20313409cce480fcdb752474a02cb5158adaf9ce81964ff69374c8377c1fd""]",f5fdd7dc82445e35a84c94d0683745cd602c317db2c0816ce9b76c8051d3861c
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_pre_cutoff,3,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""f5fdd7dc82445e35a84c94d0683745cd602c317db2c0816ce9b76c8051d3861c""]",70b6b86901191a5e379e6340cb5bf89ae8044ac49845654445cbb90f0d937a4e
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_retained,3,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""70b6b86901191a5e379e6340cb5bf89ae8044ac49845654445cbb90f0d937a4e""]",0499fcfe8c1c42ba2ea498b576741952ce4dfb84c219f7c084bf31636bba474c
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_pre_cutoff,4,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""0499fcfe8c1c42ba2ea498b576741952ce4dfb84c219f7c084bf31636bba474c""]",032dcd416a2c5d76cbd961c361f83fb909b0057afc939447e9580bb5b2a139da
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,picard_polynomial_image_retained,4,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_polynomial_picard,3113,3178,"[""032dcd416a2c5d76cbd961c361f83fb909b0057afc939447e9580bb5b2a139da""]",35d40de16b398701c78982ca087e65dcdf10e72d0ccb6f981afcf19fc1250fa5
torch_complete_o4_legacy_production,3940386a61bdd6edbf3dc1722be031a1da572171,ode_expression_and_raw_remainder_tree,4,canonical_tau_ux_uy_o4,UNRESOLVED,src/torch_tm_flowpipe/batched_dense_tm.py,dense_picard_validate_step,3240,3537,"[""35d40de16b398701c78982ca087e65dcdf10e72d0ccb6f981afcf19fc1250fa5""]",993237d8548d06821ae72bfd45eac1cabce9da6d783fb787d2051c67d22b9588
