run_id,mode,order,candidate_order,output_order,truncation_range_split,adaptive_order_fallback,fallback_from_order,refinement_pass,residual_subset_current,validation_mode,cutoff_threshold,target_remainder_radius,status,runtime_s,validated_segments,last_validated_t,last_attempted_t,min_h_used,min_regular_h_used,min_final_alignment_h,h_below_flowstar_min_count,max_h_used,num_step_rejections,num_accepted_steps,num_rejected_steps,num_order8_steps,num_order8_attempts,failure_reason,final_width_sum,max_width_sum,max_residual_width_sum,max_remainder_width_sum,notes
flowstar_style_o6_target_truncsplit2,flowstar_style,6,6,6,2,,,,,target_remainder,,0.0001,failed,807.8879254385829,127,2.1236342027212638,2.1274555828648092,0.0022645215665453703,0.0022645215665453703,,0,0.056250000000000008,80,127,80,0,0,Picard residual not subset of target remainder,9.2854264582726511,9.2854264582726511,0.00080256456945710297,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_target_truncsplit4,flowstar_style,6,6,6,4,,,,,target_remainder,,0.0001,failed,1779.9840350523591,127,2.1236342027212638,2.1274555828648092,0.0022645215665453703,0.0022645215665453703,,0,0.056250000000000008,80,127,80,0,0,Picard residual not subset of target remainder,9.2854264582726511,9.2854264582726511,0.00080256456945710297,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_candidate8_output6_truncsplit2,flowstar_style,6,8,6,2,,,,,target_remainder,,0.0001,failed,1093.3742557130754,92,2.397165587736743,2.4009789966580759,0.0022597978793082348,0.0022597978793082348,,0,0.075000000000000011,58,92,58,0,208,Picard residual not subset of target remainder,24.973613525525622,24.973613525525622,0.00082188405163599132,0.00040000000000000007,Picard residual not subset of target remainder
