system,mode,h,steps,requested_order,order_semantics,dependency_scope,actual_degree_reference,status,final_width_sum,final_width_max,flowpipe_width_sum,flowpipe_width_max,max_final_degree,degree_by_dim,term_count_total,term_count_by_dim,remainder_radius_max,remainder_radius_by_dim,active_vars_by_dim,segment_max_degree,segment_tau_active_after_drop,validation_attempts,runtime_s
van_der_pol,range_only,0.0025,5,3,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4327303290986563,0.3016418837049329,0.499653170278619,0.33063867816404696,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[3, 3, 3, 3, 3]",False,15,0.39868258964270353
van_der_pol,dependency_preserving,0.0025,5,3,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4331070943576415,0.30177197942207906,0.5007588752942379,0.33085997840439113,1,"[1, 1]",4,"[2, 2]",0.013155854518831502,"[0.00026884912980286815, 0.013155854518831502]","[[0, 1], [0, 1]]","[3, 3, 3, 3, 3]",False,14,0.5714614037424326
van_der_pol,range_only,0.0025,5,4,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.43196055670840916,0.3014317634598734,0.49238397762044694,0.33053890657916646,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[4, 4, 4, 4, 4]",False,10,0.6358558218926191
van_der_pol,dependency_preserving,0.0025,5,4,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4326373297367888,0.30139888602467574,0.493145351304504,0.3306340860869517,3,"[3, 3]",12,"[6, 6]",0.0005533398575569912,"[2.0318838220146997e-05, 0.0005533398575569912]","[[0, 1], [0, 1]]","[4, 4, 4, 4, 4]",False,10,1.5622753398492932
van_der_pol,range_only,0.0025,5,5,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.43195607830405247,0.30143068971285186,0.4923752197743346,0.33053518202856474,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[5, 5, 5, 5, 5]",False,15,1.4431096613407135
van_der_pol,dependency_preserving,0.0025,5,5,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4324169296910537,0.3013982795903292,0.4930979853839915,0.3306289528500211,3,"[3, 3]",12,"[6, 6]",0.0003645167715374806,"[3.930115949869847e-06, 0.0003645167715374806]","[[0, 1], [0, 1]]","[5, 5, 5, 5, 5]",False,15,3.404506605118513
van_der_pol,range_only,0.0025,5,6,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.43174317053337286,0.3014290547809733,0.49228091520709183,0.3305339006074777,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[6, 6, 6, 6, 6]",False,15,2.681117944419384
van_der_pol,dependency_preserving,0.0025,5,6,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.43219333575661534,0.3013934440132871,0.4927960127534362,0.3306251896410391,5,"[5, 5]",24,"[12, 12]",5.737177288048904e-05,"[9.616849268442697e-07, 5.737177288048904e-05]","[[0, 1], [0, 1]]","[6, 6, 6, 6, 6]",False,13,6.977244692854583
van_der_pol,range_only,0.0025,5,7,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4317377019739056,0.3014285024476056,0.49226153380831217,0.33053349094836354,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[7, 7, 7, 7, 7]",False,10,3.916119087487459
van_der_pol,dependency_preserving,0.0025,5,7,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.43218856416491735,0.3013926527771525,0.49277145983118775,0.33062460556005574,5,"[5, 5]",24,"[12, 12]",4.6929207343336815e-06,"[7.536413776619507e-08, 4.6929207343336815e-06]","[[0, 1], [0, 1]]","[7, 7, 7, 7, 7]",False,10,10.698102481663227
van_der_pol,range_only,0.0025,5,8,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.43173765067031067,0.3014284966655075,0.4922614502733612,0.33053348183174897,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[8, 8, 8, 8, 8]",False,15,7.116066879592836
van_der_pol,dependency_preserving,0.0025,5,8,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.43218645158273616,0.30139262584849275,0.4927691550436527,0.3306245874021814,7,"[7, 7]",40,"[20, 20]",1.1407004414192654e-06,"[1.3704156152112926e-08, 1.1407004414192654e-06]","[[0, 1], [0, 1]]","[8, 8, 8, 8, 8]",False,15,21.434834646992385
van_der_pol,range_only,0.0025,10,2,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.5432730345485951,0.3045382074773831,0.6165283959766444,0.3618086114398376,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",False,30,0.4166886489838362
van_der_pol,dependency_preserving,0.0025,10,2,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.5423374698699753,0.3046701375017809,0.6403714010064453,0.36218210779454224,1,"[1, 1]",4,"[2, 2]",0.06379157407840948,"[0.0011134754085771867, 0.06379157407840948]","[[0, 1], [0, 1]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",False,23,0.5635140174999833
van_der_pol,range_only,0.0025,10,3,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4674280024284617,0.3036889775467387,0.5833372186149709,0.3609837375556065,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,30,0.8059386080130935
van_der_pol,dependency_preserving,0.0025,10,3,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4692439163345633,0.3043146643125659,0.5890797463694183,0.3619385511361824,1,"[1, 1]",4,"[2, 2]",0.02741788306316009,"[0.0009389696512393265, 0.02741788306316009]","[[0, 1], [0, 1]]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",False,24,1.0721124205738306
van_der_pol,range_only,0.0025,10,4,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.46582538464284096,0.30325450881692767,0.5754931239419342,0.3607900247123473,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",False,20,1.2815166395157576
van_der_pol,dependency_preserving,0.0025,10,4,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.46904629088974514,0.30312357556488695,0.5784195583907764,0.36098563203512796,3,"[3, 3]",12,"[6, 6]",0.0020137119656194616,"[5.858246960775891e-05, 0.0020137119656194616]","[[0, 1], [0, 1]]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",False,20,3.620579669252038
van_der_pol,range_only,0.0025,10,5,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.46581619387521045,0.30325231495064037,0.5754822695426617,0.3607859105610563,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",False,30,2.882232445292175
van_der_pol,dependency_preserving,0.0025,10,5,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.467988444764491,0.3031170716832892,0.5774462493806912,0.36097425546526846,3,"[3, 3]",12,"[6, 6]",0.0013279680537883218,"[2.1170128474320726e-05, 0.0013279680537883218]","[[0, 1], [0, 1]]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",False,26,6.9631353337317705
van_der_pol,range_only,0.0025,10,6,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.46536231682053264,0.3032462221753874,0.5753170473779089,0.36078135503051906,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",False,30,5.378915769979358
van_der_pol,dependency_preserving,0.0025,10,6,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4675040329375887,0.30309486534326396,0.5769665051167946,0.36096013946218025,5,"[5, 5]",24,"[12, 12]",0.0001482750978847585,"[3.826960114592664e-06, 0.0001482750978847585]","[[0, 1], [0, 1]]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",False,23,15.19917861931026
van_der_pol,range_only,0.0025,10,7,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4653507591321643,0.30324501141897736,0.5752954315504594,0.36078047098322125,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",False,20,7.831599068827927
van_der_pol,dependency_preserving,0.0025,10,7,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.46749308277313995,0.303092786673753,0.5769256482292552,0.36095829527850737,5,"[5, 5]",24,"[12, 12]",3.179173657468105e-05,"[4.280617369300365e-07, 3.179173657468105e-05]","[[0, 1], [0, 1]]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",False,20,23.503188403323293
van_der_pol,range_only,0.0025,10,8,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4653506518505698,0.30324499900730145,0.5752953317549808,0.3607804563408455,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",False,30,14.30551319848746
van_der_pol,dependency_preserving,0.0025,10,8,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.46748211100038006,0.3030925032270915,0.5769097501637391,0.3609581653488972,7,"[7, 7]",40,"[20, 20]",5.065173667624633e-06,"[8.949202580284445e-08, 5.065173667624633e-06]","[[0, 1], [0, 1]]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",False,25,45.735038977116346
van_der_pol,range_only,0.005,1,2,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.42729209465945395,0.3006969681999257,0.4701453620348016,0.31250212245042414,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[2],False,3,0.04172433167695999
van_der_pol,dependency_preserving,0.005,1,2,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4272920906594483,0.30069696619992375,0.4701453620348016,0.31250212245042414,1,"[1, 1]",4,"[2, 2]",0.012297562229760273,"[9.848309996092959e-05, 0.012297562229760273]","[[0, 1], [0, 1]]",[2],False,3,0.0404511047527194
van_der_pol,range_only,0.005,1,3,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.41330105127913,0.3006898978837392,0.4702359774396764,0.3124905510925718,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[3],False,3,0.08045517839491367
van_der_pol,dependency_preserving,0.005,1,3,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.41330104727912437,0.30068989588373723,0.4702359774396764,0.3124905510925718,1,"[1, 1]",4,"[2, 2]",0.0053037006976917765,"[9.619794186774652e-05, 0.0053037006976917765]","[[0, 1], [0, 1]]",[3],False,3,0.0789994653314352
van_der_pol,range_only,0.005,1,4,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4127001187051523,0.300525795037981,0.4564143432152926,0.31237318549893517,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[4],False,2,0.12684099841862917
van_der_pol,dependency_preserving,0.005,1,4,total_degree_cutoff,original_initial_variables,degree_wrt_original_initial_vars,validated,0.4127001147051466,0.30052579303797905,0.4564143432152926,0.31237318549893517,3,"[1, 3]",5,"[2, 3]",0.00018903687524818313,"[1.4149643988790904e-05, 0.00018903687524818313]","[[0, 1], [0, 1]]",[4],False,2,0.1253847312182188
van_der_pol,range_only,0.005,1,5,total_degree_cutoff,current_step_box_variables_after_collapse,degree_wrt_current_step_box_vars_not_original_initial_vars,validated,0.4126931790402267,0.3005241212892918,0.45639010672974833,0.312360874694855,1,"[1, 1]",2,"[1, 1]",5e-324,"[5e-324, 5e-324]","[[0], [1]]",[5],False,3,0.2852372182533145
