system,mode,h,steps,requested_order,status,final_width_sum,final_width_by_dim,poly_range_width_sum,poly_range_width_by_dim,remainder_width_sum,remainder_width_by_dim,remainder_radius_by_dim,max_final_degree,degree_by_dim,term_count_by_dim,runtime_s,validation_attempts,containment_failures,sampled_width_sum,sampled_width_by_dim,remainder_width_frac,poly_range_width_frac,width_over_sampled_ratio,quality_label
van_der_pol,range_only,0.0025,1,2,validated,0.4134488767500902,"[0.30029869311223406, 0.11315018363785613]",0.41344887675008885,"[0.3002986931122336, 0.11315018363785524]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.04453945066779852,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999968,1.0199958809156713,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,2,validated,0.4134488727500845,"[0.3002986911122321, 0.11315018163785241]",0.4012500000000037,"[0.30025000000000107, 0.10100000000000266]",0.012198872750079559,"[4.869111223069684e-05, 0.012150181637848862]","[2.434555611534842e-05, 0.006075090818924431]",1,"[1, 1]","[2, 2]",0.041148812510073185,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",0.029505154213960945,0.9704948457860361,1.019995871047488,polynomial_range_dominated
van_der_pol,range_only,0.0025,1,3,validated,0.4063944929575381,"[0.30029687030295854, 0.10609762265457957]",0.40639449295753677,"[0.3002968703029581, 0.10609762265457869]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.08131234906613827,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999967,1.0025924174757386,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,3,validated,0.40639448895753244,"[0.3002968683029566, 0.10609762065457586]",0.4012503125000036,"[0.3002493750000011, 0.10100093750000251]",0.005144176457527322,"[4.7493302955116154e-05, 0.005096683154572206]","[2.3746651477558077e-05, 0.002548341577286103]",1,"[1, 1]","[2, 2]",0.07936301175504923,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",0.01265808616333102,0.9873419138366653,1.0025924076075554,polynomial_range_dominated
van_der_pol,range_only,0.0025,1,4,validated,0.4062454163635965,"[0.3002559694184435, 0.10598944694515301]",0.4062454163635952,"[0.30025596941844307, 0.10598944694515212]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.1268383702263236,2,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999967,1.0022246392078265,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,4,validated,0.40624541236359085,"[0.30025596741844157, 0.1059894449451493]",0.4061465614583378,"[0.30024937421875114, 0.10589718723958665]",9.885090525165351e-05,"[6.593199689960316e-06, 9.22577055616932e-05]","[3.296599844980158e-06, 4.61288527808466e-05]",3,"[1, 3]","[2, 3]",0.1298072012141347,2,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",0.00024332805305178845,0.9997566719469447,1.0022246293396433,polynomial_range_dominated
van_der_pol,range_only,0.0025,1,5,validated,0.4062445390939636,"[0.30025575840774704, 0.10598878068621655]",0.40624453909396224,"[0.3002557584077466, 0.10598878068621566]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.2870891522616148,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999967,1.0022224749465058,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,5,validated,0.4062445350939579,"[0.3002557564077451, 0.10598877868621283]",0.4061838927075266,"[0.30025549453108896, 0.10592839817643764]",6.064238642980334e-05,"[2.618766557312545e-07, 6.0380509774072084e-05]","[1.3093832786562725e-07, 3.0190254887036042e-05]",3,"[3, 3]","[3, 5]",0.28733205422759056,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",0.0001492755746628757,0.9998507244253334,1.0022224650783225,polynomial_range_dominated
van_der_pol,range_only,0.0025,1,6,validated,0.4062040925287372,"[0.3002556423008474, 0.1059484502278898]",0.40620409252873585,"[0.30025564230084695, 0.10594845022788892]",1e-323,"[5e-324, 5e-324]","[5e-324, 5e-324]",1,"[1, 1]","[1, 1]",0.5361721990630031,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",2.5e-323,0.9999999999999967,1.0021226915579224,polynomial_range_dominated
van_der_pol,dependency_preserving,0.0025,1,6,validated,0.4062040885287315,"[0.30025564030084545, 0.10594844822788609]",0.40618395809164426,"[0.3002555205402047, 0.10592843755143956]",2.0130437085938984e-05,"[1.197606402158189e-07, 2.0010676445723166e-05]","[5.988032010790944e-08, 1.0005338222861583e-05]",3,"[3, 3]","[5, 6]",0.5333987921476364,3,0,0.4053436729361384,"[0.300243250909799, 0.1051004220263394]",4.9557445762920045e-05,0.9999504425542338,1.002122681689739,polynomial_range_dominated
