backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.5814089979976416,0.005794963042717427,2,0.01,0.03736996097723022,0,0.0,1.326966057997197
hybrid_dense_core,0.36773400800302625,0.005797746998723596,2,0.01,0.0006049859803169966,1,0.01,1.0641723190201446
hybrid_dense_core,0.3744286540313624,0.005935947992838919,2,0.01,0.0005242889747023582,2,0.02,1.2976875960011967
hybrid_dense_core,0.36701177596114576,0.0057307659881189466,2,0.01,0.0005496689700521529,3,0.03,1.3354368739528582
hybrid_dense_core,0.37765273300465196,0.005887996987439692,2,0.01,0.0006013170350342989,4,0.04,1.4057561969966628
hybrid_dense_core,0.37705171201378107,0.0061242489609867334,2,0.01,0.0005355169996619225,5,0.05,1.4403434970299713
hybrid_dense_core,0.42059398104902357,0.00579723302507773,2,0.01,0.0005442759720608592,6,0.06,1.5100987139740027
hybrid_dense_core,0.3674308990011923,0.005689308978617191,2,0.01,0.0005631669773720205,7,0.07,1.448416996980086
hybrid_dense_core,0.36831237096339464,0.005816111981403083,2,0.01,0.0005577499978244305,8,0.08,1.4565407520276494
hybrid_dense_core,0.36922076100017875,0.0057226159842684865,2,0.01,0.0005473479977808893,9,0.09,1.4899436790146865
