operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,405808,217209.15600006047,"[[1,6],[],[],[]]",134410
aten::select,282059,702778.1369998883,"[[48,6],[],[]]",79026
aten::item,140012,153209.61099988202,[[]],140012
aten::_local_scalar_dense,140012,56349.469000169,[[]],140012
aten::unbind,68928,120630.92300003424,"[[1],[]]",59040
aten::slice,64214,201480.36499994795,"[[1,6],[],[],[],[]]",57600
aten::empty,41457,78917.61099995616,"[[],[],[],[],[],[]]",41457
aten::fill_,36319,90119.89500001074,"[[1,1],[]]",14832
aten::empty_strided,27299,107594.4110000099,"[[],[],[],[],[],[]]",27299
aten::empty_like,21919,51137.066999951785,"[[48,1],[],[],[],[],[]]",12168
aten::to,19226,10199.48200005203,"[[48],[],[],[],[]]",7934
aten::full_like,16160,48604.16100006592,"[[48,1],[],[],[],[],[],[]]",10114
aten::nextafter,16158,114931.93899998436,"[[48,1],[48,1]]",10114
aten::is_nonzero,15027,17389.353000049294,[[]],15027
aten::mul,13575,97057.1230000283,"[[48,1],[48,1]]",5919
aten::abs,13498,68257.1699999983,[[48]],4558
aten::index_select,12480,98298.81100004299,"[[48,6],[],[1]]",9600
aten::view,12338,23170.789000009347,"[[1,1],[]]",4944
aten::cat,12075,99423.68699997346,"[[],[]]",12075
aten::resize_,11217,29537.257999990685,"[[0],[],[]]",11217
aten::unsqueeze,10975,20960.675999959458,"[[48],[]]",10230
aten::le,10941,64205.721999984715,"[[6],[1,6]]",4800
aten::copy_,10871,58270.523999946156,"[[],[],[]]",3879
aten::all,10322,103565.02999996123,"[[1,6],[],[]]",4800
aten::any,10015,58371.44899997589,"[[1,6]]",9600
aten::pow,7939,78044.7110000131,"[[48],[]]",7934
aten::result_type,7934,1827.7430000369568,"[[48],[]]",7934
aten::lift_fresh,7922,1497.054000005557,[[6]],4800
aten::stack,6900,46676.52900010528,"[[],[]]",6900
aten::ge,6299,39720.285000024305,"[[6],[1,6]]",4800
aten::eq,6177,28760.64200000213,"[[48],[]]",4944
aten::__and__,6093,10810.89499999411,"[[1,6],[1,6]]",4800
aten::bitwise_and,6093,28896.35799999987,"[[1,6],[1,6]]",4800
aten::max,5880,96219.29699997556,"[[2,48],[],[]]",2456
aten::reshape,4990,10053.863000001962,"[[1,1],[]]",4944
aten::nonzero,4979,37223.87599998595,[[48]],4944
aten::gt,4970,13749.288000022418,"[[1,6],[6]]",4800
aten::resolve_conj,4949,1007.1640000020852,[[12]],4800
aten::resolve_neg,4949,626.0149999998393,[[12]],4800
aten::detach_,4945,7183.711999979423,[[6]],4800
aten::as_strided_,4944,11362.807999986922,"[[1,1],[],[],[]]",4944
aten::lt,4944,14752.686999990328,"[[1,6],[6]]",4800
aten::count_nonzero,4944,26623.152999998143,"[[1],[]]",4944
aten::min,4742,87191.46800001955,"[[2,48],[],[]]",2456
aten::_to_copy,4441,19987.459999930135,"[[],[],[],[],[],[],[]]",3874
aten::add,4049,32480.905999992774,"[[48,1],[48,1],[]]",2457
aten::div,3369,29979.64299998965,"[[48,1],[]]",3354
aten::clone,3255,12624.348000013273,"[[48,1],[]]",1190
aten::zero_,3249,8118.525000001053,"[[48,1]]",1937
aten::zeros_like,3150,7662.761000012693,"[[48,1],[],[],[],[],[]]",1937
aten::expand,2702,6854.259999994763,"[[1,84],[],[]]",1680
aten::gather,2592,28811.883999956888,"[[48,4],[],[48,84],[],[48,84]]",1680
aten::neg,1797,12204.372000012969,"[[48,1]]",1781
aten::maximum,1757,14395.174000001956,"[[48],[48]]",1138
aten::where,1738,20041.868999999242,"[[48],[48],[48]]",1511
aten::detach,1658,2444.9319999862055,[[]],1138
