stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,<stack-unavailable>:0:unknown,[[]],104771,104771,104771,74.8300145701797
affine_composition,<stack-unavailable>:0:unknown,[[]],9267,9267,9267,6.618718395566094
tora_rhs,<stack-unavailable>:0:unknown,[[]],1440,1440,1440,1.028483272862326
remainder_picard_round_01,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_02,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_03,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_04,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_05,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_06,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_07,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_08,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_09,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
remainder_picard_round_10,<stack-unavailable>:0:unknown,[[]],1425,1425,1425,1.017769905436677
initial_remainder_picard,<stack-unavailable>:0:unknown,[[]],1420,1420,1420,1.0141987829614605
polynomial_picard_k1,<stack-unavailable>:0:unknown,[[]],1401,1401,1401,1.0006285175556382
polynomial_picard_k2,<stack-unavailable>:0:unknown,[[]],1401,1401,1401,1.0006285175556382
natural_polynomial_range_picard_roundoff,<stack-unavailable>:0:unknown,[[]],1310,1310,1310,0.9356340885066994
natural_polynomial_range_tube,<stack-unavailable>:0:unknown,[[]],1310,1310,1310,0.9356340885066994
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,[[]],1130,1130,1130,0.8070736793989086
exact_endpoint_substitution,<stack-unavailable>:0:unknown,[[]],1129,1129,1129,0.8063594549038654
endpoint_projection,<stack-unavailable>:0:unknown,[[]],1129,1129,1129,0.8063594549038654
full_q3_step,<stack-unavailable>:0:unknown,[[]],25,25,25,0.01785561237608205
final_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],15,15,15,0.01071336742564923
unscoped,<stack-unavailable>:0:unknown,[[]],13,13,13,0.009284918435562665
composed_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,0.000714224495043282
