device,device_name,batch,state_dim,kernel,repeats,median_kernel_s,p10_kernel_s,p90_kernel_s,median_per_state_s,states_per_s,host_to_device_once_s,device_to_host_once_s,peak_device_bytes,contains,timing_synchronized,scope
cpu,CPU,1,2,complete_validated_ledger_interval_to_affine_source,500,7.072098378557712e-05,7.02570250723511e-05,7.499899948015809e-05,7.072098378557712e-05,14140.074790700814,4.258099943399429e-05,8.642993634566665e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,8,2,complete_validated_ledger_interval_to_affine_source,500,7.091749284882098e-05,7.05139827914536e-05,7.51520274206996e-05,8.864686606102623e-06,112807.14642653927,2.9329967219382524e-06,2.129992935806513e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,64,2,complete_validated_ledger_interval_to_affine_source,500,7.354799890890718e-05,7.318900316022336e-05,7.689700578339398e-05,1.1491874829516746e-06,870180.0314005438,2.6609923224896193e-06,1.9690196495503187e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,256,2,complete_validated_ledger_interval_to_affine_source,500,8.430849993601441e-05,8.386498666368425e-05,8.927099406719208e-05,3.293300778750563e-07,3036467.262426566,2.4129985831677914e-06,2.1719897631555796e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cpu,CPU,512,2,complete_validated_ledger_interval_to_affine_source,500,0.0001010604901239276,0.00010053301230072975,0.00010722302249632776,1.9738376977329608e-07,5066272.678592287,2.3929751478135586e-06,2.587010385468602e-06,0,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,1,2,complete_validated_ledger_interval_to_affine_source,500,0.00033229550172109157,0.00032899301731958985,0.00034328701440244913,0.00033229550172109157,3009.3696568885202,0.1341902230051346,8.164401515386999e-05,9216,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,8,2,complete_validated_ledger_interval_to_affine_source,500,0.00033320000511594117,0.0003294959897175431,0.00035366302472539246,4.1650000639492646e-05,24009.603472894,5.5342999985441566e-05,4.40700096078217e-05,9216,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,64,2,complete_validated_ledger_interval_to_affine_source,500,0.00033571349922567606,0.00033220299519598484,0.0003502420149743557,5.2455234254011884e-06,190638.74448783306,4.8807007260620594e-05,4.4720014557242393e-05,16384,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,256,2,complete_validated_ledger_interval_to_affine_source,500,0.0003352170024299994,0.0003312300250399858,0.0003500940219964832,1.3094414157421852e-06,763684.4138103,5.1907001761719584e-05,6.430898793041706e-05,61952,True,True,carry_lift_kernel_only_not_multistep_solver
cuda,Tesla V100-SXM2-16GB,512,2,complete_validated_ledger_interval_to_affine_source,500,0.00033588800579309464,0.0003323179844301194,0.00034680101089179516,6.56031261314638e-07,1524317.6033960246,5.566500476561487e-05,5.712799611501396e-05,123904,True,True,carry_lift_kernel_only_not_multistep_solver
