analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_estimation,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.005,0.005,tube,,,-6.250001251250028e-06,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,6.25000025025002e-05,,0.020024452824145555,,0,,1,,riccati,1,0.005,torch_tm_flowpipe,,0.1000562500012513,,2,,complete_total_degree_1,0.10006250000250255
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.005,0.005,endpoint_raw,,,-6.250001251250028e-06,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,6.25000025025002e-05,,0.020024452824145555,,0,,1,,riccati,1,0.005,torch_tm_flowpipe,,0.1000562500012513,,2,,complete_total_degree_1,0.10006250000250255
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.005,0.005,tube,,,-6.250001251250018e-06,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,6.250000250250011e-05,,0.02084941789507866,,0,,1,,riccati,1,0.005,torch_tm_flowpipe,,0.1000562500012513,,2,,complete_total_degree_2,0.10006250000250255
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.005,0.005,endpoint_raw,,,-6.250001251250018e-06,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,6.250000250250011e-05,,0.02084941789507866,,0,,1,,riccati,1,0.005,torch_tm_flowpipe,,0.1000562500012513,,2,,complete_total_degree_2,0.10006250000250255
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.01,0.01,tube,,,-1.2500001252500047e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,0.0001250000025050004,,0.016739369835704565,,0,,1,,riccati,1,0.01,torch_tm_flowpipe,,0.10011250000125255,,2,,complete_total_degree_1,0.10012500000250504
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.01,0.01,endpoint_raw,,,-1.2500001252500047e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,0.0001250000025050004,,0.016739369835704565,,0,,1,,riccati,1,0.01,torch_tm_flowpipe,,0.10011250000125255,,2,,complete_total_degree_1,0.10012500000250504
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.01,0.01,tube,,,-1.2500001252500027e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,0.0001250000025050002,,0.020578468684107065,,0,,1,,riccati,1,0.01,torch_tm_flowpipe,,0.10011250000125255,,2,,complete_total_degree_2,0.10012500000250504
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.01,0.01,endpoint_raw,,,-1.2500001252500027e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,0.0001250000025050002,,0.020578468684107065,,0,,1,,riccati,1,0.01,torch_tm_flowpipe,,0.10011250000125255,,2,,complete_total_degree_2,0.10012500000250504
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.02,0.02,tube,,,-2.50000012550001e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,0.0002500000025100008,,0.01689845882356167,,0,,1,,riccati,1,0.02,torch_tm_flowpipe,,0.10022500000125505,,2,,complete_total_degree_1,0.10025000000251004
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.02,0.02,endpoint_raw,,,-2.50000012550001e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,0.0002500000025100008,,0.01689845882356167,,0,,1,,riccati,1,0.02,torch_tm_flowpipe,,0.10022500000125505,,2,,complete_total_degree_1,0.10025000000251004
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.02,0.02,tube,,,-2.500000125500006e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,0.0002500000025100004,,0.020935374777764082,,0,,1,,riccati,1,0.02,torch_tm_flowpipe,,0.10022500000125505,,2,,complete_total_degree_2,0.10025000000251004
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.02,0.02,endpoint_raw,,,-2.500000125500006e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,0.0002500000025100004,,0.020935374777764082,,0,,1,,riccati,1,0.02,torch_tm_flowpipe,,0.10022500000125505,,2,,complete_total_degree_2,0.10025000000251004
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.05,0.05,tube,,,-6.250000126250035e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,0.0006250000025250025,,0.01713210018351674,,0,,1,,riccati,1,0.05,torch_tm_flowpipe,,0.10056250000126254,,2,,complete_total_degree_1,0.10062500000252504
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.05,0.05,endpoint_raw,,,-6.250000126250035e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,0.0006250000025250025,,0.01713210018351674,,0,,1,,riccati,1,0.05,torch_tm_flowpipe,,0.10056250000126254,,2,,complete_total_degree_1,0.10062500000252504
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.05,0.05,tube,,,-6.250000126250024e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000006,,one_step_common_input,,,0.0006250000025250015,,0.021960692945867777,,0,,1,,riccati,1,0.05,torch_tm_flowpipe,,0.10056250000126254,,2,,complete_total_degree_2,0.10062500000252504
True,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.05,0.05,endpoint_raw,,,-6.250000126250024e-05,1,,,"{""affine_state"": 1}",True,,,,,0.10000000000000005,,one_step_common_input,,,0.0006250000025250015,,0.021960692945867777,,0,,1,,riccati,1,0.05,torch_tm_flowpipe,,0.10056250000126254,,2,,complete_total_degree_2,0.10062500000252504
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.005,0.005,tube,,,-0.10062500000125629,1,,,"{""affine_state"": 1}",True,,,,,0.20000000000000015,,one_step_common_input,,,0.0012500000025125024,,0.031533798202872276,,0,,1,,harmonic,1,0.005,torch_tm_flowpipe,,0.10062500000125629,,2,,complete_total_degree_1,0.20125000000251259
,,,,none_one_step,0.0,torch_nextafter_outward,,,,True,0.005,0.005,tube,,,-0.10062500000125629,1,,,"{""affine_state"": 1}",True,,,,,0.20000000000000018,,one_step_common_input,,,0.0012500000025125024,,0.031533798202872276,,1,,1,,harmonic,1,0.005,torch_tm_flowpipe,,0.10062500000125629,,2,,complete_total_degree_1,0.20125000000251259
