analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
,,,,none_one_step,0.0,False,,,,True,0.005,0.005,tube,,,-2.5018766205711e-05,1,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.10006252813941424,,one_step_common_input,,1.2537561030913079e-05,,3.6970804361626506,,0,,1,,riccati,3,0.005,diffreach,,0.10005004693423931,,1,,upstream_affine_flag,0.10007506570044503
True,,,,none_one_step,0.0,False,,,,True,0.005,0.005,endpoint_raw,,,-1.251876542446231e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10005002813863294,,one_step_common_input,,1.2537561030913079e-05,,3.6970804361626506,,0,,1,,riccati,2,0.005,diffreach,,0.10005004693423931,,1,,upstream_affine_flag,0.10006256569966378
,,,,none_one_step,0.0,False,,,,True,0.005,0.005,tube,,,-1.2521902162792577e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 1}",True,,,,,0.10006250312299915,,one_step_common_input,,1.2556326668227795e-05,,0.9797162772156298,,0,,1,,riccati,5,0.005,diffreach,,0.10005003754750444,,1,,upstream_restricted_quasi_quadratic,0.10006255944966723
True,,,,none_one_step,0.0,False,,,,True,0.005,0.005,endpoint_raw,,,-1.2518777162792575e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10004999999799909,,one_step_common_input,,1.2556326668227795e-05,,0.9797162772156298,,0,,1,,riccati,2,0.005,diffreach,,0.10005003754750444,,1,,upstream_restricted_quasi_quadratic,0.10006255632466723
,,,,none_one_step,0.0,False,,,,True,0.01,0.01,tube,,,-5.007513680142267e-05,1,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.10012511262939039,,one_step_common_input,,2.5150489001753456e-05,,0.3512211721390486,,0,,1,,riccati,3,0.01,diffreach,,0.1001001879815906,,1,,upstream_affine_flag,0.10015026311839202
True,,,,none_one_step,0.0,False,,,,True,0.01,0.01,endpoint_raw,,,-2.507513055141797e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10010011262314034,,one_step_common_input,,2.5150489001753456e-05,,0.3512211721390486,,0,,1,,riccati,2,0.01,diffreach,,0.1001001879815906,,1,,upstream_affine_flag,0.10012526311214201
,,,,none_one_step,0.0,False,,,,True,0.01,0.01,tube,,,-2.508772461496279e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 1}",True,,,,,0.10012501249799814,,one_step_common_input,,2.5225614198949224e-05,,0.568337676115334,,0,,1,,riccati,5,0.01,diffreach,,0.100100150387582,,1,,upstream_restricted_quasi_quadratic,0.10012523811219695
True,,,,none_one_step,0.0,False,,,,True,0.01,0.01,endpoint_raw,,,-2.5075224614962788e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.1000999999979981,,one_step_common_input,,2.5225614198949224e-05,,0.568337676115334,,0,,1,,riccati,2,0.01,diffreach,,0.100100150387582,,1,,upstream_restricted_quasi_quadratic,0.10012522561219696
,,,,none_one_step,0.0,False,,,,True,0.02,0.02,tube,,,-0.00010030110392791667,1,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.10025045105027618,,one_step_common_input,,5.060392425834019e-05,,0.34323926735669374,,0,,1,,riccati,3,0.02,diffreach,,0.10020075387060647,,1,,upstream_affine_flag,0.10030105497453438
True,,,,none_one_step,0.0,False,,,,True,0.02,0.02,endpoint_raw,,,-5.0301053927827846e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10020045100027604,,one_step_common_input,,5.060392425834019e-05,,0.34323926735669374,,0,,1,,riccati,2,0.02,diffreach,,0.10020075387060647,,1,,upstream_affine_flag,0.10025105492453429
