accepted_step,accepted_steps,analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,center_shift_from_initial,compile_time_s,dependency_loss_metric,dependency_loss_semantics,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_center,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,memory_measurement,memory_unavailable_reason,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,reference_oracle,remainder_estimation,remainder_width,requested_step,reset_method,runtime_export_s,runtime_propagation_s,runtime_s,runtime_setup_s,runtime_unavailable_semantics,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
0.01,25,,,,,c+A*xi+fresh_independent_interval,0.004479570445397221,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.25,0.10447957044539723,tube,,,-0.013215388308000358,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.04016639505032665,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.1952235224564686,0.01,,unavailable,0.06036430690437555,0.06036430690437555,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,25,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,0.22217452919879482,,2,,complete_total_degree_1,0.2353899175067952
0.01,25,,,,,c+A*xi+fresh_independent_interval,-0.041225605594203435,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.25,0.15877439440579658,tube,,,-0.26540126971769323,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.04148477389326266,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.806866554353717,0.01,,unavailable,0.06036430690437555,0.06036430690437555,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,25,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,0.5829500585292864,,2,,complete_total_degree_1,0.8483513282469797
0.01,25,,,,,c+A*xi+fresh_independent_interval,0.004562767970560447,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.25,0.10456276797056045,endpoint_raw,,,-0.013048993257673879,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.04000000000000012,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.1952235224564686,0.01,,unavailable,0.06036430690437555,0.06036430690437555,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,25,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,0.2221745291987948,,2,,complete_total_degree_1,0.2352235224564687
0.01,25,,,,,c+A*xi+fresh_independent_interval,-0.04196799254083458,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.25,0.15803200745916543,endpoint_raw,,,-0.26540126971769323,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.04000000000000026,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.806866554353717,0.01,,unavailable,0.06036430690437555,0.06036430690437555,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,25,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,0.5814652846360241,,2,,complete_total_degree_1,0.8468665543537173
0.005,30,,,,,c+A*xi+fresh_independent_interval,0.31891711217246654,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.15,1.5689171121724665,tube,,,-3.7206137591224784,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.3094430304700042,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,10.269618712119886,0.005,,unavailable,0.06656049704179168,0.06656049704179168,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,30,0.15,van_der_pol,3,0.15,torch_tm_flowpipe,True,6.8584479834674115,,2,,complete_total_degree_1,10.57906174258989
0.005,30,,,,,c+A*xi+fresh_independent_interval,-0.5253198533121353,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.15,1.874680146687865,tube,,,-60.66870524580072,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.12151878535254923,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,124.9652519996246,0.005,,unavailable,0.06656049704179168,0.06656049704179168,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,30,0.15,van_der_pol,3,0.15,torch_tm_flowpipe,True,64.41806553917645,,2,,complete_total_degree_1,125.08677078497718
0.005,30,,,,,c+A*xi+fresh_independent_interval,0.3236386274074674,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.15,1.5736386274074674,endpoint_raw,,,-3.7111707286524767,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.3000000000000016,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,10.269618712119886,0.005,,unavailable,0.06656049704179168,0.06656049704179168,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,30,0.15,van_der_pol,2,0.15,torch_tm_flowpipe,True,6.8584479834674115,,2,,complete_total_degree_1,10.569618712119889
0.005,30,,,,,c+A*xi+fresh_independent_interval,-0.5360792459884127,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.15,1.8639207540115876,endpoint_raw,,,-60.66870524580072,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10000000000000187,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,124.9652519996246,0.005,,unavailable,0.06656049704179168,0.06656049704179168,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,30,0.15,van_der_pol,2,0.15,torch_tm_flowpipe,True,64.3965467538239,,2,,complete_total_degree_1,125.06525199962462
0.01,23,,,,,c+A*xi+fresh_independent_interval,0.45246146064188886,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.23,1.7024614606418889,tube,,,-2.2229387948655224,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.3155532675332937,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,7.535247243481529,0.01,,unavailable,0.0670398510992527,0.0670398510992527,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,23,0.23,van_der_pol,3,0.23,torch_tm_flowpipe,True,5.6278617161493,,2,,complete_total_degree_1,7.850800511014823
0.01,23,,,,,c+A*xi+fresh_independent_interval,-0.8715268211619804,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.23,1.52847317883802,tube,,,-39.779501380812256,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.14626501077569332,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,82.46968410852485,0.01,,unavailable,0.0670398510992527,0.0670398510992527,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,23,0.23,van_der_pol,3,0.23,torch_tm_flowpipe,True,42.836447738488296,,2,,complete_total_degree_1,82.61594911930055
0.01,23,,,,,c+A*xi+fresh_independent_interval,0.46023809440853447,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.23,1.7102380944085345,endpoint_raw,,,-2.207385527332231,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.3000000000000016,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,7.535247243481529,0.01,,unavailable,0.0670398510992527,0.0670398510992527,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,23,0.23,van_der_pol,2,0.23,torch_tm_flowpipe,True,5.6278617161493,,2,,complete_total_degree_1,7.835247243481531
