analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,endpoint_evaluation_path,excluded_from_authoritative,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,runtime_s,state_index,step_index,system,time,tool,upper,variant,width
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.001713987289041841,,True,2,0.1067155650387991,native_low_order,0.0018426928004130244,0.000104,0,64,riccati,0.6400000000000003,flowstar,0.10684427055017029,root_cause_fixed_order_2,0.10855825783921214
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0017425760611358683,,True,2,0.10682580839017164,native_low_order,0.0018754259865972228,0.000104,0,65,riccati,0.6500000000000004,flowstar,0.106958658315633,root_cause_fixed_order_2,0.10870123437676887
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0017712233259274414,,True,2,0.10693622266145211,native_low_order,0.0019082920756445835,0.000104,0,66,riccati,0.6600000000000004,flowstar,0.10707329141116925,root_cause_fixed_order_2,0.10884451473709669
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0017999292200110103,,True,2,0.10704680820614594,native_low_order,0.0019412916410382508,0.000104,0,67,riccati,0.6700000000000004,flowstar,0.10718817062717319,root_cause_fixed_order_2,0.1089880998471842
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.001828693880362609,,True,2,0.10715756537867296,native_low_order,0.001974425259128452,0.000103,0,68,riccati,0.6800000000000004,flowstar,0.10730329675743881,root_cause_fixed_order_2,0.10913199063780142
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0018575174443411597,,True,2,0.10726849453437026,native_low_order,0.0020076935091492294,0.000104,0,69,riccati,0.6900000000000004,flowstar,0.10741867059917833,root_cause_fixed_order_2,0.10927618804351949
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0018864000496897275,,True,2,0.10737959602949493,native_low_order,0.0020410969732352793,0.000109,0,70,riccati,0.7000000000000004,flowstar,0.10753429295304048,root_cause_fixed_order_2,0.1094206930027302
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.001915341834536811,,True,2,0.10749087022122711,native_low_order,0.0020746362364389152,0.000104,0,71,riccati,0.7100000000000004,flowstar,0.10765016462312922,root_cause_fixed_order_2,0.10956550645766604
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0019443429373976117,,True,2,0.10760231746767271,native_low_order,0.0021083118867471318,0.000104,0,72,riccati,0.7200000000000004,flowstar,0.10776628641702224,root_cause_fixed_order_2,0.10971062935441984
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0019734034971753056,,True,2,0.10771393812786634,native_low_order,0.002142124515098797,0.000104,0,73,riccati,0.7300000000000004,flowstar,0.10788265914578983,root_cause_fixed_order_2,0.10985606264296513
