analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,reset_discarded_term_count,runtime_s,state_index,step_index,system,time,tool,upper,validation_attempts,variant,width
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.000265263108438269,,True,1,0.10000000000000003,native_low_order,0.0011337463659250005,0,0.012971693184226751,0,6,riccati,0.06,torch_tm_flowpipe,0.10086848325748678,2,order1_raw_dependency,0.10113374636592505
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.000597297496632782,,True,1,0.10000000000000003,native_low_order,0.0018988230060320963,0,0.012847397942095995,0,7,riccati,0.07,torch_tm_flowpipe,0.10130152550939936,2,order1_raw_dependency,0.10189882300603215
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.000597297496632782,,True,1,0.10000000000000003,native_low_order,0.0018988230060320963,0,0.012847397942095995,0,7,riccati,0.07,torch_tm_flowpipe,0.10130152550939936,2,order1_raw_dependency,0.10189882300603215
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0004078002641433702,,True,1,0.10000000000000003,native_low_order,0.0015200340428687396,0,0.012847397942095995,0,7,riccati,0.07,torch_tm_flowpipe,0.10111223377872541,2,order1_raw_dependency,0.10152003404286879
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0008488305375716045,,True,1,0.10000000000000003,native_low_order,0.002503306709642513,0,0.01287443796172738,0,8,riccati,0.08,torch_tm_flowpipe,0.10165447617207096,2,order1_raw_dependency,0.10250330670964257
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0008488305375716045,,True,1,0.10000000000000003,native_low_order,0.002503306709642513,0,0.01287443796172738,0,8,riccati,0.08,torch_tm_flowpipe,0.10165447617207096,2,order1_raw_dependency,0.10250330670964257
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0005990092024069112,,True,1,0.10000000000000003,native_low_order,0.0020038710380644083,0,0.01287443796172738,0,8,riccati,0.08,torch_tm_flowpipe,0.10140486183565754,2,order1_raw_dependency,0.10200387103806445
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0011765865860576196,,True,1,0.10000000000000003,native_low_order,0.003260443427098605,0,0.012874745763838291,0,9,riccati,0.09,torch_tm_flowpipe,0.10208385684104103,2,order1_raw_dependency,0.10326044342709866
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0011765865860576196,,True,1,0.10000000000000003,native_low_order,0.003260443427098605,0,0.012874745763838291,0,9,riccati,0.09,torch_tm_flowpipe,0.10208385684104103,2,order1_raw_dependency,0.10326044342709866
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0008512082301237846,,True,1,0.10000000000000003,native_low_order,0.002609895541470116,0,0.012874745763838291,0,9,riccati,0.09,torch_tm_flowpipe,0.10175868731134638,2,order1_raw_dependency,0.10260989554147017
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.001599843310978119,,True,1,0.10000000000000003,native_low_order,0.004208790323662857,0,0.012840303126722574,0,10,riccati,0.1,torch_tm_flowpipe,0.10260894701268479,2,order1_raw_dependency,0.10420879032366291
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.001599843310978119,,True,1,0.10000000000000003,native_low_order,0.004208790323662857,0,0.012840303126722574,0,10,riccati,0.1,torch_tm_flowpipe,0.10260894701268479,2,order1_raw_dependency,0.10420879032366291
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0011798280127438463,,True,1,0.10000000000000003,native_low_order,0.003368970814855354,0,0.012840303126722574,0,10,riccati,0.1,torch_tm_flowpipe,0.10218914280211155,2,order1_raw_dependency,0.1033689708148554
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0021427494515943515,,True,1,0.10000000000000003,native_low_order,0.005396647139279627,0,0.01283892709761858,0,11,riccati,0.11,torch_tm_flowpipe,0.10325389768768532,2,order1_raw_dependency,0.10539664713927968
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0021427494515943515,,True,1,0.10000000000000003,native_low_order,0.005396647139279627,0,0.01283892709761858,0,11,riccati,0.11,torch_tm_flowpipe,0.10325389768768532,2,order1_raw_dependency,0.10539664713927968
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0016041985337561671,,True,1,0.10000000000000003,native_low_order,0.0043197592213178974,0,0.01283892709761858,0,11,riccati,0.11,torch_tm_flowpipe,0.10271556068756178,2,order1_raw_dependency,0.10431975922131795
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0028355566789918045,,True,1,0.10000000000000003,native_low_order,0.006884520046173488,0,0.012866204138845205,0,12,riccati,0.12,torch_tm_flowpipe,0.10404896336718174,2,order1_raw_dependency,0.10688452004617355
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0028355566789918045,,True,1,0.10000000000000003,native_low_order,0.006884520046173488,0,0.012866204138845205,0,12,riccati,0.12,torch_tm_flowpipe,0.10404896336718174,2,order1_raw_dependency,0.10688452004617355
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0021485353766035253,,True,1,0.10000000000000003,native_low_order,0.005510694933066654,0,0.012866204138845205,0,12,riccati,0.12,torch_tm_flowpipe,0.10336215955646318,2,order1_raw_dependency,0.1055106949330667
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0037161635839986326,,True,1,0.10000000000000003,native_low_order,0.008748209799955838,0,0.01285915495827794,0,13,riccati,0.13,torch_tm_flowpipe,0.10503204621595726,2,order1_raw_dependency,0.10874820979995589
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0037161635839986326,,True,1,0.10000000000000003,native_low_order,0.008748209799955838,0,0.01285915495827794,0,13,riccati,0.13,torch_tm_flowpipe,0.10503204621595726,2,order1_raw_dependency,0.10874820979995589
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0028431760062288115,,True,1,0.10000000000000003,native_low_order,0.0070024566817336095,0,0.01285915495827794,0,13,riccati,0.13,torch_tm_flowpipe,0.10415928067550484,2,order1_raw_dependency,0.10700245668173365
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.004832051215677749,,True,1,0.10000000000000003,native_low_order,0.011082683044400191,0,0.012857329100370407,0,14,riccati,0.14,torch_tm_flowpipe,0.10625063182872249,2,order1_raw_dependency,0.11108268304440023
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.004832051215677749,,True,1,0.10000000000000003,native_low_order,0.011082683044400191,0,0.012857329100370407,0,14,riccati,0.14,torch_tm_flowpipe,0.10625063182872249,2,order1_raw_dependency,0.11108268304440023
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.0037261297211612578,,True,1,0.10000000000000003,native_low_order,0.008871067905758496,0,0.012857329100370407,0,14,riccati,0.14,torch_tm_flowpipe,0.10514493818459729,2,order1_raw_dependency,0.10887106790575855
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.0062427099966183746,,True,1,0.10000000000000003,native_low_order,0.014006926437758863,0,0.012834805063903332,0,15,riccati,0.15,torch_tm_flowpipe,0.10776421644114054,2,order1_raw_dependency,0.11400692643775891
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.0062427099966183746,,True,1,0.10000000000000003,native_low_order,0.014006926437758863,0,0.012834805063903332,0,15,riccati,0.15,torch_tm_flowpipe,0.10776421644114054,2,order1_raw_dependency,0.11400692643775891
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.00484502133418692,,True,1,0.10000000000000003,native_low_order,0.011211784427361097,0,0.012834805063903332,0,15,riccati,0.15,torch_tm_flowpipe,0.10636676309317422,2,order1_raw_dependency,0.11121178442736114
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.008022683592720202,,True,1,0.10000000000000003,native_low_order,0.017670034775905098,0,0.012852443382143974,0,16,riccati,0.16,torch_tm_flowpipe,0.10964735118318494,2,order1_raw_dependency,0.11767003477590515
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.008022683592720202,,True,1,0.10000000000000003,native_low_order,0.017670034775905098,0,0.012852443382143974,0,16,riccati,0.16,torch_tm_flowpipe,0.10964735118318494,2,order1_raw_dependency,0.11767003477590515
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.006259529341264326,,True,1,0.10000000000000003,native_low_order,0.014143971199619711,0,0.012852443382143974,0,16,riccati,0.16,torch_tm_flowpipe,0.10788444185835543,2,order1_raw_dependency,0.11414397119961975
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.01026538787958963,,True,1,0.10000000000000003,native_low_order,0.022258849422212908,0,0.013430068269371986,0,17,riccati,0.17,torch_tm_flowpipe,0.11199346154262332,2,order1_raw_dependency,0.12225884942221295
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.01026538787958963,,True,1,0.10000000000000003,native_low_order,0.022258849422212908,0,0.013430068269371986,0,17,riccati,0.17,torch_tm_flowpipe,0.11199346154262332,2,order1_raw_dependency,0.12225884942221295
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.00804444554482693,,True,1,0.10000000000000003,native_low_order,0.017817222083294827,0,0.013430068269371986,0,17,riccati,0.17,torch_tm_flowpipe,0.10977277653846794,2,order1_raw_dependency,0.11781722208329487
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.013087904422899473,,True,1,0.10000000000000003,native_low_order,0.028007545912008883,0,0.01285697240382433,0,18,riccati,0.18,torch_tm_flowpipe,0.11491964148910946,2,order1_raw_dependency,0.12800754591200894
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.013087904422899473,,True,1,0.10000000000000003,native_low_order,0.028007545912008883,0,0.01285697240382433,0,18,riccati,0.18,torch_tm_flowpipe,0.11491964148910946,2,order1_raw_dependency,0.12800754591200894
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.010293516357853772,,True,1,0.10000000000000003,native_low_order,0.022419043141476913,0,0.01285697240382433,0,18,riccati,0.18,torch_tm_flowpipe,0.11212552678362318,2,order1_raw_dependency,0.12241904314147696
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.016637000355075586,,True,1,0.10000000000000003,native_low_order,0.03520967453909685,0,0.012914897873997688,0,19,riccati,0.19,torch_tm_flowpipe,0.11857267418402131,2,order1_raw_dependency,0.1352096745390969
True,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_raw,-0.016637000355075586,,True,1,0.10000000000000003,native_low_order,0.03520967453909685,0,0.012914897873997688,0,19,riccati,0.19,torch_tm_flowpipe,0.11857267418402131,2,order1_raw_dependency,0.1352096745390969
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,endpoint_tightened_supplemental,-0.013124268360479576,,True,1,0.10000000000000003,native_low_order,0.028184504641220496,0,0.012914897873997688,0,19,riccati,0.19,torch_tm_flowpipe,0.11506023628074097,2,order1_raw_dependency,0.12818450464122055
,complete_total_degree_1,dependency_raw,torch_nextafter_outward,True,0.01,1.0,tube,-0.021096693451197208,,True,1,0.10000000000000003,native_low_order,0.044233291585391514,0,0.012923484202474356,0,20,riccati,0.2,torch_tm_flowpipe,0.12313659813419435,2,order1_raw_dependency,0.14423329158539155
