basis,coefficient,exponent,family,h,retained,state_index,support_scope,system
B1,0.10005,"[0, 0]",constant,0.0025,True,0,raw_endpoint,coupled_quadratic
B1,0.019999999999999997,"[1, 0]",affine_state,0.0025,True,0,raw_endpoint,coupled_quadratic
B1,0.199525,"[0, 0]",constant,0.0025,True,1,raw_endpoint,coupled_quadratic
B1,0.020000000000000004,"[0, 1]",affine_state,0.0025,True,1,raw_endpoint,coupled_quadratic
B1,0.1,"[0, 0, 0]",constant,0.0025,True,0,validated_local_segment,coupled_quadratic
B1,0.020000000000000004,"[0, 0, 1]",time_only,0.0025,True,0,validated_local_segment,coupled_quadratic
B1,0.019999999999999997,"[1, 0, 0]",affine_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B1,0.2,"[0, 0, 0]",constant,0.0025,True,1,validated_local_segment,coupled_quadratic
B1,-0.19,"[0, 0, 1]",time_only,0.0025,True,1,validated_local_segment,coupled_quadratic
B1,0.020000000000000004,"[0, 1, 0]",affine_state,0.0025,True,1,validated_local_segment,coupled_quadratic
B_DR,0.100049953125,"[0, 0]",constant,0.0025,True,0,raw_endpoint,coupled_quadratic
B_DR,5.000000000000001e-06,"[0, 1]",affine_state,0.0025,True,0,raw_endpoint,coupled_quadratic
B_DR,0.020009999999999997,"[1, 0]",affine_state,0.0025,True,0,raw_endpoint,coupled_quadratic
B_DR,0.19952560625000001,"[0, 0]",constant,0.0025,True,1,raw_endpoint,coupled_quadratic
B_DR,0.019950000000000002,"[0, 1]",affine_state,0.0025,True,1,raw_endpoint,coupled_quadratic
B_DR,9.999999999999997e-06,"[1, 0]",affine_state,0.0025,True,1,raw_endpoint,coupled_quadratic
B_DR,0.1,"[0, 0, 0]",constant,0.0025,True,0,validated_local_segment,coupled_quadratic
B_DR,0.020000000000000004,"[0, 0, 1]",time_only,0.0025,True,0,validated_local_segment,coupled_quadratic
B_DR,-0.0075000000000000015,"[0, 0, 2]",time_only,0.0025,True,0,validated_local_segment,coupled_quadratic
B_DR,0.0020000000000000005,"[0, 1, 1]",time_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B_DR,0.019999999999999997,"[1, 0, 0]",affine_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B_DR,0.003999999999999999,"[1, 0, 1]",time_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B_DR,0.2,"[0, 0, 0]",constant,0.0025,True,1,validated_local_segment,coupled_quadratic
B_DR,-0.19,"[0, 0, 1]",time_only,0.0025,True,1,validated_local_segment,coupled_quadratic
B_DR,0.097,"[0, 0, 2]",time_only,0.0025,True,1,validated_local_segment,coupled_quadratic
B_DR,0.020000000000000004,"[0, 1, 0]",affine_state,0.0025,True,1,validated_local_segment,coupled_quadratic
B_DR,-0.020000000000000004,"[0, 1, 1]",time_state,0.0025,True,1,validated_local_segment,coupled_quadratic
B_DR,0.003999999999999999,"[1, 0, 1]",time_state,0.0025,True,1,validated_local_segment,coupled_quadratic
B2,0.100049953125,"[0, 0]",constant,0.0025,True,0,raw_endpoint,coupled_quadratic
B2,5.000000000000001e-06,"[0, 1]",affine_state,0.0025,True,0,raw_endpoint,coupled_quadratic
B2,0.020009999999999997,"[1, 0]",affine_state,0.0025,True,0,raw_endpoint,coupled_quadratic
B2,0.19952560625000001,"[0, 0]",constant,0.0025,True,1,raw_endpoint,coupled_quadratic
B2,0.019950000000000002,"[0, 1]",affine_state,0.0025,True,1,raw_endpoint,coupled_quadratic
B2,9.999999999999997e-06,"[1, 0]",affine_state,0.0025,True,1,raw_endpoint,coupled_quadratic
B2,0.1,"[0, 0, 0]",constant,0.0025,True,0,validated_local_segment,coupled_quadratic
B2,0.020000000000000004,"[0, 0, 1]",time_only,0.0025,True,0,validated_local_segment,coupled_quadratic
B2,-0.0075000000000000015,"[0, 0, 2]",time_only,0.0025,True,0,validated_local_segment,coupled_quadratic
B2,0.0020000000000000005,"[0, 1, 1]",time_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B2,0.019999999999999997,"[1, 0, 0]",affine_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B2,0.003999999999999999,"[1, 0, 1]",time_state,0.0025,True,0,validated_local_segment,coupled_quadratic
B2,0.2,"[0, 0, 0]",constant,0.0025,True,1,validated_local_segment,coupled_quadratic
B2,-0.19,"[0, 0, 1]",time_only,0.0025,True,1,validated_local_segment,coupled_quadratic
B2,0.097,"[0, 0, 2]",time_only,0.0025,True,1,validated_local_segment,coupled_quadratic
B2,0.020000000000000004,"[0, 1, 0]",affine_state,0.0025,True,1,validated_local_segment,coupled_quadratic
