arithmetic_order,basis,discarded_range_width_sum,discarded_term_count,dtype,h,independent_remainder_width,lower,monomial_families,native_validation_passed,picard_iterations,polynomial_width,protocol,range_backend,reset,runtime_s,state_index,system,tool,upper,validation_attempts,validator,variant,width
3,B3,5.770366666666673e-07,7,float64,0.005,7.311675823058614e-07,0.17913205588225242,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 1}",True,2,0.03984200000000021,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.22437268402427435,1,coupled_quadratic,torch_common_engine,0.218974787049835,2,torch_growth_picard_common,B3,0.03984273116758258
3,B1,0.0002571712666666668,10,float64,0.01,0.00016257173774651627,0.08011834588547241,"{""affine_state"": 1, ""constant"": 1}",True,2,0.04000000000000006,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.10780667699873447,0,coupled_quadratic,torch_common_engine,0.12028091762321902,2,torch_growth_picard_common,B1,0.04016257173774661
3,B1,0.0009777801333333339,9,float64,0.01,0.0006238526295924997,0.17779485455420438,"{""affine_state"": 1, ""constant"": 1}",True,2,0.04000000000000015,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.10780667699873447,1,coupled_quadratic,torch_common_engine,0.21841870718379708,2,torch_growth_picard_common,B1,0.0406238526295927
3,B_DR,1.6420240000000012e-05,10,float64,0.01,1.0559237824297646e-05,0.08013397650312545,"{""affine_state"": 2, ""constant"": 1}",True,2,0.0401200000000001,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.18831854220479727,0,coupled_quadratic,torch_common_engine,0.12026453574094988,2,torch_growth_picard_common,B_DR,0.04013055923782442
3,B_DR,1.029629333333334e-05,9,float64,0.01,8.015957833974127e-06,0.17826765985139265,"{""affine_state"": 2, ""constant"": 1}",True,2,0.039680000000000215,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.18831854220479727,1,coupled_quadratic,torch_common_engine,0.2179556758092269,2,torch_growth_picard_common,B_DR,0.03968801595783425
3,B2,1.6420240000000012e-05,10,float64,0.01,1.0559237824297646e-05,0.08013397650312545,"{""affine_state"": 2, ""constant"": 1}",True,2,0.0401200000000001,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.1915469761006534,0,coupled_quadratic,torch_common_engine,0.12026453574094988,2,torch_growth_picard_common,B2,0.04013055923782442
3,B2,1.029629333333334e-05,9,float64,0.01,8.015957833974127e-06,0.17826765985139265,"{""affine_state"": 2, ""constant"": 1}",True,2,0.039680000000000215,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.1915469761006534,1,coupled_quadratic,torch_common_engine,0.2179556758092269,2,torch_growth_picard_common,B2,0.03968801595783425
3,B3,4.1424000000000035e-07,8,float64,0.01,5.277957628251254e-07,0.08013499083188076,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 1}",True,2,0.040128000000000136,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.22461050981655717,0,coupled_quadratic,torch_common_engine,0.12026351862764376,2,torch_growth_picard_common,B3,0.040128527795762994
3,B3,2.3082933333333357e-06,7,float64,0.01,2.9603324792536305e-06,0.1782681975607791,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 1}",True,2,0.039684000000000275,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.22461050981655717,1,coupled_quadratic,torch_common_engine,0.21795515789325867,2,torch_growth_picard_common,B3,0.039686960332479565
3,B1,0.0005166901333333337,10,float64,0.02,0.0003304124624392473,0.0802333382619791,"{""affine_state"": 1, ""constant"": 1}",True,2,0.04000000000000006,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.10747212683781981,0,coupled_quadratic,torch_common_engine,0.12056375072441845,2,torch_growth_picard_common,B1,0.04033041246243935
3,B1,0.001975121066666668,9,float64,0.02,0.0012861852662665314,0.17557983429151489,"{""affine_state"": 1, ""constant"": 1}",True,2,0.04000000000000015,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.10747212683781981,1,coupled_quadratic,torch_common_engine,0.21686601955778162,2,torch_growth_picard_common,B1,0.041286185266266734
3,B_DR,3.3689920000000026e-05,10,float64,0.02,2.2272253071900807e-05,0.0802658912717619,"{""affine_state"": 2, ""constant"": 1}",True,2,0.04024000000000008,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.18897512601688504,0,coupled_quadratic,torch_common_engine,0.1205281635248339,2,torch_growth_picard_common,B_DR,0.04026227225307201
3,B_DR,2.5186346666666685e-05,9,float64,0.02,2.235179233542435e-05,0.1765514307251001,"{""affine_state"": 2, ""constant"": 1}",True,2,0.03936000000000017,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.18897512601688504,1,coupled_quadratic,torch_common_engine,0.21593378251743575,2,torch_growth_picard_common,B_DR,0.03938235179233565
3,B2,3.3689920000000026e-05,10,float64,0.02,2.2272253071900807e-05,0.0802658912717619,"{""affine_state"": 2, ""constant"": 1}",True,2,0.04024000000000008,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.18799894023686647,0,coupled_quadratic,torch_common_engine,0.1205281635248339,2,torch_growth_picard_common,B2,0.04026227225307201
3,B2,2.5186346666666685e-05,9,float64,0.02,2.235179233542435e-05,0.1765514307251001,"{""affine_state"": 2, ""constant"": 1}",True,2,0.03936000000000017,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.18799894023686647,1,coupled_quadratic,torch_common_engine,0.21593378251743575,2,torch_growth_picard_common,B2,0.03938235179233565
3,B3,1.6659200000000012e-06,8,float64,0.02,2.146718442437339e-06,0.08026794850090715,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 1}",True,2,0.0402560000000001,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.2247035731561482,0,coupled_quadratic,torch_common_engine,0.12052609521934972,2,torch_growth_picard_common,B3,0.040258146718442564
3,B3,9.234346666666676e-06,7,float64,0.02,1.2126793074935053e-05,0.17655258239831548,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 1}",True,2,0.039368000000000236,matched_basis_common_engine,torch_float64_nextafter_interval,none_one_step,0.2247035731561482,1,coupled_quadratic,torch_common_engine,0.2159327091913907,2,torch_growth_picard_common,B3,0.03938012679307523
