basis,coefficient,destination,exponent,h,iteration,range_lower,range_upper,range_width,stage,state_index,system
B2,5.333333333333334e-05,fresh_independent_interval_remainder,"[1, 0, 3]",0.0025,2,-8.33333333333334e-13,8.33333333333334e-13,1.6666666666666682e-12,picard,1,coupled_quadratic
B3,-0.0012999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.0025,2,-8.125000000000003e-09,8.125000000000003e-09,1.625000000000001e-08,picard,0,coupled_quadratic
B3,5.999999999999998e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.0025,2,-5e-324,3.7500000000000015e-10,3.750000000000002e-10,picard,0,coupled_quadratic
B3,-0.0006000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.0025,2,-3.750000000000002e-09,3.750000000000002e-09,7.500000000000006e-09,picard,0,coupled_quadratic
B3,-0.00012000000000000002,fresh_independent_interval_remainder,"[1, 1, 2]",0.0025,2,-7.500000000000005e-10,7.500000000000005e-10,1.5000000000000012e-09,picard,0,coupled_quadratic
B3,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.0025,2,-1.9791666666666682e-11,5e-324,1.9791666666666686e-11,picard,0,coupled_quadratic
B3,-0.0002266666666666666,fresh_independent_interval_remainder,"[1, 0, 3]",0.0025,2,-3.5416666666666678e-12,3.5416666666666678e-12,7.083333333333336e-12,picard,0,coupled_quadratic
B3,-0.0002600000000000001,fresh_independent_interval_remainder,"[0, 1, 3]",0.0025,2,-4.0625000000000046e-12,4.0625000000000046e-12,8.12500000000001e-12,picard,0,coupled_quadratic
B3,2.000000000000001e-05,fresh_independent_interval_remainder,"[0, 2, 2]",0.0025,2,-5e-324,1.2500000000000014e-10,1.2500000000000016e-10,picard,0,coupled_quadratic
B3,0.010200000000000002,fresh_independent_interval_remainder,"[0, 1, 2]",0.0025,2,-6.375000000000005e-08,6.375000000000005e-08,1.2750000000000013e-07,picard,1,coupled_quadratic
B3,-0.0011999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.0025,2,-7.500000000000003e-09,7.500000000000003e-09,1.500000000000001e-08,picard,1,coupled_quadratic
B3,8e-05,fresh_independent_interval_remainder,"[1, 1, 2]",0.0025,2,-5.000000000000004e-10,5.000000000000004e-10,1.000000000000001e-09,picard,1,coupled_quadratic
B3,-0.00011999999999999996,fresh_independent_interval_remainder,"[2, 0, 2]",0.0025,2,-7.500000000000003e-10,5e-324,7.500000000000004e-10,picard,1,coupled_quadratic
B3,0.0001333333333333334,fresh_independent_interval_remainder,"[0, 0, 3]",0.0025,2,-5e-324,2.0833333333333354e-12,2.083333333333336e-12,picard,1,coupled_quadratic
B3,2.6666666666666677e-05,fresh_independent_interval_remainder,"[0, 1, 3]",0.0025,2,-4.166666666666671e-13,4.166666666666671e-13,8.333333333333343e-13,picard,1,coupled_quadratic
B3,5.333333333333334e-05,fresh_independent_interval_remainder,"[1, 0, 3]",0.0025,2,-8.33333333333334e-13,8.33333333333334e-13,1.6666666666666682e-12,picard,1,coupled_quadratic
B1,0.0020000000000000005,fresh_independent_interval_remainder,"[0, 1, 1]",0.005,1,-1.0000000000000006e-05,1.0000000000000006e-05,2.0000000000000015e-05,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.005,1,-2.0000000000000005e-05,2.0000000000000005e-05,4.000000000000002e-05,picard,0,coupled_quadratic
