accepted_step,accepted_steps,analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,center_shift_from_initial,compile_time_s,dependency_loss_metric,dependency_loss_semantics,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_center,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,memory_measurement,memory_unavailable_reason,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,reference_oracle,remainder_estimation,remainder_width,requested_step,reset_method,runtime_export_s,runtime_propagation_s,runtime_s,runtime_setup_s,runtime_unavailable_semantics,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
0.01,25,,,,,componentwise_box,0.00447927761693262,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,0.25,0.10447927761693263,tube,,,0.08227018157089679,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.04423798255525406,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.00018020953681770487,0.01,,unavailable,0.05970359966158867,0.05970359966158867,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,25,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,0.12668837366296848,,2,,complete_total_degree_1,0.04441819209207169
0.01,25,,,,,componentwise_box,-0.041220042485902386,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,0.25,0.15877995751409762,tube,,,0.12895340942173286,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.05880581882550942,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.0008472773592202323,0.01,,unavailable,0.05970359966158867,0.05970359966158867,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,25,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,0.1886065056064624,,2,,complete_total_degree_1,0.059653096184729526
0.01,25,,,,,componentwise_box,0.004562542473283582,0.0,0.1881260084758705,box_width_over_same_time_affine_carry_width,torch_nextafter_outward,,,,True,0.01,0.25,0.10456254247328359,endpoint_raw,,,0.08243671128359871,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.04407145284255207,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.00018020953681770487,0.01,,unavailable,0.05970359966158867,0.05970359966158867,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,25,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,0.12668837366296845,,2,,complete_total_degree_1,0.04425166237936974
0.01,25,,,,,componentwise_box,-0.04196313360283305,0.0,0.06868486380981,box_width_over_same_time_affine_carry_width,torch_nextafter_outward,,,,True,0.01,0.25,0.15803686639716696,endpoint_raw,,,0.1289534094217329,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.05731963659164796,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.0008472773592202323,0.01,,unavailable,0.05970359966158867,0.05970359966158867,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,25,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,0.187120323372601,,2,,complete_total_degree_1,0.05816691395086812
0.005,140,,,,,componentwise_box,0.7284973903295078,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.005,0.7000000000000001,1.9784973903295078,tube,,,-5.17802813281802,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,11.282242552496053,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,3.0308084937990065,0.005,,unavailable,0.10348996939137578,0.10348996939137578,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,140,0.7000000000000001,van_der_pol,3,0.7000000000000001,torch_tm_flowpipe,True,9.135022913477036,,4,,complete_total_degree_1,14.313051046295055
0.005,140,,,,,componentwise_box,-2.456177522825948,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.005,0.7000000000000001,-0.05617752282594779,tube,,,-254.9789587145444,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,285.92227336902425,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,223.92328901441272,0.005,,unavailable,0.10348996939137578,0.10348996939137578,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,140,0.7000000000000001,van_der_pol,3,0.7000000000000001,torch_tm_flowpipe,True,254.8666036688925,,4,,complete_total_degree_1,509.8455623834369
0.005,140,,,,,componentwise_box,0.7283347380487455,0.0,unavailable,no same-time affine reference row,torch_nextafter_outward,,,,True,0.005,0.7000000000000001,1.9783347380487455,endpoint_raw,,,-5.17802813281802,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,11.281917247934526,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,3.0308084937990065,0.005,,unavailable,0.10348996939137578,0.10348996939137578,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,140,0.7000000000000001,van_der_pol,2,0.7000000000000001,torch_tm_flowpipe,True,9.134697608915511,,4,,complete_total_degree_1,14.31272574173353
0.005,140,,,,,componentwise_box,-2.4606499437467395,0.0,unavailable,no same-time affine reference row,torch_nextafter_outward,,,,True,0.005,0.7000000000000001,-0.060649943746739154,endpoint_raw,,,-254.97895871454435,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,285.91332852718256,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,223.92328901441272,0.005,,unavailable,0.10348996939137578,0.10348996939137578,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,140,0.7000000000000001,van_der_pol,2,0.7000000000000001,torch_tm_flowpipe,True,254.85765882705087,,4,,complete_total_degree_1,509.8366175415952
0.01,68,,,,,componentwise_box,0.7325612459192954,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,0.68,1.9825612459192954,tube,,,-3.0220391870624295,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,7.45637726073584,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,2.5528236052276125,0.01,,unavailable,0.10299865016713738,0.10299865016713738,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,68,0.68,van_der_pol,3,0.68,torch_tm_flowpipe,True,6.98716167890102,,4,,complete_total_degree_1,10.00920086596345
0.01,68,,,,,componentwise_box,-2.4466835590730955,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,0.68,-0.04668355907309518,tube,,,-115.36427407903508,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,117.05056991578516,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,113.58461112413882,0.01,,unavailable,0.10299865016713738,0.10299865016713738,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,68,0.68,van_der_pol,3,0.68,torch_tm_flowpipe,True,115.2709069608889,,4,,complete_total_degree_1,230.63518103992396
