analytic_reference_contained,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,reset_discarded_term_count,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
True,0.0,400,cpu,float64,4.0,,0.031741205137223005,0.01,,True,396496,4,4.0,400,0,12.789295020513237,0.03172441804781556,4.0,harmonic,torch_tm_flowpipe,order2_affine_reset_selected,10.973092497064886
True,0.0,400,cpu,float64,4.0,,0.031586918979883194,0.01,,True,396496,5,4.0,400,0,12.697556182742119,0.031509178690612316,4.0,harmonic,torch_tm_flowpipe,order2_affine_reset_selected,10.973092497064886
True,0.0,400,cpu,float64,4.0,,0.03171513695269823,0.01,,True,396496,6,4.0,400,0,12.692949054762721,0.03151122620329261,4.0,harmonic,torch_tm_flowpipe,order2_affine_reset_selected,10.973092497064886
True,0.0,400,cpu,float64,4.0,,0.03288677195087075,0.01,,True,396496,7,4.0,400,0,12.700772955082357,0.03154924791306257,4.0,harmonic,torch_tm_flowpipe,order2_affine_reset_selected,10.973092497064886
True,0.0,400,cpu,float64,4.0,,0.03143691178411245,0.01,,True,396496,8,4.0,400,0,12.683251282200217,0.031523721758276224,4.0,harmonic,torch_tm_flowpipe,order2_affine_reset_selected,10.973092497064886
True,0.0,400,cpu,float64,4.0,,0.03159699589014053,0.01,,True,396496,9,4.0,400,0,12.70282638957724,0.03152605006471276,4.0,harmonic,torch_tm_flowpipe,order2_affine_reset_selected,10.973092497064886
True,0.0,400,cpu,float64,4.0,,0.05778349097818136,0.01,,True,396496,0,4.0,400,0,23.092538476921618,0.057375125121325254,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.05809914506971836,0.01,,True,396496,1,4.0,400,0,23.113233031705022,0.057366502936929464,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.05745494598522782,0.01,,True,396496,2,4.0,400,0,23.13433528551832,0.05740223592147231,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.05721962917596102,0.01,,True,396496,3,4.0,400,0,23.11098026437685,0.05736859142780304,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.0572624895721674,0.01,,True,396496,4,4.0,400,0,23.085272087249905,0.05735863000154495,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.057382578030228615,0.01,,True,396496,5,4.0,400,0,23.080650608055294,0.0573701960965991,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.057571756187826395,0.01,,True,396496,6,4.0,400,0,23.07982257893309,0.057356880977749825,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.05726104415953159,0.01,,True,396496,7,4.0,400,0,23.046021435409784,0.05735233332961798,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.057413341011852026,0.01,,True,396496,8,4.0,400,0,23.03280874993652,0.05733372690156102,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
True,0.0,400,cpu,float64,4.0,,0.05741873290389776,0.01,,True,396496,9,4.0,400,0,23.067715995479375,0.05734407715499401,4.0,harmonic,torch_tm_flowpipe,order4_affine_reset_selected,10.494236021719196
,0.0,50,cpu,float64,0.25,,0.12314242077991366,0.005,,True,396496,0,0.25,50,0,6.153108857572079,0.12250093603506684,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12681988812983036,0.005,,True,396496,1,0.25,50,0,6.145760301034898,0.12233917182311416,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
,0.0,50,cpu,float64,0.25,,0.12316471571102738,0.005,,True,396496,2,0.25,50,0,6.139640449080616,0.12223021127283573,0.25,coupled_quadratic,torch_tm_flowpipe,order2_affine_reset_selected,0.043027088479031264
