ablation_family,analytic_reference_violations,basis,build_time_s,candidate_remainder,carry_or_reset,completed_steps,cutoff,endpoint_max_width,execution_time_s,failure_category,failure_message,h,horizon,independent_interval_remainder_width,interval_kind,interval_precision_bits,leaf_cache_patch,monomial_families,native_validation_passed,no_refinement,order,polynomial_max_width,polynomial_range_width,protocol,remainder_max_width,requested_horizon,requested_steps,revalidate_refinement,runtime_s,sensitivity_label,source,state_index,status,stdout_log,structured_symbolic_remainder_width,system,tool,total_width,trace_events,truncation_overflow_width,unattributed_dependency_or_reset_width,variant
,,,,,none_one_step,,,,,,,0.005,0.005,6.25000025025002e-05,tube,,,"{""affine_state"": 1}",True,,,,0.10000000000000006,one_step_common_input,,,,,0.020024452824145555,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10006250000250255,,6.25000025025002e-05,0.0,complete_total_degree_1
,,,,,none_one_step,,,,,,,0.005,0.005,6.25000025025002e-05,endpoint_raw,,,"{""affine_state"": 1}",True,,,,0.10000000000000005,one_step_common_input,,,,,0.020024452824145555,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10006250000250255,,6.25000025025002e-05,5.000882520589389e-18,complete_total_degree_1
,,,,,none_one_step,,,,,,,0.005,0.005,6.250000250250011e-05,tube,,,"{""affine_state"": 1}",True,,,,0.10000000000000006,one_step_common_input,,,,,0.02084941789507866,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10006250000250255,,6.250000250250011e-05,0.0,complete_total_degree_2
,,,,,none_one_step,,,,,,,0.005,0.005,6.250000250250011e-05,endpoint_raw,,,"{""affine_state"": 1}",True,,,,0.10000000000000005,one_step_common_input,,,,,0.02084941789507866,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10006250000250255,,6.250000250250011e-05,5.095750210681871e-18,complete_total_degree_2
,,,,,none_one_step,,,,,,,0.01,0.01,0.0001250000025050004,tube,,,"{""affine_state"": 1}",True,,,,0.10000000000000006,one_step_common_input,,,,,0.016739369835704565,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10012500000250504,,0.0001250000025050004,0.0,complete_total_degree_1
,,,,,none_one_step,,,,,,,0.01,0.01,0.0001250000025050004,endpoint_raw,,,"{""affine_state"": 1}",True,,,,0.10000000000000005,one_step_common_input,,,,,0.016739369835704565,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10012500000250504,,0.0001250000025050004,0.0,complete_total_degree_1
,,,,,none_one_step,,,,,,,0.01,0.01,0.0001250000025050002,tube,,,"{""affine_state"": 1}",True,,,,0.10000000000000006,one_step_common_input,,,,,0.020578468684107065,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10012500000250504,,0.0001250000025050002,0.0,complete_total_degree_2
,,,,,none_one_step,,,,,,,0.01,0.01,0.0001250000025050002,endpoint_raw,,,"{""affine_state"": 1}",True,,,,0.10000000000000005,one_step_common_input,,,,,0.020578468684107065,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10012500000250504,,0.0001250000025050002,0.0,complete_total_degree_2
,,,,,none_one_step,,,,,,,0.02,0.02,0.0002500000025100008,tube,,,"{""affine_state"": 1}",True,,,,0.10000000000000006,one_step_common_input,,,,,0.01689845882356167,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10025000000251004,,0.0002500000025100008,0.0,complete_total_degree_1
,,,,,none_one_step,,,,,,,0.02,0.02,0.0002500000025100008,endpoint_raw,,,"{""affine_state"": 1}",True,,,,0.10000000000000005,one_step_common_input,,,,,0.01689845882356167,,,0,,,0.0,riccati,torch_tm_flowpipe,0.10025000000251004,,0.0002500000025100008,0.0,complete_total_degree_1
