basis,carry_or_preconditioning,compile_or_jit_time_s,evaluation_time,excluded_from_authoritative,h,memory_kib,native_validation_passed,primary_numerical_eligible,requested_horizon,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
complete_total_degree_6,affine_reset,0.0,1.0,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,426.52558925608173,1.0,van_der_pol,torch_tm_flowpipe,True,order6_affine_reset,0.9258443779992358,False
complete_total_degree_2,affine_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,18.430426479317248,1.0,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset,1.9405468677370796,True
complete_total_degree_4,affine_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,73.90071617858484,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset,0.911288076111195,True
complete_total_degree_4,qr_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,85.00013877591118,1.0,van_der_pol,torch_tm_flowpipe,True,order4_qr_reset,0.18655965212103298,True
complete_total_degree_6,affine_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,224.6232805517502,1.0,van_der_pol,torch_tm_flowpipe,True,order6_affine_reset,0.9056873014655205,False
"{1,tau,xi}",,0.6411018241196871,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.0024944613687694073,1.0,riccati,diffreach,True,affine_flag,0.11389871908235942,False
"{1,tau,xi,tau^2,tau*xi}",,0.8643966112285852,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.0017595752142369747,1.0,riccati,diffreach,True,restricted_quasiquadratic,0.11389458226420779,False
"{1,tau,xi,tau^2,tau*xi}",,0.7747066649608314,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.0018178499303758144,1.0,riccati,diffreach,True,quasi_window1_round1,0.18902517795075247,False
"{1,tau,xi,tau^2,tau*xi}",,0.8290162812918425,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.0019456190057098866,1.0,riccati,diffreach,True,quasi_window10_round3,0.1138947791406289,False
"{1,tau,xi}",,0.8761480138637125,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.013156861998140812,4.0,harmonic,diffreach,True,affine_flag,11.141717956096551,False
"{1,tau,xi,tau^2,tau*xi}",,1.4601741060614586,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.015644956845790148,4.0,harmonic,diffreach,True,restricted_quasiquadratic,0.3031861786118206,False
"{1,tau,xi,tau^2,tau*xi}",,1.2205335679464042,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.009970881044864655,4.0,harmonic,diffreach,True,quasi_window1_round1,11.02398764119648,True
"{1,tau,xi,tau^2,tau*xi}",,1.4661039970815182,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.013027286157011986,4.0,harmonic,diffreach,True,quasi_window10_round3,0.34742983960451834,True
"{1,tau,xi}",,1.2938571786507964,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.003431237768381834,0.25,coupled_quadratic,diffreach,True,affine_flag,0.05406249603818836,False
"{1,tau,xi,tau^2,tau*xi}",,3.2720700302161276,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.0041430639103055,0.25,coupled_quadratic,diffreach,True,restricted_quasiquadratic,0.0429775920432517,False
