variant_group,run_id,validation_mode,target_remainder_radius,cutoff_threshold,status,last_validated_t,runtime_s,num_accepted_steps,num_rejected_steps,num_order8_steps,candidate_order,output_order,truncation_range_split,center_corrections_applied,selective_high_degree_terms_top_k,max_selective_retained_terms_count,min_regular_h_used,h_below_flowstar_min_count,final_width_sum,last_width_ratio,tube_width_ratio,notes
adaptive_order_fallback,flowstar_style_o6_target_adaptive_order_8,target_remainder,0.0001,,failed,2.2771582567640953,472.12907700892538,185,114,44,6,6,,,,,0.0020171156691308999,0,24.885887268519369,80.930899048992146,4.9151377009180992,Picard residual not subset of target remainder
adaptive_order_fallback,flowstar_style_o6_target_cutoff_adaptive_order_8,target_remainder,0.0001,1e-10,failed,2.2771582567640953,466.73563062492758,185,114,44,6,6,,,,,0.0020171156691308999,0,24.885887268519369,80.930899048992146,4.9151377009180992,Picard residual not subset of target remainder
candidate_order_output_order,flowstar_style_o6_candidate8_output6,target_remainder,0.0001,,failed,2.4007376673997931,485.91970288474113,95,60,0,8,6,,,,,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder
candidate_order_output_order,flowstar_style_o6_candidate8_output6_cutoff,target_remainder,0.0001,1e-10,failed,2.4007376673997931,465.39711408875883,95,60,0,8,6,,,,,0.0021450425182496136,0,26.10131533002729,68.368230360584391,4.8355287651994052,Picard residual not subset of target remainder
candidate_order_truncation_split,flowstar_style_o6_candidate8_output6_truncsplit2,target_remainder,0.0001,,failed,2.397165587736743,1093.3742557130754,92,58,0,8,6,2,,,,0.0022597978793082348,0,24.973613525525622,65.414395437961886,4.6266107683365485,Picard residual not subset of target remainder
h5_current_best,flowstar_style_o6_target,target_remainder,0.0001,,failed,2.1095541733932355,221.48196132015437,127,80,,6,6,,,,,0.0022645215665453703,0,9.0341200395994434,30.050027407228164,1.9627712588202828,Picard residual not subset of target remainder
h5_current_best,flowstar_style_o6_target_cutoff,target_remainder,0.0001,1e-10,failed,2.1095541733932355,225.00878843106329,127,80,,6,6,,,,,0.0022645215665453703,0,9.0341200395994434,30.050027407228164,1.9627712588202828,Picard residual not subset of target remainder
residual_shift_diagnostic,residual_shift_diagnostic_y,diagnostic_only,0.0001,,diagnostic_only,2.4007376673997931,,,,,,,,,,,,,,,,diagnostic only; not an accepted run
truncation_range_split,flowstar_style_o6_target_truncsplit2,target_remainder,0.0001,,failed,2.1236342027212638,807.8879254385829,127,80,0,6,6,2,,,,0.0022645215665453703,0,9.2854264582726511,30.885943327720746,2.0029842681327326,Picard residual not subset of target remainder
truncation_range_split,flowstar_style_o6_target_truncsplit4,target_remainder,0.0001,,failed,2.1236342027212638,1779.9840350523591,127,80,0,6,6,4,,,,0.0022645215665453703,0,9.2854264582726511,30.885943327720746,2.0029842681327326,Picard residual not subset of target remainder
