left_ref,right_ref,merge_base,left_only_commits,right_only_commits,right_patch_equivalent_to_left,tree_equal
main,origin/codex/batched-dense-nncs-gpu,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,33,0,false
main,origin/codex/first-order-followup-correctness-matched-basis,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,54,0,false
main,origin/codex/first-order-three-way-benchmark,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,45,0,false
main,origin/codex/flowstar-ctrunc-rescue-diagnostics,bf19292a12bee4695bfc4f44a24be4ea0d341848,3,0,0,false
main,origin/codex/flowstar-kernel-alignment,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,2,0,false
main,origin/codex/flowstar-normalized-insertion,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,30,0,false
main,origin/codex/flowstar-raw-remainder-compat,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,40,0,false
main,origin/codex/three-way-common-contract-comparison,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,56,0,false
main,origin/codex/three-way-comparison-correctness-repair,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,64,0,false
main,origin/codex/torch-flowstar-diffreach-deep-study,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,95,0,false
main,origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,0,0,true
main,origin/master,none,27,1,1,false
origin/codex/batched-dense-nncs-gpu,origin/codex/first-order-followup-correctness-matched-basis,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,24,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/first-order-three-way-benchmark,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,3,15,0,false
origin/codex/batched-dense-nncs-gpu,origin/codex/flowstar-ctrunc-rescue-diagnostics,bf19292a12bee4695bfc4f44a24be4ea0d341848,36,0,0,false
