symbol,signature,kind,path_count,occurrences,classification
_first_present,_first_present(row),function,15,experiments/flowstar_acceptance_predicate_audit.py:116;experiments/flowstar_box_lifecycle_alignment_audit.py:123;experiments/flowstar_endpoint_pre_center_source_audit.py:97;experiments/flowstar_internal_intermediate_ranges_audit.py:157;experiments/flowstar_picard_residual_source_audit.py:112;experiments/flowstar_raw_ctrunc_residual_audit.py:114;experiments/flowstar_raw_remainder_compat_experiment.py:101;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:116;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:323;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:156;experiments/flowstar_raw_remainder_partition_audit.py:138;experiments/flowstar_right_map_scaling_diagnostics.py:90;experiments/flowstar_same_source_endpoint_tube_compare.py:119;experiments/flowstar_step_trace_compare.py:652;experiments/flowstar_validation_candidate_decomposition_audit.py:122,manual_review
_float,"_float(row,key)",function,2,experiments/flowstar_width_growth_diagnostics.py:110;experiments/three_way_comparison_repair/collect_results.py:35,manual_review
_float,_float(value),function,7,experiments/first_order_followup/run_torch_followup.py:63;experiments/flowstar_raw_remainder_compat_experiment.py:77;experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:106;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:254;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:146;experiments/flowstar_step_trace_compare.py:469;experiments/flowstar_vdp_width_trajectory_audit.py:605,manual_review
_float,"_float(value,default)",function,3,experiments/first_order_three_way/collect_results.py:44;experiments/three_tool_deep_study/run_pareto.py:27;experiments/three_way_common_contract/collect_results.py:47,manual_review
_flowpipe_tube_box,"_flowpipe_tube_box(result,n_state_vars)",function,2,comparisons/flowstar/compare_against_torch_tm.py:140;experiments/tm_order_audit.py:95,manual_review
_flowstar_expression,"_flowstar_expression(polynomial,state_names)",function,2,experiments/three_tool_deep_study/export_flowstar_segment.py:63;experiments/three_way_comparison_repair/run_flowstar_audit.py:67,manual_review
_fmt,_fmt(value),function,14,experiments/batched_dense_tm_flowpipe_demo.py:254;experiments/flowstar_benchmark_parity.py:161;experiments/flowstar_checkpoint_replay.py:53;experiments/flowstar_insertion_width_attribution.py:28;experiments/flowstar_normalized_insertion_h10_failure.py:95;experiments/flowstar_one_step_oracle.py:86;experiments/flowstar_queue_state_audit.py:121;experiments/flowstar_right_map_scaling_diagnostics.py:56;experiments/flowstar_style_rescue_vanderpol.py:644;experiments/flowstar_symbolic_step_trace.py:56;experiments/flowstar_width_growth_diagnostics.py:84;experiments/three_tool_deep_study/generate_report.py:43;experiments/three_way_comparison_repair/generate_report.py:57;experiments/trajectory_visual_audit.py:231,manual_review
_fmt_interval,"_fmt_interval(row,prefix,dim)",function,5,experiments/flowstar_internal_intermediate_ranges_audit.py:375;experiments/flowstar_picard_residual_source_audit.py:351;experiments/flowstar_raw_ctrunc_residual_audit.py:374;experiments/flowstar_raw_remainder_partition_audit.py:403;experiments/flowstar_validation_candidate_decomposition_audit.py:558,manual_review
_format,_format(value),function,10,experiments/flowstar_acceptance_predicate_audit.py:63;experiments/flowstar_box_lifecycle_alignment_audit.py:101;experiments/flowstar_endpoint_pre_center_source_audit.py:75;experiments/flowstar_internal_intermediate_ranges_audit.py:135;experiments/flowstar_picard_residual_source_audit.py:85;experiments/flowstar_raw_ctrunc_residual_audit.py:92;experiments/flowstar_raw_remainder_compat_experiment.py:65;experiments/flowstar_raw_remainder_partition_audit.py:116;experiments/flowstar_same_source_endpoint_tube_compare.py:97;experiments/flowstar_validation_candidate_decomposition_audit.py:100,manual_review
_h_try,_h_try(row),function,9,experiments/flowstar_box_lifecycle_alignment_audit.py:144;experiments/flowstar_endpoint_pre_center_source_audit.py:120;experiments/flowstar_internal_intermediate_ranges_audit.py:178;experiments/flowstar_picard_residual_source_audit.py:135;experiments/flowstar_raw_ctrunc_residual_audit.py:135;experiments/flowstar_raw_remainder_partition_audit.py:159;experiments/flowstar_same_source_endpoint_tube_compare.py:127;experiments/flowstar_step_trace_compare.py:691;experiments/flowstar_validation_candidate_decomposition_audit.py:143,manual_review
_handler,"_handler(_signum,_frame)",function,3,experiments/flowstar_benchmark_failure_diagnostics.py:132;experiments/flowstar_style_failure_localization.py:172;experiments/flowstar_style_rescue_vanderpol.py:699,manual_review
_has_bounds,"_has_bounds(row,prefix)",function,4,experiments/flowstar_picard_residual_source_audit.py:156;experiments/flowstar_raw_ctrunc_residual_audit.py:157;experiments/flowstar_raw_remainder_partition_audit.py:181;experiments/flowstar_validation_candidate_decomposition_audit.py:164,manual_review
_initial_carry,"_initial_carry(lower,upper)",function,2,experiments/three_way_common_contract/run_diffreach.py:144;experiments/three_way_comparison_repair/run_diffreach_audit.py:123,manual_review
_interval_tuple,_interval_tuple(iv),function,3,experiments/flowstar_benchmark_parity.py:654;experiments/flowstar_style_rescue_vanderpol.py:682;experiments/trajectory_visual_audit.py:256,manual_review
_interval_width_value,_interval_width_value(iv),function,2,experiments/flowstar_style_failure_localization.py:212;src/torch_tm_flowpipe/flowpipe.py:213,manual_review
_is_rejected,_is_rejected(row),function,2,experiments/flowstar_normalized_insertion_h10_failure.py:111;experiments/flowstar_style_failure_localization.py:438,manual_review
_json,_json(path),function,2,experiments/three_tool_deep_study/generate_final_delivery.py:17;experiments/three_tool_deep_study/generate_report.py:26,manual_review
_linspace,"_linspace(lo,hi,n)",function,3,comparisons/flowstar/compare_against_torch_tm.py:200;experiments/flowstar_style_sample_containment.py:62;experiments/trajectory_visual_audit.py:291,manual_review
_load_module,"_load_module(name,path)",function,2,experiments/three_tool_deep_study/flowstar_correctness.py:28;experiments/three_tool_deep_study/run_controlled.py:490,manual_review
_local_box,"_local_box(center,scale)",function,2,experiments/flowstar_picard_residual_source_audit.py:202;experiments/flowstar_validation_candidate_decomposition_audit.py:249,manual_review
_make_breakdown_callback,_make_breakdown_callback(rows),function,2,experiments/flowstar_benchmark_stage2_diagnostics.py:403;experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py:301,manual_review
_markdown_table,"_markdown_table(headers,rows)",function,3,comparisons/flowstar/summarize_comparison.py:200;experiments/batched_tm_gpu_microbench.py:779;experiments/three_tool_deep_study/generate_report.py:54,manual_review
_matching_component,"_matching_component(row,flow,raw_delta)",function,3,experiments/flowstar_internal_intermediate_ranges_audit.py:297;experiments/flowstar_raw_ctrunc_residual_audit.py:286;experiments/flowstar_raw_remainder_partition_audit.py:303,manual_review
_max_field,"_max_field(rows,field)",function,5,experiments/flowstar_benchmark_failure_diagnostics.py:173;experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py:150;experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:167;experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py:377;experiments/flowstar_style_rescue_vanderpol.py:662,manual_review
_min_margin_row,_min_margin_row(rows),function,2,experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py:167;experiments/flowstar_raw_remainder_compat_h10_right_map_centering_handoff.py:149,manual_review
_mode_row,"_mode_row(rows,mode)",function,2,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:147;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:195,manual_review
_mode_segments,"_mode_segments(rows,mode)",function,2,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py:154;experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:189,manual_review
_monomial_label,_monomial_label(exp),function,2,experiments/flowstar_style_failure_localization.py:228;src/torch_tm_flowpipe/flowpipe.py:317,manual_review
_multi_cases,"_multi_cases(spec,smoke)",function,2,experiments/three_tool_deep_study/run_native.py:55;experiments/three_tool_deep_study/run_pareto.py:46,manual_review
_nearest_ratio,"_nearest_ratio(ratio_rows,run_id,t)",function,2,experiments/flowstar_insertion_width_attribution.py:81;experiments/flowstar_right_map_scaling_diagnostics.py:109,manual_review
_number,_number(value),function,6,experiments/first_order_followup/run_flowstar_audit.py:28;experiments/first_order_followup/run_flowstar_followup.py:55;experiments/three_tool_deep_study/audit_results.py:23;experiments/three_tool_deep_study/export_flowstar_segment.py:57;experiments/three_way_common_contract/run_flowstar.py:69;experiments/three_way_comparison_repair/run_flowstar_audit.py:61,manual_review
_parse,_parse(stdout),function,2,experiments/three_tool_deep_study/export_flowstar_segment.py:342;experiments/three_way_common_contract/run_flowstar.py:293,manual_review
_parse_gnuplot_segments,_parse_gnuplot_segments(path),function,3,experiments/flowstar_checkpoint_replay.py:175;experiments/flowstar_one_step_oracle.py:170;experiments/trajectory_visual_audit.py:501,manual_review
_parse_parity_rows,_parse_parity_rows(stdout),function,2,experiments/three_tool_deep_study/flowstar_adaptive_trajectory_audit.py:57;experiments/three_way_comparison_repair/run_flowstar_audit.py:719,manual_review
_power,"_power(value,exponent)",function,4,experiments/three_tool_deep_study/export_diffreach_segment.py:71;experiments/three_tool_deep_study/export_torch_segment.py:33;experiments/three_way_comparison_repair/run_diffreach_audit.py:81;experiments/three_way_comparison_repair/run_torch_audit.py:41,manual_review
_primary_torch,_primary_torch(rows),function,4,experiments/flowstar_internal_intermediate_ranges_audit.py:263;experiments/flowstar_raw_ctrunc_residual_audit.py:242;experiments/flowstar_raw_remainder_partition_audit.py:245;experiments/flowstar_validation_candidate_decomposition_audit.py:403,manual_review
_put_blank_bounds,"_put_blank_bounds(out,prefix)",function,4,experiments/flowstar_internal_intermediate_ranges_audit.py:208;experiments/flowstar_raw_ctrunc_residual_audit.py:165;experiments/flowstar_raw_remainder_partition_audit.py:189;experiments/flowstar_validation_candidate_decomposition_audit.py:184,manual_review
_put_box,"_put_box(row,prefix)",function,5,tests/test_flowstar_internal_intermediate_ranges_audit.py:27;tests/test_flowstar_raw_ctrunc_residual_audit.py:21;tests/test_flowstar_raw_remainder_partition_audit.py:21;tests/test_flowstar_same_source_endpoint_tube_compare.py:17;tests/test_flowstar_validation_candidate_decomposition_audit.py:24,manual_review
_range_box,_range_box(value),function,2,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py:317;experiments/flowstar_step_trace_compare.py:559,manual_review
