path,kind,entrypoint,canonical_status
experiments/three_way_common_contract/generate_report.py,python,__main__,manual_review
experiments/three_way_common_contract/launch_background.sh,shell,script,manual_review
experiments/three_way_common_contract/plot_results.py,python,__main__,manual_review
experiments/three_way_common_contract/run_all.sh,shell,script,manual_review
experiments/three_way_common_contract/run_diffreach.py,python,__main__,manual_review
experiments/three_way_common_contract/run_flowstar.py,python,__main__,manual_review
experiments/three_way_common_contract/run_smoke.sh,shell,script,manual_review
experiments/three_way_common_contract/run_torch.py,python,__main__,manual_review
experiments/three_way_comparison_repair/collect_results.py,python,__main__,manual_review
experiments/three_way_comparison_repair/generate_report.py,python,__main__,manual_review
experiments/three_way_comparison_repair/launch_background.sh,shell,script,manual_review
experiments/three_way_comparison_repair/plot_results.py,python,__main__,manual_review
experiments/three_way_comparison_repair/run_all.sh,shell,script,manual_review
experiments/three_way_comparison_repair/run_corrected_comparison.py,python,__main__,manual_review
experiments/three_way_comparison_repair/run_diffreach_audit.py,python,__main__,manual_review
experiments/three_way_comparison_repair/run_flowstar_audit.py,python,__main__,manual_review
experiments/three_way_comparison_repair/run_smoke.sh,shell,script,manual_review
experiments/three_way_comparison_repair/run_torch_audit.py,python,__main__,manual_review
experiments/tm_order_audit.py,python,__main__,manual_review
experiments/trajectory_visual_audit.py,python,__main__,manual_review
experiments/van_der_pol_sampling.py,python,__main__,manual_review
scripts/check_all.sh,shell,script,manual_review
scripts/check_flowstar_comparison.sh,shell,script,manual_review
scripts/check_runtime.py,python,__main__,manual_review
scripts/generate_flowstar_provenance.py,python,__main__,manual_review
scripts/run_all.sh,shell,script,manual_review
scripts/run_complete_pytest.sh,shell,script,manual_review
scripts/run_vdp_order_flowstar_study.sh,shell,script,manual_review
scripts/setup_dev.sh,shell,script,manual_review
