plant,batch,block,position,mode,seconds,requests,valid_requests,terms,actual_kernel_invocations,peak_allocated_bytes
van_der_pol,8,1,3,GPU_resident,0.033350792,1904,1904,6128,952,1768960
van_der_pol,8,1,4,GPU_full_roundtrip,0.266883579,1904,1904,6128,952,904704
van_der_pol,8,2,0,GPU_full_roundtrip,0.264633727,1904,1904,6128,952,904704
van_der_pol,8,2,1,GPU_resident,0.033352751,1904,1904,6128,952,1768960
van_der_pol,8,2,2,CPU_tensor_compute,0.606392606,1904,1904,6128,0,894464
van_der_pol,8,2,3,B_cpu_full,0.754104509,1904,1904,6128,0,894464
van_der_pol,8,2,4,S_scalar_full,1.216132996,1904,1904,6128,0,894464
van_der_pol,8,3,0,S_scalar_full,1.199514487,1904,1904,6128,0,894464
van_der_pol,8,3,1,B_cpu_full,0.760682167,1904,1904,6128,0,894464
van_der_pol,8,3,2,CPU_tensor_compute,0.611418437,1904,1904,6128,0,894464
van_der_pol,8,3,3,GPU_resident,0.033294875,1904,1904,6128,952,1768960
van_der_pol,8,3,4,GPU_full_roundtrip,0.264205992,1904,1904,6128,952,904704
van_der_pol,8,4,0,GPU_full_roundtrip,0.259518045,1904,1904,6128,952,904704
van_der_pol,8,4,1,GPU_resident,0.032021153,1904,1904,6128,952,1768960
van_der_pol,8,4,2,CPU_tensor_compute,0.61551009,1904,1904,6128,0,894464
van_der_pol,8,4,3,B_cpu_full,0.756978856,1904,1904,6128,0,894464
van_der_pol,8,4,4,S_scalar_full,1.211858168,1904,1904,6128,0,894464
van_der_pol,8,5,0,S_scalar_full,1.205271449,1904,1904,6128,0,894464
van_der_pol,8,5,1,B_cpu_full,0.759995218,1904,1904,6128,0,894464
van_der_pol,8,5,2,CPU_tensor_compute,0.612402617,1904,1904,6128,0,894464
van_der_pol,8,5,3,GPU_resident,0.033867072,1904,1904,6128,952,1768960
van_der_pol,8,5,4,GPU_full_roundtrip,0.268194809,1904,1904,6128,952,904704
van_der_pol,32,1,0,S_scalar_full,4.839153203,7616,7616,24512,0,1115648
van_der_pol,32,1,1,B_cpu_full,2.293001645,7616,7616,24512,0,1115648
van_der_pol,32,1,2,CPU_tensor_compute,1.884199346,7616,7616,24512,0,1115648
van_der_pol,32,1,3,GPU_resident,0.034018358,7616,7616,24512,952,2330112
van_der_pol,32,1,4,GPU_full_roundtrip,0.805715964,7616,7616,24512,952,1134080
van_der_pol,32,2,0,GPU_full_roundtrip,0.53259185,7616,7616,24512,952,1134080
van_der_pol,32,2,1,GPU_resident,0.033056505,7616,7616,24512,952,2330112
van_der_pol,32,2,2,CPU_tensor_compute,1.895766244,7616,7616,24512,0,1115648
van_der_pol,32,2,3,B_cpu_full,2.30820229,7616,7616,24512,0,1115648
van_der_pol,32,2,4,S_scalar_full,4.895131611,7616,7616,24512,0,1115648
van_der_pol,32,3,0,S_scalar_full,4.886562569,7616,7616,24512,0,1115648
van_der_pol,32,3,1,B_cpu_full,2.302104265,7616,7616,24512,0,1115648
van_der_pol,32,3,2,CPU_tensor_compute,1.883193883,7616,7616,24512,0,1115648
van_der_pol,32,3,3,GPU_resident,0.033388505,7616,7616,24512,952,2330112
van_der_pol,32,3,4,GPU_full_roundtrip,0.546163364,7616,7616,24512,952,1134080
van_der_pol,32,4,0,GPU_full_roundtrip,0.531401602,7616,7616,24512,952,1134080
van_der_pol,32,4,1,GPU_resident,0.03336443,7616,7616,24512,952,2330112
van_der_pol,32,4,2,CPU_tensor_compute,1.91670218,7616,7616,24512,0,1115648
van_der_pol,32,4,3,B_cpu_full,2.31749453,7616,7616,24512,0,1115648
van_der_pol,32,4,4,S_scalar_full,4.879528478,7616,7616,24512,0,1115648
van_der_pol,32,5,0,S_scalar_full,4.8664287,7616,7616,24512,0,1115648
van_der_pol,32,5,1,B_cpu_full,2.560909629,7616,7616,24512,0,1115648
van_der_pol,32,5,2,CPU_tensor_compute,1.908269808,7616,7616,24512,0,1115648
van_der_pol,32,5,3,GPU_resident,0.033214903,7616,7616,24512,952,2330112
van_der_pol,32,5,4,GPU_full_roundtrip,0.539979857,7616,7616,24512,952,1134080
brusselator,1,1,0,S_scalar_full,0.209157644,326,326,1162,0,1224704
brusselator,1,1,1,B_cpu_full,0.404815065,326,326,1162,0,1224704
brusselator,1,1,2,CPU_tensor_compute,0.322563984,326,326,1162,0,1224704
brusselator,1,1,3,GPU_resident,0.045318537,326,326,1162,1304,2420736
brusselator,1,1,4,GPU_full_roundtrip,0.249164772,326,326,1162,1304,1232896
brusselator,1,2,0,GPU_full_roundtrip,0.249305303,326,326,1162,1304,1232896
brusselator,1,2,1,GPU_resident,0.044440388,326,326,1162,1304,2420736
brusselator,1,2,2,CPU_tensor_compute,0.321559524,326,326,1162,0,1224704
brusselator,1,2,3,B_cpu_full,0.402333043,326,326,1162,0,1224704
brusselator,1,2,4,S_scalar_full,0.213366589,326,326,1162,0,1224704
brusselator,1,3,0,S_scalar_full,0.209767701,326,326,1162,0,1224704
brusselator,1,3,1,B_cpu_full,0.402476846,326,326,1162,0,1224704
brusselator,1,3,2,CPU_tensor_compute,0.320767976,326,326,1162,0,1224704
brusselator,1,3,3,GPU_resident,0.044818637,326,326,1162,1304,2420736
brusselator,1,3,4,GPU_full_roundtrip,0.245855537,326,326,1162,1304,1232896
brusselator,1,4,0,GPU_full_roundtrip,0.246069351,326,326,1162,1304,1232896
brusselator,1,4,1,GPU_resident,0.043652875,326,326,1162,1304,2420736
brusselator,1,4,2,CPU_tensor_compute,0.321705167,326,326,1162,0,1224704
brusselator,1,4,3,B_cpu_full,0.410243657,326,326,1162,0,1224704
brusselator,1,4,4,S_scalar_full,0.216357567,326,326,1162,0,1224704
brusselator,1,5,0,S_scalar_full,0.209987395,326,326,1162,0,1224704
brusselator,1,5,1,B_cpu_full,0.403458128,326,326,1162,0,1224704
brusselator,1,5,2,CPU_tensor_compute,0.323145945,326,326,1162,0,1224704
brusselator,1,5,3,GPU_resident,0.044909364,326,326,1162,1304,2420736
brusselator,1,5,4,GPU_full_roundtrip,0.249088371,326,326,1162,1304,1232896
brusselator,8,1,0,S_scalar_full,1.701045906,2608,2608,9296,0,1226752
brusselator,8,1,1,B_cpu_full,1.04814875,2608,2608,9296,0,1226752
brusselator,8,1,2,CPU_tensor_compute,1.082695039,2608,2608,9296,0,1226752
brusselator,8,1,3,GPU_resident,0.045348627,2608,2608,9296,1304,2424832
brusselator,8,1,4,GPU_full_roundtrip,0.364257943,2608,2608,9296,1304,1236992
brusselator,8,2,0,GPU_full_roundtrip,0.36763926,2608,2608,9296,1304,1236992
brusselator,8,2,1,GPU_resident,0.045281991,2608,2608,9296,1304,2424832
brusselator,8,2,2,CPU_tensor_compute,0.855756707,2608,2608,9296,0,1226752
brusselator,8,2,3,B_cpu_full,1.04076197,2608,2608,9296,0,1226752
brusselator,8,2,4,S_scalar_full,1.678419605,2608,2608,9296,0,1226752
brusselator,8,3,0,S_scalar_full,1.683789135,2608,2608,9296,0,1226752
brusselator,8,3,1,B_cpu_full,1.043291491,2608,2608,9296,0,1226752
brusselator,8,3,2,CPU_tensor_compute,0.850865775,2608,2608,9296,0,1226752
brusselator,8,3,3,GPU_resident,0.045941616,2608,2608,9296,1304,2424832
brusselator,8,3,4,GPU_full_roundtrip,0.360442224,2608,2608,9296,1304,1236992
brusselator,8,4,0,GPU_full_roundtrip,0.361121366,2608,2608,9296,1304,1236992
brusselator,8,4,1,GPU_resident,0.047942982,2608,2608,9296,1304,2424832
brusselator,8,4,2,CPU_tensor_compute,0.854023205,2608,2608,9296,0,1226752
brusselator,8,4,3,B_cpu_full,1.052214278,2608,2608,9296,0,1226752
brusselator,8,4,4,S_scalar_full,1.680231632,2608,2608,9296,0,1226752
brusselator,8,5,0,S_scalar_full,1.702689277,2608,2608,9296,0,1226752
brusselator,8,5,1,B_cpu_full,1.053316509,2608,2608,9296,0,1226752
brusselator,8,5,2,CPU_tensor_compute,0.858763991,2608,2608,9296,0,1226752
brusselator,8,5,3,GPU_resident,0.0461919,2608,2608,9296,1304,2424832
brusselator,8,5,4,GPU_full_roundtrip,0.362031124,2608,2608,9296,1304,1236992
brusselator,32,1,0,S_scalar_full,6.757347281,10432,10432,37184,0,1617920
brusselator,32,1,1,B_cpu_full,3.213433956,10432,10432,37184,0,1617920
brusselator,32,1,2,CPU_tensor_compute,2.895911578,10432,10432,37184,0,1617920
brusselator,32,1,3,GPU_resident,0.047093036,10432,10432,37184,1304,3350528
brusselator,32,1,4,GPU_full_roundtrip,0.739785818,10432,10432,37184,1304,1637376
brusselator,32,2,0,GPU_full_roundtrip,0.744659873,10432,10432,37184,1304,1637376
brusselator,32,2,1,GPU_resident,0.046156768,10432,10432,37184,1304,3350528
brusselator,32,2,2,CPU_tensor_compute,2.638530249,10432,10432,37184,0,1617920
brusselator,32,2,3,B_cpu_full,3.202794764,10432,10432,37184,0,1617920
brusselator,32,2,4,S_scalar_full,7.027360025,10432,10432,37184,0,1617920
brusselator,32,3,0,S_scalar_full,6.754000351,10432,10432,37184,0,1617920
brusselator,32,3,1,B_cpu_full,3.200057402,10432,10432,37184,0,1617920
brusselator,32,3,2,CPU_tensor_compute,2.644766496,10432,10432,37184,0,1617920
brusselator,32,3,3,GPU_resident,0.045433024,10432,10432,37184,1304,3350528
brusselator,32,3,4,GPU_full_roundtrip,0.741118167,10432,10432,37184,1304,1637376
brusselator,32,4,0,GPU_full_roundtrip,0.737388019,10432,10432,37184,1304,1637376
brusselator,32,4,1,GPU_resident,0.04508082,10432,10432,37184,1304,3350528
brusselator,32,4,2,CPU_tensor_compute,2.654151704,10432,10432,37184,0,1617920
brusselator,32,4,3,B_cpu_full,3.19932888,10432,10432,37184,0,1617920
brusselator,32,4,4,S_scalar_full,6.771504967,10432,10432,37184,0,1617920
brusselator,32,5,0,S_scalar_full,6.768963263,10432,10432,37184,0,1617920
brusselator,32,5,1,B_cpu_full,3.207209496,10432,10432,37184,0,1617920
brusselator,32,5,2,CPU_tensor_compute,2.631950301,10432,10432,37184,0,1617920
brusselator,32,5,3,GPU_resident,0.045067449,10432,10432,37184,1304,3350528
brusselator,32,5,4,GPU_full_roundtrip,0.738508101,10432,10432,37184,1304,1637376
