run_id,segment_index,t_lo,t_hi,h,endpoint_box_width_sum,inserted_endpoint_width_sum,reset_width_sum,normalized_reset_width_sum,insertion_truncation_width,insertion_cutoff_width,composed_poly_range_width,output_remainder_width,scale_x,scale_y,center_x,center_y,tmv_right_degree,tmv_pre_degree,tmv_right_term_count,tmv_pre_term_count,terms_before_insertion_truncation,terms_after_insertion
flowstar_style_o6_candidate8_output6_cutoff_insert,0,0,0.050000000000000003,0.050000000000000003,0.50640462733673564,0.50640462733671499,0.50850464706240395,0.50850464706240406,9.8813129168249309e-324,9.8813129168249309e-324,0.50629477746504259,0.00010984987167231932,0.15123218572009586,0.10302013781110422,1.3664396440093696,2.2515867960098861,5,6,28,68,28,28
flowstar_style_o6_candidate8_output6_cutoff_insert,1,0.050000000000000003,0.125,0.075000000000000011,0.66030439203045888,0.63291264457895524,0.63552808491340707,0.63552808491340718,2.6616468844048692e-10,2.5357808592438671e-10,0.63260780689382379,0.00030483768513131325,0.14832263167489468,0.16944141078180722,1.5251215209970321,1.9696800196483615,6,6,36,68,458,36
flowstar_style_o6_candidate8_output6_cutoff_insert,2,0.125,0.17499999999999999,0.050000000000000003,0.72980867500100743,0.68680443548869696,0.68803573321738964,0.68803573321738976,5.5715525616350318e-10,3.2941090027185568e-10,0.68636816345889662,0.00043627202980022796,0.14345122843125169,0.20056663817744186,1.6182807754577426,1.7540157431080914,6,6,39,68,653,39
flowstar_style_o6_candidate8_output6_cutoff_insert,3,0.17499999999999999,0.25,0.075000000000000011,0.79463683886636571,0.72381346236241861,0.72693677821693292,0.72693677821693303,2.1964660753074344e-09,1.1390222100484578e-10,0.72316629504203633,0.000647167320382257,0.13262905504006112,0.23083933406840415,1.7370780706881856,1.4123191191670095,6,6,42,68,684,42
flowstar_style_o6_candidate8_output6_cutoff_insert,4,0.25,0.29999999999999999,0.050000000000000003,0.77876317573904252,0.71953311238779072,0.7252468800114269,0.72524688001142701,2.6759804263053099e-09,2.4406738064668621e-10,0.71875983689245049,0.00077327549534012951,0.12376576334778731,0.23885767665792493,1.8019961830230378,1.1854146841879258,6,6,43,68,748,43
flowstar_style_o6_candidate8_output6_cutoff_insert,5,0.29999999999999999,0.375,0.075000000000000011,0.76644440391757629,0.67841307335242662,0.68819460134561172,0.68819460134561183,4.7610472687651437e-09,2.9986030346067804e-10,0.67745741421012207,0.00095565914230444934,0.11031163494170103,0.23378566573110371,1.8786675842979887,0.86420058979765491,6,6,44,68,764,44
flowstar_style_o6_candidate8_output6_cutoff_insert,6,0.375,0.42499999999999999,0.050000000000000003,0.69971765217802295,0.63468516067736813,0.64663255565580224,0.64663255565580235,3.6503985752180325e-09,1.8937064105513122e-10,0.63363127935304875,0.001053881324319285,0.10146506071538663,0.22185121711251329,1.9169405202956342,0.66969200947823015,6,6,45,68,790,45
flowstar_style_o6_candidate8_output6_cutoff_insert,7,0.42499999999999999,0.5,0.075000000000000011,0.64263203673890035,0.55677894797120109,0.57085559165538202,0.57085559165538213,7.0074473937788729e-09,9.3116373255691884e-11,0.55559703525835724,0.0011819127128437424,0.088980732835222967,0.19644706299246692,1.9572781527179373,0.41325812424557495,6,6,46,68,794,46
flowstar_style_o6_candidate8_output6_cutoff_insert,8,0.5,0.59999999999999998,0.10000000000000001,0.54436573029114776,0.45153313915332238,0.46667075373808342,0.46667075373808353,8.4210045336563657e-09,1.7180727481546364e-10,0.45021463930151184,0.0013184998518104773,0.074556249100578009,0.15877912776846259,1.9842359615959364,0.13820854530983306,6,6,47,68,848,47
flowstar_style_o6_candidate8_output6_cutoff_insert,9,0.59999999999999998,0.69999999999999996,0.10000000000000001,0.43298138929241592,0.35992484930365387,0.37489971557624013,0.37489971557624019,5.5069468521003163e-09,1.4558988749621963e-10,0.35853491207206128,0.0013899372315925342,0.062986853274156693,0.12446300451396247,1.9871802783687216,-0.069200120434031218,6,6,48,68,864,48
