lane,segment,physical_time,finite_ok_leaves,initial_subset_ok_leaves,all_remainder_rounds_ok_leaves,local_property_ok_leaves,composed_property_ok_leaves,overall_accepted_leaves,minimum_property_margin
L1_tight_endpoint_box_controller,20,2.0,48,48,48,48,48,48,0.5603123462204227
L1_tight_endpoint_box_controller,21,2.1,48,48,48,48,48,48,0.14053842566693353
L1_tight_endpoint_box_controller,22,2.2,48,48,48,0,0,0,-0.30611781615086153
L1_tight_endpoint_box_controller,23,2.3000000000000003,48,48,48,0,0,0,-0.7808339667519313
L1_tight_endpoint_box_controller,24,2.4000000000000004,48,48,48,0,0,0,-1.2555501173540775
L1_tight_endpoint_box_controller,25,2.5,48,2,1,0,0,0,-1.7302662679573007
L1_tight_endpoint_box_controller,31,3.1,48,0,0,0,0,0,-2.837877956219292
L1_tight_endpoint_box_controller,41,4.1000000000000005,48,0,0,0,0,0,-2.8310680559918966
L2_physical_endpoint_projection,1,0.1,48,48,48,48,48,48,1.2260066619192058
L2_physical_endpoint_projection,2,0.2,48,48,48,48,48,48,1.1635899014823696
L2_physical_endpoint_projection,3,0.30000000000000004,48,48,48,48,48,48,1.1100159168960415
L2_physical_endpoint_projection,4,0.4,48,48,48,48,48,48,1.0658521869656883
L2_physical_endpoint_projection,5,0.5,48,48,48,48,48,48,1.031562521848663
L2_physical_endpoint_projection,6,0.6000000000000001,48,48,48,48,48,48,1.0075048553894201
L2_physical_endpoint_projection,7,0.7000000000000001,48,48,48,48,48,48,0.9939375669659132
L2_physical_endpoint_projection,8,0.8,48,48,48,48,48,48,0.99101837455707
L2_physical_endpoint_projection,9,0.9,48,48,48,48,48,48,0.9958687089892451
L2_physical_endpoint_projection,10,1.0,48,48,48,48,48,48,1.0037980029180722
L2_physical_endpoint_projection,11,1.1,48,48,48,48,48,48,1.0221554426955488
L2_physical_endpoint_projection,12,1.2000000000000002,48,48,48,48,48,48,1.0508977508849782
L2_physical_endpoint_projection,13,1.3,48,48,48,48,48,48,1.0895573827162872
L2_physical_endpoint_projection,14,1.4000000000000001,48,48,48,48,48,48,1.1375936303817509
L2_physical_endpoint_projection,15,1.5,48,48,48,48,48,48,1.1945015542103494
L2_physical_endpoint_projection,16,1.6,48,48,48,48,48,48,1.2593164363646476
L2_physical_endpoint_projection,17,1.7000000000000002,48,48,48,48,48,48,1.203857766062515
L2_physical_endpoint_projection,18,1.8,48,48,48,48,48,48,1.1488812506039263
L2_physical_endpoint_projection,19,1.9000000000000001,48,48,48,48,48,48,1.1026850635432561
L2_physical_endpoint_projection,20,2.0,48,48,48,48,48,48,1.065695935181489
L2_physical_endpoint_projection,21,2.1,48,48,48,48,48,48,1.038236849218268
L2_physical_endpoint_projection,22,2.2,48,48,48,48,48,48,1.0205231627023268
L2_physical_endpoint_projection,23,2.3000000000000003,48,48,48,48,48,48,1.0126270305375196
L2_physical_endpoint_projection,24,2.4000000000000004,48,48,48,48,48,48,1.0143059341157827
L2_physical_endpoint_projection,25,2.5,48,48,48,48,48,48,1.017849887418959
L2_physical_endpoint_projection,26,2.6,48,48,48,48,48,48,0.9449542339365771
L2_physical_endpoint_projection,27,2.7,48,48,48,48,48,48,0.845596970691894
L2_physical_endpoint_projection,28,2.8000000000000003,48,48,48,48,48,48,0.7272684048852796
L2_physical_endpoint_projection,29,2.9000000000000004,48,48,48,48,48,48,0.6077375876249997
L2_physical_endpoint_projection,30,3.0,48,48,48,48,48,48,0.4881265291485286
L2_physical_endpoint_projection,31,3.1,48,48,48,48,48,48,0.44007029877597126
L2_physical_endpoint_projection,32,3.2,48,48,48,48,48,48,0.5387282450525475
L2_physical_endpoint_projection,33,3.3000000000000003,48,48,48,48,48,48,0.6373861913287615
L2_physical_endpoint_projection,34,3.4000000000000004,48,48,48,48,48,48,0.7353087553377531
L2_physical_endpoint_projection,35,3.5,48,48,48,48,48,48,0.6635215758568409
L2_physical_endpoint_projection,36,3.6,48,48,48,48,48,48,0.566446011918921
L2_physical_endpoint_projection,37,3.7,48,48,48,48,48,48,0.47923624260843867
L2_physical_endpoint_projection,38,3.8000000000000003,48,48,48,48,48,48,0.4018922679253556
L2_physical_endpoint_projection,39,3.9000000000000004,48,48,48,48,48,48,0.3344140878696329
L2_physical_endpoint_projection,40,4.0,48,48,48,48,48,48,0.2768017024412315
L2_physical_endpoint_projection,41,4.1000000000000005,48,48,48,48,48,48,0.2117724720352503
L2_physical_endpoint_projection,42,4.2,48,48,48,48,48,48,0.1327288699823923
L2_physical_endpoint_projection,43,4.3,48,48,48,48,48,48,0.042096051426908865
L2_physical_endpoint_projection,44,4.4,48,48,48,46,46,46,-0.059215127103323884
L2_physical_endpoint_projection,45,4.5,48,48,48,36,36,36,-0.28812077337469955
L2_physical_endpoint_projection,46,4.6000000000000005,48,48,48,6,6,6,-0.6036777065223644
L2_physical_endpoint_projection,47,4.7,48,47,47,1,1,1,-0.9192346396707811
L3_horner_registered_best,1,0.1,48,48,48,48,48,48,1.2260722415259837
L3_horner_registered_best,2,0.2,48,48,48,48,48,48,1.1636502226799457
L3_horner_registered_best,3,0.30000000000000004,48,48,48,48,48,48,1.1100805808455072
L3_horner_registered_best,4,0.4,48,48,48,48,48,48,1.0659218049884547
L3_horner_registered_best,5,0.5,48,48,48,48,48,48,1.0316373720647334
L3_horner_registered_best,6,0.6000000000000001,48,48,48,48,48,48,1.0075907127544355
L3_horner_registered_best,7,0.7000000000000001,48,48,48,48,48,48,0.9940411707768362
L3_horner_registered_best,8,0.8,48,48,48,48,48,48,0.9911396182648411
L3_horner_registered_best,9,0.9,48,48,48,48,48,48,0.9973105998516405
L3_horner_registered_best,10,1.0,48,48,48,48,48,48,1.0051728562813291
L3_horner_registered_best,11,1.1,48,48,48,48,48,48,1.0235598759149536
L3_horner_registered_best,12,1.2000000000000002,48,48,48,48,48,48,1.0522927265396391
L3_horner_registered_best,13,1.3,48,48,48,48,48,48,1.0909811827563325
L3_horner_registered_best,14,1.4000000000000001,48,48,48,48,48,48,1.1391214245569006
L3_horner_registered_best,15,1.5,48,48,48,48,48,48,1.1961182787426405
L3_horner_registered_best,16,1.6,48,48,48,48,48,48,1.2609998695426619
L3_horner_registered_best,17,1.7000000000000002,48,48,48,48,48,48,1.2041946022405514
L3_horner_registered_best,18,1.8,48,48,48,48,48,48,1.149280811702888
L3_horner_registered_best,19,1.9000000000000001,48,48,48,48,48,48,1.103156331867272
L3_horner_registered_best,20,2.0,48,48,48,48,48,48,1.0662495460803938
L3_horner_registered_best,21,2.1,48,48,48,48,48,48,1.038885366257328
L3_horner_registered_best,22,2.2,48,48,48,48,48,48,1.021281517063378
L3_horner_registered_best,23,2.3000000000000003,48,48,48,48,48,48,1.0135128578609534
L3_horner_registered_best,24,2.4000000000000004,48,48,48,48,48,48,1.0153479759858586
L3_horner_registered_best,25,2.5,48,48,48,48,48,48,1.0203097461002284
L3_horner_registered_best,26,2.6,48,48,48,48,48,48,0.9460223863642383
L3_horner_registered_best,27,2.7,48,48,48,48,48,48,0.8467158471545315
L3_horner_registered_best,28,2.8000000000000003,48,48,48,48,48,48,0.7277930429646842
L3_horner_registered_best,29,2.9000000000000004,48,48,48,48,48,48,0.6082976890510721
L3_horner_registered_best,30,3.0,48,48,48,48,48,48,0.4887328715294983
L3_horner_registered_best,31,3.1,48,48,48,48,48,48,0.4489803671713888
L3_horner_registered_best,32,3.2,48,48,48,48,48,48,0.5484358010117623
L3_horner_registered_best,33,3.3000000000000003,48,48,48,48,48,48,0.647891234851856
L3_horner_registered_best,34,3.4000000000000004,48,48,48,48,48,48,0.7466243664419479
L3_horner_registered_best,35,3.5,48,48,48,48,48,48,0.6657564508928273
L3_horner_registered_best,36,3.6,48,48,48,48,48,48,0.5692551446780543
