lane,controller_period,prior_segment,direct_endpoint_max_width,current_projection_max_width,physical_projection_max_width,controller_input_max_width,controller_output_before_max_width,controller_output_after_max_width
L0_baseline_native,1,0,,,,0.10000000000000042,0.3112368439922122,0.31123684399222284
L0_baseline_native,2,10,0.3112368440355926,0.3112368440375164,0.3112368440370439,0.21123684405699422,0.39432699083621436,0.394326990836225
L0_baseline_native,3,20,0.39432699088020584,0.3943269908823499,0.3943269908817211,0.3099063708916609,0.6286881048139694,0.6286881048139819
L0_baseline_native,4,30,0.6286881048603643,0.6286881048624515,0.6286881048618689,0.5677828424833744,0.9458851532971266,0.9458851532971408
L0_baseline_native,5,40,1.236639933150233,1.2366399331541036,1.2366399331522282,1.2366399331541036,4.082912328254711,4.0829123282547215
L1_tight_endpoint_box_controller,1,0,,,,0.10000000000000042,0.31123684399221574,0.3112368439922264
L1_tight_endpoint_box_controller,2,10,0.41123684405459576,0.411236844058433,0.41123684405655275,0.411236844058433,1.5988243080331195,1.5988243080331337
L1_tight_endpoint_box_controller,3,20,2.0078419826827965,2.007841982686519,2.007841982684723,2.007841982686519,8.748850385923909,8.74885038592392
L1_tight_endpoint_box_controller,4,30,,,,5.5073821370993485,31.64655677715149,31.64655677715151
L1_tight_endpoint_box_controller,5,40,,,,5.507382137106854,31.51035877252866,31.510358772528676
L2_physical_endpoint_projection,1,0,,,,0.10000000000000042,0.3112368439922122,0.31123684399222284
L2_physical_endpoint_projection,2,10,0.31123684404936647,0.31123684405129026,0.3112368440508213,0.2112368440648384,0.3945568243319304,0.39455682433194106
L2_physical_endpoint_projection,3,20,0.39455682438826045,0.3945568243904045,0.3945568243897757,0.3101785325490176,0.629839509403352,0.6298395094033626
L2_physical_endpoint_projection,4,30,0.6298395094625029,0.6298395094645901,0.6298395094640075,0.5692074807304411,0.9611246073797926,0.9611246073798032
L2_physical_endpoint_projection,5,40,1.2532336773423873,1.2532336773462567,1.2532336773443824,1.2532336773463826,4.270926962213602,4.270926962213613
L3_horner_registered_best,1,0,,,,0.10000000000000042,0.3112368439922122,0.31123684399222284
L3_horner_registered_best,2,10,0.31123684403506147,0.3112368440375164,0.3112368440370439,0.21123684405699422,0.39432699083621436,0.394326990836225
L3_horner_registered_best,3,20,0.39432699087973155,0.3943269908823499,0.3943269908817211,0.3099063708916593,0.6286881048139659,0.6286881048139783
L3_horner_registered_best,4,30,0.6286881048598794,0.628688104862448,0.6286881048618653,0.5677828424833695,0.9458851532971213,0.9458851532971337
L3_horner_registered_best,5,40,1.2366399331502163,1.236639933154092,1.2366399331522167,1.236639933154092,4.08291232825467,4.082912328254681
L4_k3_picard,1,0,,,,0.10000000000000042,0.3112368439922122,0.31123684399222284
L4_k3_picard,2,10,0.3112368440355926,0.3112368440375164,0.3112368440370439,0.21123684405699422,0.3912920679874503,0.39129206798746274
L4_k3_picard,3,20,0.3912920680314116,0.39129206803355565,0.3912920680329268,0.305975666717997,0.616671886615471,0.6166718866154817
L4_k3_picard,4,30,0.6166718866617433,0.6166718866638305,0.6166718866632479,0.5516041792523424,0.8762147198677024,0.876214719867713
L4_k3_picard,5,40,1.1714740347341253,1.1714740347378068,1.1714740347360655,1.1714740347378068,3.5914085265625584,3.591408526562569
