pass_kind,category,plant,step,history_length,seconds,step_seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events
wall,A,van_der_pol,100,99,0.024214051198214293,0.5812636129558086,112,5,0,0
wall,B,van_der_pol,100,99,0.0008603879250586033,0.5812636129558086,3,0,0,0
wall,C,van_der_pol,100,99,0.011095836292952299,0.5812636129558086,7,14,0,0
wall,D,van_der_pol,100,99,0.14826988615095615,0.5812636129558086,113,1132,0,0
wall,E,van_der_pol,100,99,0.048724761232733727,0.5812636129558086,75,796,0,0
wall,F,van_der_pol,100,99,0.0016405507922172546,0.5812636129558086,5,4,0,0
wall,G,van_der_pol,100,99,0.03568221163004637,0.5812636129558086,25,418,0,0
wall,H,van_der_pol,100,99,0.0036641438491642475,0.5812636129558086,1,34,0,0
wall,outside_boundary,van_der_pol,100,99,0.3071117838844657,0.5812636129558086,0,39,0,0
counts,A,van_der_pol,100,99,0.10605796985328197,2.435837761964649,112,5,6690,858
counts,B,van_der_pol,100,99,0.0020110751502215862,2.435837761964649,3,0,148,0
counts,C,van_der_pol,100,99,0.04787934198975563,2.435837761964649,7,14,3329,62
counts,D,van_der_pol,100,99,0.6952994759194553,2.435837761964649,113,1132,46732,4740
counts,E,van_der_pol,100,99,0.25483283726498485,2.435837761964649,75,796,18222,3366
counts,F,van_der_pol,100,99,0.008867565542459488,2.435837761964649,5,4,592,20
counts,G,van_der_pol,100,99,0.20583426067605615,2.435837761964649,25,418,15963,1673
counts,H,van_der_pol,100,99,0.016472058836370707,2.435837761964649,1,34,1064,136
counts,outside_boundary,van_der_pol,100,99,1.0985831767320633,2.435837761964649,0,39,69658,5370
