time,both_completed,flowstar_endpoint_x_width,flowstar_endpoint_y_width,torch_endpoint_x_width,torch_endpoint_y_width,flowstar_segment_tube_x_width,flowstar_segment_tube_y_width,torch_segment_tube_x_width,torch_segment_tube_y_width,flowstar_prefix_tube_x_width,flowstar_prefix_tube_y_width,torch_prefix_tube_x_width,torch_prefix_tube_y_width,flowstar_margin_x,flowstar_margin_y,torch_margin_x,torch_margin_y,flowstar_cumulative_runtime_s,torch_cumulative_runtime_s,qualification,runtime_to_common_prefix_scope
0.01,True,0.301112793636261,0.12263376681992,0.30089849698777327,0.1213342911693931,0.32524536254432035,0.1494059114443438,0.32524722193229505,0.1494274734969525,0.32524536254432035,0.1494059114443438,0.32524722193229505,0.1494274734969525,9.856609203781738e-05,8.262412285399594e-05,9.8999997e-05,8.110169058223875e-05,0.004379629,0.21359742898494005,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.02,True,0.3022230343733723,0.14404234872375543,0.3020166427157278,0.1432519877636227,0.3260955232325162,0.1723166248640715,0.3261092620483743,0.17327419913897124,0.34939653537541515,0.18860486266935483,0.34940813143204386,0.18886083551014465,9.85261726573104e-05,8.19745567473216e-05,9.8999997e-05,8.047873278435237e-05,0.009103499000000001,0.47842778638005257,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.03,True,0.30311884306795456,0.16522189738725235,0.30292982399813373,0.16486581501221842,0.3267160623411043,0.19496059348020145,0.32675113856936977,0.19686236390329803,0.3731495038463213,0.22912527721672715,0.3731764036038032,0.22964607770785195,9.848802332691345e-05,8.129232666436814e-05,9.8999997e-05,7.986451942850653e-05,0.013814360000000001,0.8174384888261557,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.04,True,0.30379381402811156,0.18606115297876302,0.30363580212942076,0.18610413770933665,0.32710092722495854,0.21722185841426134,0.32717083938323444,0.22008102365398985,0.3964880017857211,0.270868165513273,0.3965364117383332,0.2716877327814826,9.845200725149981e-05,8.060770573151685e-05,9.8999997e-05,7.926185990781473e-05,0.018588095000000002,1.1801146483048797,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.05,True,0.30424759468779006,0.2065084132170143,0.304132919375959,0.2068971105447317,0.32725016612628455,0.23904420226201628,0.3273670892245899,0.24285320716529624,0.4193978758086656,0.3137600403659251,0.4194733207471819,0.31490272777960016,9.841840841409977e-05,7.993471882263215e-05,9.8999997e-05,7.867639381040802e-05,0.023346984,1.5280657121911645,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.06,True,0.3044958154392772,0.22649398053541292,0.30442011544086767,0.22717723483451246,0.3271798563428179,0.2603536300982374,0.32733925640374273,0.2651040557352231,0.44186555101874414,0.3577131364156152,0.4419730855089101,0.35920465403636515,9.838740507753817e-05,7.927660124981706e-05,9.8999997e-05,7.811265959433293e-05,0.028057425,1.8918485334143043,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.07,True,0.30452656309051673,0.24595159477371897,0.3044969404597606,0.24687988941502148,0.32687857567449075,0.281079834037393,0.3270873639791583,0.2867614170039743,0.46387839392869723,0.40263914554963876,0.4640224992691131,0.4045042968676218,9.835932745279848e-05,7.864127819364151e-05,9.8999997e-05,7.757513196634854e-05,0.032783104,2.3092861054465175,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.08,True,0.30434058237284645,0.26482110422609706,0.3043635637275446,0.2659438309953819,0.32634760159165643,0.301158893755062,0.3266120963367738,0.30775641219699823,0.4854246820013306,0.4484488664918218,0.4856092372593712,0.45071018247628114,9.83343927954701e-05,7.803462376187923e-05,9.8999997e-05,7.706801034654078e-05,0.037770005,2.6775164622813463,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.09,True,0.30393928127802616,0.2830458750595146,0.30402077810370187,0.28431165505267386,0.3255889139256154,0.3205307125977699,0.32591480114227633,0.3280239668632339,0.5064936332170327,0.4950516639212488,0.5067218952253945,0.4977291345315069,9.83127814989316e-05,7.74584663817522e-05,9.8999997e-05,7.659584134741017e-05,0.042762987,3.057629292830825,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.1,True,0.3033247020932788,0.3005690922824702,0.3034700000284669,0.30193021831725253,0.3246051629761031,0.33913534212079277,0.3249974866214651,0.3475033050938747,0.5270754220210934,0.5423539435119911,0.5273500225767169,0.5454668374832639,9.829463466011909e-05,7.691758606513636e-05,9.8999997e-05,7.616266673416577e-05,0.047583165000000004,3.4382127821445465,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.11,True,0.3025331304219534,0.31742534089053986,0.30271326510644725,0.31875101754706003,0.3234332753529239,0.3570045833926476,0.32386281415100937,0.3661384006837025,0.5471780109275766,0.5903052851174848,0.5474841499148593,0.5938284033070795,9.827990603369876e-05,7.641649448552755e-05,9.8999997e-05,7.57712317304543e-05,0.052499377,3.83203518204391,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.12,True,0.30153823432200766,0.333531007351612,0.3017532192314514,0.33473065148168346,0.3220475897166426,0.3740524049995415,0.322514086162047,0.38387851081210167,0.5667787436566947,0.6387939985041606,0.5671158107407499,0.6427189860777895,9.82687789487863e-05,7.596267049127e-05,9.8999997e-05,7.533966413167911e-05,0.057497953,4.219469458796084,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.13,True,0.3003435946975985,0.3488002245656574,0.3005931068846952,0.3498307656338686,0.32045238358893435,0.390190900717168,0.3209552310419639,0.40067819501409185,0.585870630318335,0.687705457734697,0.5862375580197403,0.692044168201823,9.826127140857945e-05,7.555989282793104e-05,9.8999997e-05,7.493986877029435e-05,0.06242689,4.589694248512387,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.14,True,0.2989535885211616,0.363197527617908,0.2992367521303301,0.36401835252339354,0.3186527528472567,0.4053829540658993,0.31919078051384275,0.41650038887909635,0.6044478052931161,0.7369488006008427,0.6048429732173566,0.7417118793730151,9.824381176318249e-05,7.518320121956186e-05,9.8999997e-05,7.459338721151488e-05,0.067371164,4.960953541100025,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.15,True,0.29737313492189266,0.3766928844374542,0.2976885515622061,0.3772674077379865,0.3166543539784068,0.41959727382399903,0.3172258591054915,0.4313108152630021,0.6225054128209129,0.7864348161203418,0.6229266775239624,0.7916299891943794,9.822595336538432e-05,7.485134874184547e-05,9.8999997e-05,7.430294834807479e-05,0.07256317799999999,5.333776036277413,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.16,True,0.2956076677218371,0.3892618877547571,0.29595340865842346,0.3895550939919108,0.3144633727115069,0.43280858691959634,0.31506611414891306,0.4450800919200517,0.6400396020840138,0.8360764113058938,0.6404843094400692,0.8417077945235969,9.821042473097104e-05,7.457439184094224e-05,9.8999997e-05,7.407081851880426e-05,0.077550363,5.727694917470217,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.17,True,0.2936630967130234,0.40088482158492655,0.2940367534849584,0.4008664820700818,0.31208648136323935,0.44499670201791375,0.3127177323315171,0.45778782966372744,0.6570475129392455,0.8857885114153841,0.6575125417231762,0.8918584001022876,9.81973038262023e-05,7.435626663464652e-05,9.8999997e-05,7.38985133041965e-05,0.082505968,6.119516434147954,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.18,True,0.2915458087221956,0.4115476087429317,0.2919444833936853,0.41119108993756903,0.30953083598068476,0.4561474738245288,0.3101873760744165,0.4694186205558215,0.6735272778944927,0.9354889063443974,0.6740090543620181,0.9419970120476324,9.818652806192117e-05,7.41982919721544e-05,9.8999997e-05,7.378693508488492e-05,0.087412265,6.500807023607194,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.19,True,0.2892624410706286,0.4212418473873436,0.2896830092892586,0.420522672042442,0.3068038459268516,0.4662527661056415,0.30748222591249186,0.4799617811919412,0.6894779067545442,0.9850985769414391,0.6899725567298991,0.9920413658091107,9.817821132349784e-05,7.410152868205362e-05,9.8999997e-05,7.373634984321263e-05,0.092335823,6.879437799565494,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
0.2,True,0.28682074559459325,0.42998654576978,0.2872591930656361,0.4288813113806602,0.3039140341103088,0.4753322219949099,0.3046099178813517,0.4894343118852442,0.7048997132167312,1.0345529280516788,0.705402753521648,1.041923495794591,9.817237116702926e-05,7.405994006401688e-05,9.8999997e-05,7.374578556318536e-05,0.09726937,7.263367090374231,empirical_or_build_qualified_schedule_controlled,diagnostic_cumulative_not_matched_timing_ratio
