file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,44228,44228,0.062497128000000006,0.062497128000000006
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,371,_down,42980,42980,0.059466822,0.317273334
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,87,peek,303000,303000,0.058299642000000006,0.058299642000000006
~,0,<built-in method torch.maximum>,20361,20361,0.056818022,0.056818022
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/endpoint_substitution.py,37,_mul,780,780,0.054674719000000004,0.098478622
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,156,fetch_more_tokens,22500,22500,0.05376398,0.6236362940000001
~,0,<built-in method torch.minimum>,18361,18361,0.05343084100000001,0.05343084100000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,273,parse_node,13660,13660,0.051535880000000006,0.23089046700000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2282,__post_init__,3640,3640,0.049468451000000004,0.096879111
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,375,_up,43220,43220,0.048674895,0.25385677500000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,28,_neg_inf_like,81354,81354,0.047042311,0.26629703800000004
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1042,_split_leaf_pair,1080,1080,0.044309331,0.04931601
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,542,<genexpr>,29227,29227,0.043488008,0.065820484
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2824,_interval_axis_transform,640,640,0.041254576,0.721567708
