file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,268139,268139,3.0908074070000002,10.210592208000001
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,1311906,1311906,2.585245113,2.585245113
~,0,<built-in method torch.any>,817013,817013,1.9299603740000002,1.9299603740000002
~,0,<built-in method torch.stack>,201064,201064,1.310024989,1.310024989
~,0,<built-in method torch.min>,174172,174172,1.274881932,1.274881932
~,0,<built-in method torch.full_like>,501572,501572,1.2329274190000001,1.2329274190000001
~,0,<built-in method torch.max>,187174,187174,1.156567485,1.156567485
~,0,<built-in method torch.nextafter>,501344,501344,1.1370335390000001,1.1370335390000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,79976,79976,1.0683880460000001,6.900462577000001
~,0,<built-in method torch.isnan>,536278,536278,1.021684767,1.021684767
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,536318,536318,0.9501557410000001,3.238070918
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,595317,595317,0.922025945,0.922025945
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,310170,310170,0.87769158,0.87769158
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,12240,12240,0.7949641510000001,3.549294288
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,68914,68914,0.789878548,4.288356331
~,0,<built-in method torch.all>,228389,228389,0.645143506,0.645143506
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,4080,4080,0.644736272,1.411104442
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,81468,81468,0.5305153770000001,0.725216202
~,0,<built-in method torch.abs>,188449,188449,0.463644447,0.463644447
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,135,__add__,61684,61684,0.45999453,3.4838983320000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,27520,27520,0.42206954500000005,0.9259601860000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,20500,20500,0.403860747,1.207110445
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,4272,4272,0.38976639,14.449035397000001
~,0,<built-in method torch.isfinite>,44953,44953,0.377787225,0.377787225
~,0,<built-in method torch.where>,105891,105891,0.370316951,0.370316951
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,520,_monomial_interval_bounds_for_exponents,4080,4080,0.367339273,4.773379268
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,142,__init__,4958,4958,0.322102569,1.479097198
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,546,_range_for_terms,4080,4080,0.311383322,5.281014422
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,37400,37400,0.284350066,0.284350066
~,0,<built-in method torch.zeros_like>,153192,153192,0.27458836400000003,0.27458836400000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,235,mul_truncate,518,518,0.24532698800000002,0.805396913
