file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,289807,289807,3.2751846120000003,11.096313008000001
~,0,<built-in method torch.stack>,478190,478190,3.1782317630000003,3.1782317630000003
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,1436163,1436163,2.814451102,2.814451102
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,1785679,1785679,2.6237224190000004,2.6237224190000004
~,0,<built-in method torch.any>,894673,894673,2.1453388550000003,2.1453388550000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,30960,30960,2.024883233,9.016912546
~,0,<built-in method torch.min>,259480,259480,1.9425343000000002,1.9425343000000002
~,0,<built-in method torch.max>,291560,291560,1.8807321160000001,1.8807321160000001
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,624366,624366,1.790807287,1.790807287
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,10320,10320,1.6302449760000002,3.5684673620000003
~,0,<built-in method torch.full_like>,553103,553103,1.46096946,1.46096946
~,0,<built-in method torch.nextafter>,552843,552843,1.325108309,1.325108309
~,0,<built-in method torch.isnan>,579614,579614,1.102964306,1.102964306
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,579654,579654,0.995422168,3.599513774
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,520,_monomial_interval_bounds_for_exponents,10320,10320,0.9402485880000001,12.138354069
~,0,<built-in method torch.all>,268206,268206,0.8903078670000001,0.8903078670000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,40340,40340,0.8756122430000001,2.528048268
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,542,<genexpr>,582433,582433,0.8333383400000001,1.275647527
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,61845,61845,0.830995244,5.362439513
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,416,<genexpr>,118740,118740,0.797333959,3.844939135
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,546,_range_for_terms,10320,10320,0.790037371,13.425737697
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,94040,94040,0.714605115,0.714605115
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,53961,53961,0.713382967,3.669054034
~,0,<built-in method torch.where>,196041,196041,0.6820296640000001,0.6820296640000001
